Gene = Prlh
index = 854
Annotated 5SS: [97]
Annotated 3SS: [740]
SMsplice 5SS: [97]
SMsplice 3SS: [740]
top_k =  500
Partition function (log Z): -9.251909547331442

Sorted 5' Splice Sites (High to Low Probability):
Position 97: 0.5074652691140452
Position 186: 0.25147356001860766
Position 303: 0.23132078725854116
Position 653: 0.023665699087731508
Position 402: 0.009220361017043337
Position 164: 0.005666963099844423
Position 446: 0.00383705504111359
Position 259: 0.0015359441838067199
Position 644: 0.0010277947189425943
Position 467: 0.0005605486756186335
Position 283: 0.000526486039096704
Position 128: 0.0003572049285442682
Position 487: 0.0003197978661786427
Position 532: 0.00020082969541360932
Position 101: 0.0001850759686068358
Position 492: 0.00018282195553647127
Position 462: 0.00015030881048842788
Position 300: 0.00011608786555904955
Position 657: 0.00011283603170370207
Position 209: 9.970917918041401e-05
Position 253: 7.792485232960298e-05
Position 558: 7.378649105751322e-05
Position 333: 6.616679739462425e-05
Position 206: 6.614002053718034e-05
Position 307: 6.084003229014989e-05
Position 673: 5.695326259112877e-05
Position 318: 5.4683600067999696e-05
Position 499: 3.95037048637344e-05
Position 592: 3.3249796540579134e-05
Position 291: 2.1632541034399725e-05
Position 681: 1.835478734499568e-05
Position 527: 1.6908988090205435e-05
Position 450: 1.649912440495483e-05
Position 45: 1.5465211601276562e-05
Position 763: 1.4166578194647313e-05
Position 23: 1.4106869428986154e-05
Position 256: 7.462943022427356e-06
Position 355: 4.749227865505543e-06
Position 642: 2.6056148217614584e-06
Position 788: 1.3884786767947755e-06

Sorted 3' Splice Sites (High to Low Probability):
Position 740: 0.8695411287844317
Position 300: 0.038321292073740486
Position 386: 0.030691762908856994
Position 230: 0.02196333050415595
Position 401: 0.017036415169391937
Position 541: 0.014899269237100379
Position 351: 0.011500657715145173
Position 244: 0.00637094123903608
Position 269: 0.006051333092979026
Position 680: 0.0046519809752152445
Position 810: 0.00390864044905644
Position 446: 0.0024092985086383136
Position 807: 0.0016350179145801069
Position 482: 0.0016151009403116343
Position 612: 0.0015773174986436474
Position 783: 0.0013346182884666797
Position 691: 0.0009577195121468071
Position 897: 0.0005905290914405865
Position 206: 0.00047738732900436923
Position 628: 0.0003785150424768427
Position 558: 0.0003500059400962044
Position 185: 0.0003453711766124054
Position 273: 0.0003188530269121648
Position 804: 0.0002471527123531392
Position 190: 0.00021551769256679282
Position 858: 0.00020863281586225708
Position 430: 0.00015272706953090647
Position 815: 0.00014162778149134664
Position 472: 0.00011015830401798043
Position 171: 0.00010262016452229474
Position 307: 9.46087969383493e-05
Position 696: 8.852259085354643e-05
Position 202: 8.467794260326003e-05
Position 651: 6.553460287514396e-05
Position 424: 5.998157827442789e-05
Position 879: 4.516653231129023e-05
Position 450: 3.238526876087581e-05
Position 562: 2.268531390500189e-05
Position 407: 2.143473193632676e-05
Position 642: 1.650446223831306e-05
Position 906: 1.4449370760172675e-05
Position 550: 1.22906038851734e-05
Position 638: 8.252802443403796e-06
Position 910: 7.934997862561949e-06
Position 164: 4.421528169936441e-06
Position 822: 2.433849232678412e-06
Position 886: 1.5194401694566947e-06
Position 97: 1.8475277904021595e-09
Position 117: 1.2408371492814593e-10
Position 122: 1.1055830846568983e-10
Position 89: 1.577709069649312e-11
Position 101: 7.810477909676378e-12
