Gene = C2cd6
index = 196
Annotated 5SS: [  403 17018 18230 19904 25184 26218 27124 28751 32505 34329 36245 42405]
Annotated 3SS: [16930 18177 19757 25057 26172 27054 28670 32369 34222 36180 42366 43614]
SMsplice 5SS: [  403 17018 19904 28751 32505]
SMsplice 3SS: [16930 19757 28670 32369 43742]
top_k =  500
Partition function (log Z): -26.021615863173405

Sorted 5' Splice Sites (High to Low Probability):
Position 403: 0.98889060166693
Position 17018: 0.9699471220399546
Position 16460: 0.5438183331673843
Position 10450: 0.43096294248574557
Position 19904: 0.31369255309605115
Position 17316: 0.22121807328204257
Position 6152: 0.07346464576688369
Position 20341: 0.03894149579201564
Position 20308: 0.0180225069196471
Position 374: 0.008815005152724579
Position 18080: 0.007121357376716974
Position 481: 0.0022764582363481193
Position 4: 0.00015898671069089937
Position 3264: 0.0001433938822324243
Position 903: 0.00011682914945557712
Position 898: 1.9870018481370623e-05
Position 2964: 1.325232306569146e-05
Position 6938: 8.323442847074447e-06
Position 106: 6.406772720730852e-06
Position 266: 5.993012952848162e-06
Position 723: 4.298056124578491e-06
Position 423: 3.896131790527004e-06
Position 687: 2.166787962867091e-06
Position 2765: 2.1017867662449755e-06
Position 70: 2.028356117795432e-06
Position 126: 1.381230482903625e-06
Position 4248: 1.263098876260118e-06
Position 704: 5.93985379821251e-07
Position 1057: 4.3942402941191266e-07
Position 45: 4.302846109449778e-07
Position 216: 3.3719605661059933e-07
Position 138: 1.4241026753137154e-07
Position 617: 3.4169456661644566e-08
Position 461: 3.1269640666596506e-08
Position 520: 3.074968911462615e-08
Position 690: 2.0302742744524302e-08
Position 8: 1.1192393062450765e-08
Position 407: 7.3425994759684565e-09
Position 2408: 5.973068042289533e-09
Position 1618: 3.5246765677913422e-09
Position 301: 9.87095496905229e-10
Position 448: 7.297389579304175e-10
Position 490: 4.9576673397738763e-11
Position 523: 2.697541245014497e-11
Position 545: 7.721498553295035e-12
Position 1287: 2.8131168350137267e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 16930: 0.9417368486774857
Position 16326: 0.5522590042952659
Position 20749: 0.4949632506456986
Position 10297: 0.4310415712615228
Position 19757: 0.323983185958906
Position 17203: 0.19218092953967392
Position 17728: 0.1488845247028475
Position 18177: 0.1153568656825552
Position 20219: 0.08795797879602575
Position 6029: 0.07187239777067742
Position 18248: 0.05720894660012826
Position 21991: 0.05286285415558783
Position 17226: 0.04116140384898453
Position 16821: 0.03782379005270783
Position 17983: 0.03009478389936042
Position 17696: 0.021447284821952933
Position 14339: 0.004458481106025572
Position 16090: 0.0038548459333994757
Position 17533: 0.0028410998547088416
Position 6042: 0.0017209904830643179
Position 11041: 0.0005493350223405294
Position 10564: 0.0004374451591248402
Position 11466: 0.000246833059199389
Position 1535: 0.00018513651960965548
Position 2715: 0.00013584425805736433
Position 564: 0.00012513384971543393
Position 4355: 0.00012021243121389332
Position 9561: 0.00011809566214983584
Position 265: 0.0001170710722783024
