Gene = St5
index = 1035
Annotated 5SS: [   90 47141 60937 64173 72071 74828 75812 76756 77486 78214 78872 81854
 82514 86066 89534 89804 90922 91609 91885]
Annotated 3SS: [47035 59685 64035 71918 74611 75714 76710 77300 78103 78801 81775 82372
 85916 89355 89761 90809 91368 91797 92466]
SMsplice 5SS: [  850 13376 14593 43233 47141 47625 60937 64173 72071 75812 76756 77486
 78214 78872 81854 86066 89534 89804 90922 91609 91885]
SMsplice 3SS: [13280 14517 43104 47035 47413 60875 64035 71918 75714 76710 77311 78103
 78801 81775 85916 89355 89761 90809 91368 91797 92466]
top_k =  500
Partition function (log Z): -57.699849731606704

Sorted 5' Splice Sites (High to Low Probability):
Position 13376: 0.8096754461835463
Position 14593: 0.6784829387033237
Position 850: 0.6426017771258117
Position 90: 0.5026783407528094
Position 3387: 0.15075761154823225
Position 4131: 0.12409068870285693
Position 430: 0.02390973029202899
Position 739: 0.008841729840561518
Position 1282: 0.00717522724844632
Position 7863: 0.004738044320186714
Position 7180: 0.002316588434444963
Position 4053: 0.0015400366633715578
Position 7848: 0.0014655821620469219
Position 5829: 0.0010846930106330696
Position 2285: 0.0007046208288905708
Position 705: 0.0006225051195448085
Position 1687: 0.0006110295300165852
Position 3449: 0.00031816694277900416
Position 181: 0.00031619332244987495
Position 536: 0.00030115821747330845
Position 5886: 0.00022445795475561453
Position 1646: 0.00019034873746725598
Position 5891: 0.00018966002171584093
Position 3967: 0.00014637304543503338
Position 242: 0.00012894551205825788
Position 127: 9.146931729100438e-05
Position 591: 7.124904656875404e-05
Position 303: 6.341304717075488e-05
Position 1187: 5.5217216543576713e-05
Position 63: 5.252203253808e-05
Position 631: 3.8411656029360564e-05
Position 611: 3.379642390904451e-05
Position 202: 1.4289218276909329e-05
Position 1551: 1.1909657209343744e-05
Position 2036: 1.1218620583486594e-05
Position 47: 3.91077698778913e-06
Position 3920: 3.544408515977235e-06
Position 81: 3.5281242089404423e-06
Position 32: 2.1292976359932474e-06
Position 796: 1.8510041907702643e-06
Position 1111: 1.4986203973583122e-06
Position 106: 1.3133072014978472e-06
Position 568: 1.0665768297038325e-06
Position 136: 6.80097970104584e-07
Position 134: 4.4456412069984776e-07
Position 1251: 2.1142094145796366e-07
Position 1369: 8.832492499760802e-08
Position 1191: 5.904234086281898e-08
Position 613: 5.199555105025062e-09
Position 414: 1.9354094475983016e-09
Position 542: 8.084821203016719e-10
Position 794: 6.452105671329845e-10
Position 387: 1.9377819146203166e-10
Position 374: 1.734892071654556e-10
Position 340: 1.3312323081334854e-10
Position 351: 2.5004407742855926e-11
Position 377: 6.381313276289266e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 13280: 0.889863806512822
Position 14517: 0.744407997393254
Position 14754: 0.1901961749743195
Position 15821: 0.14055208225622268
Position 3998: 0.11414934244105825
Position 14982: 0.11071714252805763
Position 16013: 0.10994288285606413
Position 3273: 0.10258870389417273
Position 15222: 0.0737491809524129
Position 14273: 0.06526744879029217
Position 690: 0.05534463551722074
Position 14733: 0.05332547513624528
Position 3323: 0.03663130014354182
Position 383: 0.036444619880925816
Position 9876: 0.027233021855920674
Position 704: 0.02154499461897186
Position 3843: 0.01798520107198536
Position 7922: 0.017660457588312757
Position 785: 0.013457098841989767
Position 738: 0.011760001834308722
Position 6159: 0.010775712713880128
Position 711: 0.010612978042432948
Position 7754: 0.010114736030798677
Position 3335: 0.007185727738976075
Position 3284: 0.00652175510249007
Position 735: 0.005423363401613379
Position 804: 0.004918000330149507
Position 4002: 0.004398871138167938
Position 7952: 0.004388702605291848
Position 10410: 0.004167149065427974
Position 1763: 0.004139762206421179
Position 1487: 0.003972573946394647
Position 660: 0.003931365865080876
Position 647: 0.003905328682064941
Position 625: 0.0031548408828052307
Position 6668: 0.0030525521631456524
Position 1106: 0.002847215755446887
Position 1080: 0.0025416408525070805
Position 9083: 0.002382970761717956
Position 7046: 0.002070726194945459
Position 924: 0.0019472477981489378
Position 3577: 0.0018969201459265474
Position 488: 0.0018949199355338504
Position 709: 0.0017803915026525805
Position 6918: 0.0017544518940505022
