Gene = E130311K13Rik
index = 354
Annotated 5SS: [ 216 2209 4139 9272]
Annotated 3SS: [ 2148  3990  9110 13733]
SMsplice 5SS: [ 533 2209 4139 9272]
SMsplice 3SS: [ 2148  3990  9110 13733]
top_k =  500
Partition function (log Z): -8.481647072945837

Sorted 5' Splice Sites (High to Low Probability):
Position 4139: 0.9851008688522193
Position 2209: 0.9078022162563881
Position 533: 0.6070495949056595
Position 216: 0.3286054555699467
Position 2223: 0.07572953824508412
Position 3418: 0.053979881506909924
Position 10617: 0.05019967107454444
Position 1119: 0.04797298472024242
Position 2544: 0.030065337297058837
Position 5271: 0.024267696948794357
Position 3503: 0.022662203285574403
Position 1550: 0.01918673398175753
Position 13385: 0.015770508470521208
Position 234: 0.011332707680218773
Position 9168: 0.011290711009722332
Position 1074: 0.010710143355270955
Position 3510: 0.008694858142174956
Position 168: 0.008103325303992694
Position 6704: 0.0077029593640765325
Position 165: 0.007528491537976112
Position 4954: 0.007017499920280775
Position 3556: 0.0059547132528421694
Position 562: 0.00554604034843329
Position 893: 0.0046294800870675615
Position 3486: 0.004419302344402453
Position 4143: 0.004252523158561348
Position 3465: 0.004155544938837418
Position 1526: 0.003836693300919428
Position 1966: 0.003739188922198526
Position 366: 0.0035872769175146
Position 3460: 0.0031997270284788164
Position 521: 0.0026137365220836374
Position 1496: 0.0025439646952525453
Position 1171: 0.0024833145968326436
Position 3547: 0.002467508220872479
Position 1536: 0.002388330606403436
Position 177: 0.0019197849251804107
Position 1047: 0.001893932541927412
Position 3438: 0.0017655585133507909
Position 979: 0.00164467118482257
Position 1836: 0.0016276946044446454
Position 3241: 0.0014558941197007223
Position 3196: 0.0012399929775004422
Position 3255: 0.0012277073237780285
Position 867: 0.0009668518163002111
Position 3132: 0.0009135256982582807
Position 2050: 0.0008998332425358537
Position 210: 0.0008060507965804971
Position 363: 0.0008051679877268734
Position 8496: 0.000794407652902313
Position 861: 0.0007796874973299769
Position 8071: 0.0007762114949219137
Position 3524: 0.0007156024530618379
Position 864: 0.00056213063011867
Position 8435: 0.0005582419375832727
Position 128: 0.0005539003585323957
Position 870: 0.0005188087977864944
Position 434: 0.0005179858637872754
Position 1041: 0.0004303662268873558
Position 1396: 0.0004185335808010313
Position 3431: 0.00041823522895398954
Position 179: 0.0003690221393976147
Position 1031: 0.00031995404484099974
Position 2213: 0.0003160716933194873
Position 3476: 0.00031227266003802504
Position 3164: 0.0003060057632896452
Position 890: 0.00028675679734596447
Position 2786: 0.00028204846013970885
Position 4948: 0.00026181974598492075
