Gene = Treh
index = 1139
Annotated 5SS: [  108  7928  8193  8361  9500  9729  9933 10143 10389 10727 11493 11814
 12149 12448]
Annotated 3SS: [ 7826  8047  8272  9398  9635  9815 10019 10338 10531 11274 11701 12035
 12393 12642]
SMsplice 5SS: [  108  1656  7928  8193  8361  9500 10389 10727 11814 12149 12448]
SMsplice 3SS: [ 1566  7826  8047  8272  9398 10338 10531 11701 12067 12393 12642]
top_k =  500
Partition function (log Z): 10.797751131719128

Sorted 5' Splice Sites (High to Low Probability):
Position 7928: 0.9937358738492599
Position 8193: 0.9613225726419897
Position 11814: 0.9237174152130004
Position 8361: 0.92367155556774
Position 10727: 0.8574050054804492
Position 108: 0.846647272203584
Position 12149: 0.8412564701572898
Position 12448: 0.7281314516200015
Position 10389: 0.7060158745311467
Position 9500: 0.6605957389023036
Position 4589: 0.42123961206881655
Position 688: 0.39843617087790034
Position 10143: 0.3728896896540342
Position 2010: 0.2882532981063944
Position 8676: 0.25441565456279686
Position 2311: 0.23426779529561395
Position 12507: 0.2235647866384485
Position 8697: 0.21811392053087034
Position 9933: 0.18539800517644278
Position 4549: 0.1386063379761906
Position 4618: 0.08800141296490109
Position 12163: 0.08366537326669098
Position 11605: 0.08262782270542667
Position 4585: 0.07219628011155392
Position 9729: 0.06573281901685418
Position 4311: 0.06189353563232299
Position 10657: 0.05987853020417997
Position 9937: 0.05741516791700745
Position 101: 0.04342558582914479
Position 10794: 0.04299317108789842
Position 6526: 0.04219450872004755
Position 6350: 0.03863752498422221
Position 4804: 0.038593914726948696
Position 1660: 0.036571827580761676
Position 649: 0.02874409848830822
Position 12695: 0.02833355226000794
Position 2014: 0.018979774610938353
Position 9695: 0.017023243637626112
Position 4228: 0.016889738098366393
Position 11493: 0.016875534835162066
Position 11090: 0.015486587910156818
Position 9229: 0.014905718648642602
Position 9999: 0.01392424568520166
Position 1880: 0.012191686794591249
Position 10230: 0.01206923072933145
Position 5349: 0.00991279897664048
Position 9020: 0.009541474855359373
Position 1820: 0.009523906582997664
Position 116: 0.00862369936008353
Position 10441: 0.008158177115596884
Position 3437: 0.006740785661002418
Position 3339: 0.006533561318514631
Position 699: 0.006422125276746462
Position 1744: 0.006060623132511876
Position 4593: 0.005695189757163234
Position 9548: 0.0055937631380053796
Position 427: 0.003523443808179876
Position 9901: 0.003397874327740069
Position 2765: 0.0030580097793575364
Position 1649: 0.002816140583932913
Position 10706: 0.0024268109548664075
Position 8414: 0.002374124004609273
Position 12720: 0.0022140616015476444
Position 12462: 0.002131401437978715
Position 1716: 0.0019403624604329873
Position 9919: 0.0018000597183654007
Position 3305: 0.001608351334152062
Position 275: 0.0015086635750348751
Position 229: 0.0014063081838518127
Position 8069: 0.0013205517037425001
Position 223: 0.0013058554506410486
Position 2490: 0.001094252063598108
Position 12422: 0.0010503312181264748
Position 1636: 0.0008693596437657843
Position 12243: 0.0007757280323157288
Position 9789: 0.0007210413168373326
Position 782: 0.0005999964920512982
Position 75: 0.0005987182463644949
Position 1431: 0.000566565248214637
Position 1598: 0.0005268349687958439
Position 400: 0.0004941260845370748
Position 9721: 0.0004924917675346667
Position 2019: 0.0004681551641027235
Position 1706: 0.0004327654870525681
Position 670: 0.0004293509799506933
Position 1663: 0.00038439107211037706
Position 8388: 0.0003738166160420763
Position 869: 0.00027494266119335286
Position 12486: 0.0002583319991727543
Position 127: 0.00018765223504019107
Position 808: 0.00016543034041100683
Position 8525: 0.00015437813451944766
Position 1002: 0.00015322588112427331
Position 1619: 0.000134709127762723
Position 8125: 0.00010323281998435798
Position 1621: 8.146290310479539e-05
Position 388: 7.310163745208095e-05
Position 129: 6.904373801994921e-05
Position 12285: 5.2681898276294554e-05
Position 1156: 4.191869350261939e-05
Position 1300: 4.073531912343372e-05
Position 335: 3.149322256971524e-05
Position 8146: 2.4360159813285287e-05
Position 10208: 2.2910009270833676e-05
Position 562: 2.1031178431130737e-05
Position 506: 2.0481218547818083e-05
Position 324: 1.9291880604607343e-05
Position 442: 1.80510847247847e-05
Position 298: 1.7115386050011407e-05
Position 937: 1.566843457142229e-05
Position 1054: 1.5168123916258847e-05
Position 4551: 1.4004277672755215e-05
Position 579: 1.1642575143190802e-05
Position 4581: 1.1569793518120836e-05
Position 149: 1.0750507143033482e-05
Position 7: 1.0298343359721515e-05
Position 12435: 1.0066635794315023e-05
Position 314: 7.511115418734397e-06
Position 262: 7.189283930687061e-06
Position 133: 7.147583995011271e-06
Position 1365: 6.605506903726304e-06
Position 19: 6.191857636860121e-06
Position 1397: 5.791710558594076e-06
Position 1389: 4.618254148256662e-06
Position 12547: 4.108527304663971e-06
Position 264: 3.815576530493625e-06
Position 131: 3.630053600602294e-06
Position 12442: 2.6335717855257835e-06
Position 1292: 2.5112608155745677e-06
Position 436: 2.3278248272009344e-06
Position 12528: 1.7280399579046742e-06
Position 9431: 1.7155077387380258e-06
Position 12511: 1.3954306940178834e-06
Position 1588: 3.723055122334216e-07
Position 12130: 1.4770457492352751e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 7826: 0.9659151017886806
Position 8047: 0.9561399019538671
Position 12642: 0.9112989265111111
Position 8272: 0.9007872251948015
Position 12393: 0.9002073749917646
Position 10531: 0.7782431094653294
Position 11701: 0.765529596557679
Position 9398: 0.7057629884719641
Position 4444: 0.693681604640917
Position 10338: 0.6731563185232805
Position 12067: 0.567447335277074
Position 9815: 0.32505224982080777
Position 500: 0.29665677240070376
Position 10019: 0.2653968540041805
Position 8595: 0.2459613829371676
Position 12035: 0.2419854235618069
Position 2182: 0.1989966397386754
Position 10637: 0.14751568885716412
Position 11662: 0.14583901375272781
Position 1869: 0.12760594075222015
Position 1766: 0.12177715589829613
Position 1566: 0.1196785902795512
Position 8577: 0.11352177653464042
Position 11454: 0.07674808137253003
Position 4141: 0.06476065528262655
Position 8441: 0.053760323545228667
Position 9785: 0.048022598087602376
Position 6243: 0.040650514054468595
Position 11889: 0.03702555825601823
Position 12767: 0.03642430452472431
Position 9635: 0.03432319132370081
Position 4724: 0.03302503418217496
Position 12082: 0.03261742333220938
Position 6341: 0.030579775620078506
Position 7786: 0.028905099592098783
Position 10634: 0.02453156245843556
Position 12336: 0.024525582548994555
Position 12903: 0.023699101498041584
Position 11990: 0.020932866415818565
Position 8529: 0.020365118129723556
Position 12646: 0.020235005139467126
Position 8279: 0.020081796872268184
Position 11918: 0.01810666951759722
Position 634: 0.01808466032623541
Position 2214: 0.016242428329133557
Position 8620: 0.014055125561131778
Position 406: 0.0138800957121215
Position 3163: 0.01366771403873747
Position 12212: 0.01214004184693433
Position 10070: 0.012132442113312044
Position 10289: 0.012107739379209611
Position 2053: 0.011754122909434624
Position 12780: 0.011484928919889597
Position 4464: 0.01130062449576318
Position 12870: 0.010954110711582641
Position 11756: 0.010916102269069677
Position 4455: 0.01088146896139335
Position 12282: 0.009928991653004461
Position 10960: 0.008997316010326075
Position 10247: 0.008648246558051187
Position 530: 0.007773475495807057
Position 10142: 0.007458412949130385
Position 11461: 0.007355687962117993
Position 4157: 0.0067372183711967995
Position 9150: 0.0067078771599304934
Position 8288: 0.006361693945085829
Position 11013: 0.006275160489815499
Position 6316: 0.00617485643782111
Position 5267: 0.005922511949094606
Position 10612: 0.005604011474700392
Position 12319: 0.005593418265383924
Position 4218: 0.005578932214419658
Position 4467: 0.0052947224198488935
Position 10618: 0.005237380055473111
Position 12070: 0.004730946664330731
Position 8902: 0.00471476136268593
Position 9175: 0.004710126454290525
Position 10084: 0.004630171568081343
Position 11559: 0.0045508487346081605
Position 9368: 0.004387923208245959
Position 4458: 0.004198942037994269
Position 11150: 0.004139529517022767
Position 2134: 0.0040558638717394235
Position 5032: 0.003990287027545869
Position 309: 0.0037633268288682037
Position 8792: 0.0035581280289518863
Position 1875: 0.0035004611087799645
Position 1714: 0.003475785996611393
Position 6190: 0.00342688759190154
Position 9111: 0.003206463085651989
Position 12248: 0.0031966070451218717
Position 8456: 0.003064524248281673
Position 2636: 0.0030580097793575325
Position 12340: 0.003053383931895404
Position 11357: 0.0029993945402601225
Position 8096: 0.002948122756503715
Position 8532: 0.002744989931081055
Position 8499: 0.002721070470922731
Position 11260: 0.00263269294912141
Position 8601: 0.0026314722880920495
Position 12952: 0.0025231276941142422
