Gene = Ick
index = 557
Annotated 5SS: [  141 18257 22336 26783 27959 37347 40422 42202 44638 47245 47497 51345
 53718]
Annotated 3SS: [17979 22280 26660 27878 37213 40249 42033 44325 47053 47347 51215 53594
 54284]
SMsplice 5SS: [  141 18257 22336 26783 28651 37347 40422 42202 44638 47245 47497 48133
 51345 53718 55096 56679 57408]
SMsplice 3SS: [18100 22280 26660 28480 37213 40249 42033 44325 47053 47347 48056 51215
 53594 54992 56529 57289 58180]
top_k =  500
Partition function (log Z): -38.57493032325543

Sorted 5' Splice Sites (High to Low Probability):
Position 141: 0.9321470425234443
Position 5156: 0.2676073588913469
Position 5768: 0.13302734334731864
Position 386: 0.07385522335376322
Position 4028: 0.07092531367332956
Position 1111: 0.030421480295077515
Position 10917: 0.02992891020348642
Position 2726: 0.02107214226116173
Position 3316: 0.017883774956344144
Position 2375: 0.016045852697575986
Position 1685: 0.01324048018281531
Position 5280: 0.010028902237955667
Position 9178: 0.009445691906065184
Position 877: 0.008829311968182103
Position 9333: 0.008385720087373153
Position 6364: 0.0073753787149722656
Position 5782: 0.0070855977271109686
Position 895: 0.004900393995911968
Position 653: 0.004795844134842223
Position 203: 0.004364026380539533
Position 7784: 0.0027469894659243174
Position 1814: 0.0025293135709943226
Position 4801: 0.0022015204137973993
Position 5043: 0.0019206956550900946
Position 325: 0.001803695778232655
Position 7929: 0.00154493819384905
Position 4116: 0.0011243566842680083
Position 5935: 0.0010240759903649963
Position 1818: 0.0008383081332726737
Position 2730: 0.0007163873692871712
Position 390: 0.0005556165707845764
Position 3017: 0.0002760474095322986
Position 3568: 0.0002441208375440567
Position 109: 0.000104191504180944
Position 62: 8.893621082924733e-05
Position 47: 4.24540266208575e-05
Position 272: 3.041464941984893e-05
Position 394: 2.8395384083936705e-05
Position 997: 1.4137397351433892e-05
Position 1399: 1.2104234758027687e-05
Position 281: 9.814442614455529e-06
Position 591: 5.96581982808095e-06
Position 145: 5.904406248749932e-06
Position 193: 4.292267905312923e-06
Position 1518: 2.792218556693656e-06
Position 406: 1.2361303302164947e-06
Position 258: 6.41488342747181e-07
Position 247: 6.310305662027969e-07
Position 19: 6.221245218947137e-07
Position 398: 5.865305351580641e-07
Position 559: 4.485673768208983e-07
Position 463: 3.9810683933799397e-07
Position 1707: 2.6479672323970287e-07
Position 185: 2.3556870620482906e-07
Position 620: 1.8028480088901695e-07
Position 605: 1.4483665246385705e-07
Position 329: 7.916918034847242e-08
Position 341: 6.953752791442706e-08
Position 327: 4.510803956811665e-08
Position 1613: 3.944893062487778e-08
Position 1302: 2.0633459491433257e-08
Position 448: 1.6642430474846722e-08
Position 49: 1.1995430049812172e-08
Position 452: 6.718579545588057e-09
Position 545: 3.0385512884229394e-09
Position 1189: 7.368022674449271e-10
Position 1204: 4.2734287569899004e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 5601: 0.2725745992743268
Position 10792: 0.20563396143948331
Position 11640: 0.16343059743530736
Position 8162: 0.11350366607257625
Position 5075: 0.11126006892405785
Position 4959: 0.08755568782978713
Position 7256: 0.08090476773982982
Position 3781: 0.05752335848067005
Position 4954: 0.0407844492021047
Position 7775: 0.03606605736270957
Position 13085: 0.03544718856806127
Position 8358: 0.03396842613560249
Position 9080: 0.031814567015268316
Position 8258: 0.026101420338883505
Position 5032: 0.025400845390137903
Position 10453: 0.018799134884174343
Position 10086: 0.018193424546795497
Position 1603: 0.017819015575819285
Position 3229: 0.017685782685617706
Position 1069: 0.016896381866466085
Position 1769: 0.01645098479512521
Position 2546: 0.01643488129766521
Position 341: 0.01606166693469227
