Gene = Hddc3
index = 536
Annotated 5SS: [178]
Annotated 3SS: [6341]
SMsplice 5SS: [178]
SMsplice 3SS: [1131]
top_k =  500
Partition function (log Z): -8.262603083984535

Sorted 5' Splice Sites (High to Low Probability):
Position 178: 0.9155060178754959
Position 2151: 0.2692662770541829
Position 1512: 0.07688293860254268
Position 241: 0.06727885058258819
Position 4473: 0.05007311707520798
Position 496: 0.04862938832037159
Position 2234: 0.03315481939736687
Position 3582: 0.02631182561804483
Position 1543: 0.013909367299602128
Position 2461: 0.01258214081291913
Position 1919: 0.012024582028294043
Position 1916: 0.008300360053572434
Position 33: 0.008130032213395947
Position 788: 0.007333843592414078
Position 1847: 0.006903178017064122
Position 81: 0.005999646820098857
Position 2311: 0.005652474919210322
Position 3621: 0.005030642189770121
Position 2746: 0.005007615672498138
Position 1227: 0.003749435352090303
Position 1722: 0.003675031188794793
Position 888: 0.0027377431613946823
Position 4419: 0.0020546320574034893
Position 120: 0.0014726097422930377
Position 1257: 0.0013692397838109642
Position 3301: 0.0009898264082084092
Position 1873: 0.0009566044824098448
Position 2039: 0.0007185031800477793
Position 1484: 0.000678869760195279
Position 988: 0.0006181286091416599
Position 1476: 0.0005195979044200404
Position 1248: 0.000502680443484461
Position 1048: 0.0001936558742235487
Position 12: 0.00016648368599438975
Position 245: 7.01909328804275e-05
Position 433: 5.182133633838093e-05
Position 1169: 4.4100698266082604e-05
Position 411: 3.57639801724872e-05
Position 1648: 2.6692004813792466e-05
Position 1011: 1.1685628619904561e-05
Position 452: 9.378430420794613e-06
Position 1495: 9.329872216250952e-06
Position 1037: 7.240155169372291e-06
Position 272: 4.212445536537048e-06
Position 1086: 2.2822862352032937e-06
Position 1346: 2.2714601115509386e-06
Position 366: 6.619370157473886e-08
Position 24: 6.328843471016149e-08
Position 264: 3.137338091560513e-08
Position 924: 2.4722070236406582e-08
Position 293: 2.305749832419332e-08
Position 277: 1.7378471503914253e-08
Position 287: 6.4734448531292845e-09
Position 328: 4.353570690526191e-09
Position 428: 3.4183259412809754e-09
Position 468: 3.4177248991793913e-09
Position 426: 2.2175309014110777e-09
Position 551: 1.933606566662601e-09
Position 290: 1.5996909450872327e-09
Position 322: 1.385792241943834e-09
Position 316: 1.086474854563069e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 2023: 0.27329413859093715
Position 4557: 0.13643994195393683
Position 4351: 0.11006492161757092
Position 3393: 0.09210766662022145
Position 1397: 0.07168750335180041
Position 6446: 0.05708962149350732
Position 1420: 0.054215346785027034
Position 1131: 0.05230958448223864
Position 1868: 0.04680795301715025
Position 1721: 0.045810541804156925
Position 4938: 0.04260320359494966
Position 6341: 0.04257058302274976
Position 6244: 0.0388781435299463
Position 3745: 0.03033469801638503
Position 322: 0.028853951815436214
Position 4258: 0.026834269325879866
Position 4986: 0.025928479706318695
Position 326: 0.02577402154682584
Position 6212: 0.024635848397452125
Position 6513: 0.023246683838121725
Position 3557: 0.02238771042303734
Position 1274: 0.02051860681595942
Position 2150: 0.01895528750841139
Position 3278: 0.01728109490545589
Position 2121: 0.017074651267623253
Position 2354: 0.015059872323171785
Position 3873: 0.014111509964585281
Position 2749: 0.013630915157931564
Position 6479: 0.013493533181474813
Position 3028: 0.011470690807020569
Position 4139: 0.00974337054667398
Position 681: 0.009359280966416333
Position 1441: 0.009339703972619776
Position 5350: 0.009330202233611282
Position 5293: 0.008755354849513454
Position 1380: 0.008356237384222009
Position 6498: 0.008013692297920743
Position 4440: 0.007903785933585598
Position 6014: 0.007451571672525835
Position 834: 0.006958684333081549
Position 2254: 0.006364442250094185
Position 4737: 0.0060104300204229175
Position 2618: 0.005896924353582709
Position 4665: 0.004956212086764502
Position 396: 0.004952226622473418
Position 988: 0.004573267791855978
Position 3424: 0.004473095853539444
Position 2067: 0.0036249252869870316
Position 5883: 0.00345492712420162
Position 2460: 0.0033230588256788823
Position 6369: 0.003037290468280103
Position 1794: 0.002799367671000522
Position 2597: 0.0025975745285005108
Position 4332: 0.0021894569619505594
Position 1559: 0.002100663181738666
Position 5426: 0.0020515351541186386
Position 924: 0.0020107636184100797
Position 5461: 0.0019270597771282785
Position 362: 0.0018602187677074714
Position 2829: 0.0018375523042297177
Position 667: 0.0018347008463116155
Position 423: 0.0017333603621260004
Position 2402: 0.00168775165490855
Position 3779: 0.0016790833374996984
Position 4716: 0.00156405373765982
Position 3142: 0.001533110733013628
Position 3213: 0.0014808511908825336
Position 2288: 0.0013442405163613456
Position 4472: 0.0012843491152498287
Position 780: 0.001137524733662577
Position 1563: 0.001131941793020802
Position 2075: 0.0010369932649639446
Position 2356: 0.0010044682981259362
Position 3462: 0.0009715526895765273
Position 3919: 0.0007390816008106746
Position 3805: 0.0007215407447778217
Position 3686: 0.0007045711356999688
Position 620: 0.0006484264326604494
Position 638: 0.0005963669772441136
Position 399: 0.000576972163487822
Position 1633: 0.0005719836007669259
Position 1251: 0.0004996001080709668
Position 1037: 0.0004212767445798311
Position 1080: 0.00042010671533164473
Position 683: 0.0004104533329447331
Position 1286: 0.0004066276267374049
Position 1328: 0.00039643825603306805
Position 2916: 0.00039364222098659614
Position 2034: 0.00034562942602305615
Position 1846: 0.0003367113382499962
Position 800: 0.00029165655305289623
Position 1083: 0.0002789710474236637
Position 1069: 0.000232903927998919
Position 1001: 0.00017827334528768116
Position 841: 0.00016735391800402948
Position 359: 0.00016657165687355142
Position 240: 0.00016349653970188532
Position 949: 0.00011994375932779597
Position 366: 0.00011114784521745863
Position 1802: 0.0001087873384888964
Position 1985: 9.0678668525987e-05
Position 1599: 7.813659047519073e-05
Position 695: 6.667161500538334e-05
Position 804: 5.394022684695078e-05
Position 1660: 4.827270604883985e-05
Position 2192: 4.6230959942589986e-05
Position 815: 4.303045382283438e-05
Position 2214: 4.014655799254156e-05
Position 177: 1.193196590869143e-05
Position 715: 4.571877911103131e-06
Position 381: 4.495755777593098e-06
Position 532: 4.342508128852137e-06
Position 559: 2.615939046079184e-06
Position 721: 1.4140337131116975e-06
Position 448: 8.728306670936046e-07
Position 277: 3.798768322396847e-07
Position 702: 3.2388293313179876e-07
Position 257: 3.0418466662214004e-07
Position 264: 2.4606177495809876e-07
Position 433: 2.4402323500198033e-07
Position 103: 2.9408771008782152e-08
Position 249: 2.711707100980664e-08
Position 452: 2.578260592203521e-08
Position 80: 1.6601155296015007e-08
Position 1292: 1.3389147534456006e-08
Position 1443: 1.2456980951447303e-08
Position 89: 1.2445390987200616e-08
Position 275: 4.80056963129163e-09
Position 132: 4.7621141523394304e-09
Position 284: 4.402802457860163e-09
