Gene = Eef1akmt2
index = 362
Annotated 5SS: [  175  1248  2079 15574 21314]
Annotated 3SS: [ 1181  1963 15465 21096 24790]
SMsplice 5SS: [  175 15574]
SMsplice 3SS: [15465 24790]
top_k =  500
Partition function (log Z): -13.801454680520258

Sorted 5' Splice Sites (High to Low Probability):
Position 15574: 0.9596272610179779
Position 175: 0.7840488640298058
Position 2083: 0.3993443868215977
Position 1248: 0.359338095881079
Position 21314: 0.3127265866111686
Position 21213: 0.30321164278517715
Position 17270: 0.29451714130057416
Position 193: 0.18252555323748618
Position 4807: 0.16597902558771527
Position 15816: 0.024420067855292816
Position 3558: 0.0217276369182938
Position 510: 0.012997137595607035
Position 2079: 0.009615426472797428
Position 462: 0.007515446164654825
Position 1896: 0.0022292421424909524
Position 93: 0.0020278711763248238
Position 126: 0.0014793823912038087
Position 2059: 0.0013474629579325263
Position 350: 0.0009595002631914379
Position 151: 0.0008869510477901207
Position 356: 0.0008568383906433815
Position 1884: 0.000741013411533406
Position 6: 0.0007084225521210468
Position 442: 0.00029492296909886955
Position 146: 0.00020235955531239057
Position 981: 0.00012048829617298162
Position 362: 0.0001090881846820088
Position 787: 9.566800471723121e-05
Position 101: 8.190008265286104e-05
Position 179: 7.513234676245832e-05
Position 1640: 5.307306625165857e-05
Position 181: 4.762876629585717e-05
Position 428: 4.079594492102232e-05
Position 852: 4.042809689992697e-05
Position 969: 3.852464658691211e-05
Position 275: 2.2845175501405535e-05
Position 516: 2.1095501722606478e-05
Position 1088: 1.2475901089254194e-05
Position 7155: 7.165954835714546e-06
Position 98: 6.616515047955103e-06
Position 975: 6.317598731569072e-06
Position 7163: 5.827749186262269e-06
Position 6093: 4.869003031707472e-06
Position 1280: 4.5855630752117385e-06
Position 1274: 4.5494591073424955e-06
Position 1278: 4.2636174509219536e-06
Position 1821: 4.178886640928577e-06
Position 1726: 3.944967219451801e-06
Position 1766: 3.4796511550556575e-06
Position 1879: 3.4289487689532816e-06
Position 1762: 2.2670255910868194e-06
Position 2092: 1.3489522653142194e-06
Position 1252: 1.1629675827206637e-06
Position 2174: 1.0899679652124218e-06
Position 1835: 4.650067767629573e-07
Position 1713: 4.62839938351459e-07
Position 1268: 3.730385332801665e-07
Position 1296: 2.6612524943321197e-07
Position 2070: 8.490141848221033e-08
Position 3109: 4.468965106094172e-08
Position 3308: 3.021164307112961e-08
Position 1964: 2.0850410246900975e-08
Position 946: 3.708565379852483e-09
Position 1743: 3.5744071029710665e-10
Position 272: 2.8616679697024837e-10
Position 203: 2.2419736203865573e-10
Position 34: 2.426062641157427e-12
Position 740: 2.6120827318031116e-14
Position 354: 1.3738009475397495e-16

Sorted 3' Splice Sites (High to Low Probability):
Position 15465: 0.9607131804360302
Position 24790: 0.7439158116051192
Position 21096: 0.7148372601125189
Position 17073: 0.42160928846160095
Position 1963: 0.4032922399239326
Position 1181: 0.27757184423992187
Position 4731: 0.11453171676844169
Position 4572: 0.05140764661445452
Position 1081: 0.038226805673095984
Position 1027: 0.017964764747769413
Position 3457: 0.016897021301164782
Position 15745: 0.015688038460486196
Position 15710: 0.01425431707849611
Position 17269: 0.013190051463998466
Position 1135: 0.009788234573846286
Position 16643: 0.008138049587237016
Position 1818: 0.007708378273538502
Position 1150: 0.0046489299889490125
Position 936: 0.004153332093763686
Position 1871: 0.0024697539618923317
Position 1092: 0.0014068516418182042
Position 3264: 0.0012487190802314807
Position 3504: 0.0012250174835676392
Position 3198: 0.0008643954593752937
Position 11127: 0.000704322177763869
Position 3355: 0.0006554679688909425
Position 1139: 0.0006253344212511652
Position 3516: 0.000504585962465999
Position 1636: 0.0002652978429019744
Position 3405: 0.00024887657591314734
Position 8130: 0.00018654519406711205
Position 3307: 0.00017073130507069101
Position 6327: 0.00010849048955935765
Position 4602: 9.658417099533826e-05
Position 836: 8.85881325303281e-05
Position 8629: 8.396826236963854e-05
Position 7049: 6.546201854457726e-05
Position 1204: 6.233518531155293e-05
Position 1237: 5.3688614690402994e-05
Position 6429: 5.136894895670515e-05
Position 4932: 4.423541080516704e-05
Position 8109: 3.8180022125162356e-05
Position 5946: 3.318386482113543e-05
Position 5390: 3.2532132038230975e-05
Position 9897: 1.756108789437124e-05
Position 814: 1.7465723960964754e-05
Position 9532: 1.4510140717406016e-05
Position 6741: 1.4411421719487888e-05
Position 1613: 1.3694099277520623e-05
Position 2154: 1.3519163812355936e-05
Position 1820: 1.3311079218204249e-05
Position 3767: 1.1999036113899133e-05
Position 5728: 1.0955502882089977e-05
Position 284: 1.0370591194148783e-05
Position 437: 1.007690867365467e-05
Position 416: 9.065835592956107e-06
Position 2399: 8.216911357690744e-06
Position 8358: 8.158048496879991e-06
Position 2778: 8.12911601138886e-06
Position 264: 8.006691678049062e-06
Position 8576: 7.561984908178045e-06
Position 3641: 6.697974223225246e-06
Position 3675: 6.633190703395898e-06
Position 1534: 6.205435023801382e-06
Position 423: 4.5690425369856735e-06
Position 1482: 4.567613321286897e-06
Position 4338: 4.437947500833483e-06
Position 4190: 4.191105058738547e-06
Position 1569: 3.6194087373990506e-06
Position 3717: 3.4526819647838403e-06
Position 3865: 3.066498993103693e-06
Position 2738: 2.721713885629777e-06
Position 4887: 2.6613606333774305e-06
Position 1200: 2.644491666459109e-06
Position 6462: 2.4326898330799873e-06
Position 5910: 2.364703550966851e-06
Position 1436: 1.711359663346415e-06
Position 1737: 1.493326678566e-06
Position 359: 1.4726668314523113e-06
Position 5585: 1.464054059988112e-06
Position 2274: 1.3983254334870338e-06
Position 760: 1.302927976951609e-06
Position 1441: 1.300696121878731e-06
Position 1826: 1.22053895747207e-06
Position 2178: 1.2177403216222497e-06
Position 1202: 1.0592380858450178e-06
Position 1095: 8.544065825262333e-07
Position 951: 8.030507932725907e-07
Position 385: 8.020705870619978e-07
Position 1586: 7.973257673538008e-07
Position 4125: 6.99930819510518e-07
Position 4292: 6.242934845283387e-07
Position 1454: 5.653509282145635e-07
Position 319: 5.408989015636626e-07
Position 3894: 5.355222066510162e-07
Position 2283: 5.193352034754711e-07
Position 250: 5.184492945827069e-07
Position 2006: 5.015165025711393e-07
Position 458: 4.631711658309099e-07
Position 257: 4.3268883157943283e-07
Position 798: 4.072671686773491e-07
Position 3236: 3.7100277418670393e-07
Position 379: 3.4211652899947214e-07
Position 427: 3.317890946616145e-07
Position 3101: 3.25241270519767e-07
Position 1222: 2.597086407561686e-07
Position 5989: 2.583277845676779e-07
Position 873: 2.440210176025835e-07
Position 291: 2.2601246656430407e-07
Position 839: 1.7205642316783861e-07
Position 461: 1.1533379231389092e-07
Position 588: 1.0827881958524421e-07
Position 2981: 1.5408226795050367e-08
Position 3056: 7.52843617946573e-09
Position 254: 6.5087361900907006e-09
Position 3024: 5.7001846851533975e-09
Position 1487: 4.6432786369569815e-09
Position 864: 4.2340034416851965e-09
Position 897: 3.748144002892796e-09
Position 1211: 3.5317117147117134e-09
Position 396: 2.5308417214667113e-09
Position 310: 2.45284984292826e-09
Position 446: 1.7047374393452282e-09
Position 2034: 1.5917892680845057e-09
Position 439: 6.113442726011296e-10
Position 425: 5.98304188606202e-10
Position 392: 5.658210837471791e-10
Position 1978: 5.395730338989525e-10
Position 1974: 4.660176866522293e-10
Position 791: 4.521656775787053e-10
Position 634: 4.3289001871307724e-10
Position 498: 3.683143144363005e-10
Position 338: 3.086635791245649e-10
Position 680: 2.938379524792894e-10
Position 350: 2.788621002735763e-10
Position 328: 2.5457124198209414e-10
Position 394: 2.5435704714101826e-10
