Gene = Taf1d
index = 1056
Annotated 5SS: [  36 1574 2668 3787 4162 5448 6589 8884 9193]
Annotated 3SS: [  624  2276  3610  4109  5278  6525  7741  9134 10640]
SMsplice 5SS: [  36  743 1574 3787 4162 5448]
SMsplice 3SS: [  624  1479  3610  4050  5278 10640]
top_k =  500
Partition function (log Z): -0.12800253540303874

Sorted 5' Splice Sites (High to Low Probability):
Position 3787: 0.9432475371046586
Position 1574: 0.9325894803234169
Position 4162: 0.8944532329436814
Position 5448: 0.802604429789951
Position 36: 0.7710563513400451
Position 743: 0.6076793993778157
Position 390: 0.48954389314023294
Position 9089: 0.2994824822925675
Position 2668: 0.29919415962440854
Position 7910: 0.26817349022783066
Position 8017: 0.10005631293395488
Position 2992: 0.08315513501768762
Position 8884: 0.07103665323960315
Position 4770: 0.06358363968259449
Position 248: 0.04743821387889979
Position 9229: 0.03967770196807
Position 7434: 0.038239027730479894
Position 1579: 0.037588011099592006
Position 6589: 0.027806397482005425
Position 6490: 0.027563517269896833
Position 9193: 0.027518577787660616
Position 65: 0.026692128115686463
Position 5975: 0.02608404300172176
Position 7335: 0.024871023624811545
Position 214: 0.023495932692243822
Position 2559: 0.01965284098555649
Position 379: 0.018762407000310323
Position 2704: 0.016977123362393293
Position 9389: 0.016561830145786088
Position 192: 0.014630835210113092
Position 7412: 0.014567390543573528
Position 9252: 0.014211122137357392
Position 7657: 0.01378545885972799
Position 1139: 0.01078944859955074
Position 4075: 0.010159869909177093
Position 9016: 0.008118100912916263
Position 4956: 0.007852081460070569
Position 4155: 0.0073658947812935424
Position 475: 0.0072752864496923395
Position 384: 0.00643208582138967
Position 5941: 0.006132985841035955
Position 2399: 0.005553424817233896
Position 8071: 0.004667721960363139
Position 3818: 0.004664500363838593
Position 374: 0.003985258789242028
Position 4793: 0.003968599925229679
Position 4351: 0.003776598034513057
Position 4560: 0.0031682517524555744
Position 7785: 0.00280083014493928
Position 1672: 0.0027416117136153865
Position 3107: 0.0024683266542744227
Position 3655: 0.0023118363331075037
Position 1592: 0.002138454337785585
Position 1149: 0.002076161331795167
Position 4411: 0.001978013480402389
Position 9365: 0.0018252123291827966
Position 3537: 0.0017772984947442502
Position 3999: 0.0016460413713203987
Position 2997: 0.0015758178318915422
Position 344: 0.0015579478563377516
Position 2022: 0.0014637681237034757
Position 112: 0.0012787520901913845
Position 4597: 0.0011997508541812898
Position 5571: 0.0010822752730843602
Position 3169: 0.0010736357410732688
Position 1322: 0.001066477733901115
Position 2131: 0.0010193639437409963
Position 1180: 0.0009439545649901758
Position 396: 0.0009316829981363635
Position 363: 0.000840234755737015
Position 526: 0.0006795821925749563
Position 997: 0.0005631267761001918
Position 4857: 0.0005513009122756153
Position 5199: 0.0005432575049380327
Position 6829: 0.000523656241174123
Position 6722: 0.0005147347058819391
Position 135: 0.0004969369213484498
Position 4669: 0.00045885485540691476
Position 5754: 0.00040359499251086143
Position 3759: 0.00034411017560315307
Position 1373: 0.0002955868308521809
Position 6171: 0.00028046749255284385
Position 3910: 0.0002534850104029591
Position 6350: 0.00025161507233063715
Position 43: 0.0002515402974663781
Position 4652: 0.0002509587441351979
Position 4744: 0.00024135466929934866
Position 5469: 0.00018541730494105825
Position 756: 0.00015208771832653765
Position 284: 0.00013305811157606243
Position 216: 0.0001259600311199583
Position 360: 0.00010099991661362468
Position 198: 9.100504276331021e-05
Position 255: 8.383791889283439e-05
Position 5705: 8.114515733720652e-05
Position 97: 7.714983666357612e-05
Position 479: 7.082644394047847e-05
Position 502: 6.75686933807132e-05
Position 4166: 6.729386515702535e-05
Position 452: 6.10353451408915e-05
Position 5478: 5.915342980174396e-05
Position 234: 5.119523885830014e-05
Position 4159: 3.862385000550484e-05
Position 559: 3.3744913976452675e-05
Position 326: 3.0488517743996103e-05
Position 4204: 2.4515719980192908e-05
Position 241: 2.3735126596184818e-05
Position 260: 2.3703676893881305e-05
Position 4198: 2.2296183094739854e-05
Position 4145: 2.222076203329124e-05
Position 53: 2.0061120719616022e-05
Position 529: 1.3161663290551097e-05
Position 469: 5.27377663166151e-06
Position 46: 2.4435506908618012e-06
Position 2043: 1.8557587593831006e-06
Position 300: 5.853795604338232e-09
Position 289: 5.918218410038757e-10
Position 246: 9.581366688539385e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 1479: 0.9125703057791373
Position 3610: 0.891814350738538
Position 4050: 0.8066393895853777
Position 5278: 0.7976321521140637
Position 10640: 0.6897734500925331
Position 624: 0.5768639201996472
