Gene = C130079G13Rik
index = 194
Annotated 5SS: [ 293 1746 3843 6513 7535]
Annotated 3SS: [ 1537  3619  6442  7362 10912]
SMsplice 5SS: [ 293 3843]
SMsplice 3SS: [3619 7718]
top_k =  500
Partition function (log Z): -5.8009010471874

Sorted 5' Splice Sites (High to Low Probability):
Position 293: 0.9955655119876932
Position 3843: 0.9790642274868058
Position 7535: 0.544575428972722
Position 6513: 0.35973882998181017
Position 7290: 0.24896094256265475
Position 2424: 0.1553242624923365
Position 7242: 0.14175867008301052
Position 2981: 0.1186929248687708
Position 3120: 0.08664637960841712
Position 1746: 0.08158017201044081
Position 1999: 0.07271932939191939
Position 3314: 0.061713110140376226
Position 3220: 0.05561208072386215
Position 1372: 0.043310884396279094
Position 6613: 0.039660944642488594
Position 6836: 0.026022850837606054
Position 3031: 0.016812128022073776
Position 6321: 0.016270062511363707
Position 6317: 0.01610325036609344
Position 6325: 0.01293771814435224
Position 3505: 0.010075180199274841
Position 3060: 0.009330457966158803
Position 10135: 0.0081444612184123
Position 2638: 0.007480372246904987
Position 75: 0.006454785482482761
Position 3027: 0.005694815837499727
Position 1727: 0.004988952780613207
Position 1076: 0.004414939884961283
Position 4034: 0.004313884718810676
Position 856: 0.003371254974229232
Position 7542: 0.0029432039983354613
Position 7506: 0.002436651016207781
Position 2838: 0.0020836815176100048
Position 5966: 0.0019932088356476255
Position 7224: 0.0017752105855666678
Position 7881: 0.0016956024050105562
Position 636: 0.0012822875030579907
Position 2343: 0.0011649692074082825
Position 1801: 0.0010407372164388225
Position 6671: 0.0008963680322912527
Position 9: 0.0008409318693558888
Position 2454: 0.0007933185679894021
Position 3752: 0.0007789660837501607
Position 629: 0.0007712089035894922
Position 6648: 0.000763936769019227
Position 3040: 0.0007132902309699872
Position 2323: 0.0007085829623525045
Position 903: 0.0006609495600675908
Position 5287: 0.0006228713232047166
Position 4130: 0.000513321531849352
Position 181: 0.0004181134516293382
Position 5044: 0.00040162360664345226
Position 5048: 0.00037690869934601775
Position 5930: 0.0003081446637869935
Position 4475: 0.00029459030210675043
Position 1680: 0.00028250197227612034
Position 5040: 0.000271811242672796
Position 3722: 0.0002512461653140571
Position 5874: 0.00021568084685860952
Position 3816: 0.0002007635232414729
Position 4: 0.0001433365817595413
Position 251: 0.00010219314463375868
Position 1206: 7.181078396828556e-05
Position 742: 6.707570175657344e-05
Position 2022: 4.6308688293328885e-05
Position 905: 4.440073874377313e-05
Position 599: 4.062057395656725e-05
Position 1471: 4.049776239587016e-05
Position 316: 3.8128442245009925e-05
Position 14: 3.708132074777601e-05
Position 1452: 3.653217497126109e-05
Position 1415: 2.684777573530155e-05
Position 951: 2.2012208361458667e-05
Position 1629: 2.107895487646659e-05
Position 604: 1.752860388496539e-05
Position 147: 1.602555262293064e-05
Position 1648: 1.1903174253306272e-05
Position 2025: 1.0583232490765912e-05
Position 1060: 9.672898425889634e-06
Position 1233: 9.434670570217333e-06
Position 849: 8.666108799583056e-06
Position 959: 3.920958431190029e-06
Position 79: 2.732401659711482e-06
Position 1675: 2.40661410884585e-06
Position 68: 1.9836301882891895e-06
Position 1427: 1.966532652567163e-06
Position 1033: 1.8729866409099011e-06
Position 1376: 1.8696843304190962e-06
Position 795: 1.8610545259647226e-06
Position 802: 1.8324045727993817e-06
Position 873: 1.6130872806890883e-06
Position 692: 1.5123510959172779e-06
Position 1351: 1.4612522082044773e-06
Position 1165: 1.2952548140502313e-06
Position 89: 1.2684456687455832e-06
Position 1267: 1.2674425697775153e-06
Position 913: 1.165762615014618e-06
Position 778: 1.0414167009963897e-06
Position 5036: 8.405612685043242e-07
Position 107: 6.331493010710446e-07
Position 3800: 5.052110990678645e-07
Position 105: 4.413281078229508e-07
