Gene = Tdo2
index = 1066
Annotated 5SS: [  544   879  1882  4566  6713  8118  9218 12281 13478 14770 15733]
Annotated 3SS: [  772  1790  4494  6584  7930  9109 12168 13419 14689 15641 17257]
SMsplice 5SS: [  544   879  1882  4566  6713  8118  9218 12281 13478 14770 15733]
SMsplice 3SS: [  772  1790  4494  6584  7930  9109 12168 13419 14689 15641 16840]
top_k =  500
Partition function (log Z): 5.817996657577848

Sorted 5' Splice Sites (High to Low Probability):
Position 8118: 0.992662682611714
Position 6713: 0.9859418626113776
Position 12281: 0.9416349905052106
Position 14770: 0.9143342506504626
Position 879: 0.9015089973945704
Position 4566: 0.8085558766005246
Position 1882: 0.7758971905148666
Position 13478: 0.7117356888595194
Position 15733: 0.7023564131770663
Position 9218: 0.6944262985884223
Position 544: 0.509055986945516
Position 1256: 0.38234476685511704
Position 4817: 0.3448714355849678
Position 381: 0.31190400063083507
Position 12612: 0.16863762186366515
Position 1895: 0.11492002263569633
Position 8932: 0.11423093400543687
Position 7436: 0.06878038399977393
Position 1909: 0.04636533124091576
Position 12526: 0.031809988604702535
Position 14145: 0.02823180456862411
Position 1319: 0.026627676556305727
Position 9887: 0.026376366669236387
Position 14017: 0.023678515187027023
Position 8906: 0.019974488910098943
Position 10938: 0.019622328361681003
Position 1354: 0.01858681471525337
Position 7473: 0.01595806347880247
Position 1481: 0.014554347758612612
Position 15755: 0.013041992864550598
Position 11750: 0.012514672518561682
Position 7477: 0.011771833715117135
Position 1192: 0.009933326997468472
Position 14057: 0.009497756342368633
Position 354: 0.009097783878243601
Position 15955: 0.005237779939356224
Position 1110: 0.0048391751267532115
Position 6657: 0.004718297142019656
Position 16678: 0.0047002785106177785
Position 1958: 0.00439413066609107
Position 1691: 0.004021300964207023
Position 2762: 0.0036138138462723803
Position 4286: 0.0035700795437164376
Position 7806: 0.0034731413669977927
Position 883: 0.003455422213881546
Position 14571: 0.0033474136436435994
Position 6946: 0.0030979209389006787
Position 13952: 0.0027152076661596043
Position 8776: 0.0026706555961831246
Position 12229: 0.00264991780071195
Position 7285: 0.002395484937648751
Position 17264: 0.002287498534547434
Position 454: 0.0021735145276685617
Position 7586: 0.0021368366378255238
Position 266: 0.002128657503713745
Position 6180: 0.002057517755033258
Position 8701: 0.0016248537298181767
Position 442: 0.0016105481493375667
Position 16040: 0.0015145156729674332
Position 1328: 0.001408093781129831
Position 2881: 0.001348460406618041
Position 1178: 0.0013399932777776315
Position 4297: 0.0013311406112808963
Position 1105: 0.001289725084205613
Position 513: 0.0012539068313407778
Position 180: 0.0012123200072351938
Position 390: 0.001204144540596638
Position 539: 0.0011688813814839086
Position 109: 0.001086416351696225
Position 6779: 0.0009834075568320548
Position 49: 0.0009716368321619996
Position 190: 0.0008869581548186427
Position 1395: 0.0007863559004535308
Position 6844: 0.0007374591399670391
Position 9081: 0.0006654731144486274
Position 274: 0.000654699413920955
Position 1458: 0.000617165617218409
Position 7106: 0.0005548433294630788
Position 4229: 0.00041801529020894665
Position 183: 0.0004146486342421981
Position 7255: 0.0003461926997847017
Position 1128: 0.0003157609686070974
Position 1063: 0.0003133407517792974
Position 83: 0.00029651938864179304
Position 504: 0.0002906507224089812
Position 622: 0.00028184715186464304
Position 7035: 0.0002519674257696298
Position 1241: 0.00024430538616531647
Position 1442: 0.00021589721151848296
Position 1055: 0.0002126942754114908
Position 1500: 0.00018359830664567328
Position 517: 0.00015772677227202344
Position 10269: 0.00015766813548536348
Position 1387: 0.0001203761671977123
Position 329: 8.89090111827078e-05
