Gene = Clpx
index = 272
Annotated 5SS: [  306  5805  7706 14363 16052 17880 22561 23234 24492 26724 28584 30040
 32629]
Annotated 3SS: [ 5640  7587 14207 15891 17837 22383 23068 24402 26558 28283 29946 32521
 35553]
SMsplice 5SS: [  306  5805 14142 14363 22561 23234 24492 26724 30040 32629]
SMsplice 3SS: [ 5640 14068 14207 22383 23068 24402 26558 29946 32521 35553]
top_k =  500
Partition function (log Z): -22.506610107228585

Sorted 5' Splice Sites (High to Low Probability):
Position 306: 0.9630225844706921
Position 5805: 0.9139266302818451
Position 14142: 0.5805177828092546
Position 14363: 0.522208526597383
Position 16052: 0.15269350179320168
Position 4453: 0.1260383606264749
Position 7706: 0.08888077665576612
Position 1203: 0.0795100942832768
Position 10392: 0.06907790516762069
Position 1008: 0.049131504935911105
Position 42: 0.041645104287319795
Position 4479: 0.02154639970916369
Position 3880: 0.01910719374967028
Position 4449: 0.016383989814196788
Position 3872: 0.015614768615117946
Position 3659: 0.014168384143887018
Position 3117: 0.012122048838330835
Position 2283: 0.011664626069193494
Position 3893: 0.01090387615958572
Position 3518: 0.01054242650759758
Position 450: 0.008445075688020056
Position 2041: 0.007692860261612743
Position 785: 0.006699816255430166
Position 2969: 0.0063302153951654335
Position 2575: 0.006239819795703619
Position 1244: 0.006174777865643646
Position 1947: 0.00489218379817585
Position 468: 0.004804404005181953
Position 693: 0.003962013464721586
Position 5093: 0.0034769518813690522
Position 4457: 0.0031818067243389323
Position 1730: 0.002956441996895186
Position 5325: 0.0028293058687488266
Position 3403: 0.0024501029324262434
Position 1338: 0.0021381767530677938
Position 2803: 0.0013538469672474565
Position 3098: 0.0011684342434015087
Position 3848: 0.0009104086767159645
Position 3758: 0.000824524054626396
Position 1209: 0.0007566372232640447
Position 4352: 0.0006179151848943904
Position 1018: 0.0005686283824979801
Position 91: 0.0003164305549880744
Position 7610: 0.00027416566963725514
Position 8387: 0.00020461487968458021
Position 7643: 0.00012365962882265866
Position 7673: 0.0001214780747644787
Position 541: 0.00011513558829292145
Position 5: 9.25803022433431e-05
Position 171: 7.162027780684165e-05
Position 314: 5.393773091049924e-05
Position 56: 5.198963536684276e-05
Position 564: 4.0905670773656355e-05
Position 328: 3.1538690045514275e-05
Position 141: 2.5756292137661598e-05
Position 352: 9.755417142003677e-06
Position 737: 9.131331749547542e-06
Position 419: 8.816433786996796e-06
Position 3461: 7.65846109721029e-06
Position 619: 6.263110992405448e-06
Position 669: 5.431512445882464e-06
Position 763: 4.073996294156905e-06
Position 3542: 3.825803974739493e-06
Position 674: 3.5077741345949154e-06
Position 72: 3.393999678390994e-06
Position 1265: 2.9430834035554138e-06
Position 2350: 2.830794467623689e-06
Position 234: 2.8238698318492985e-06
Position 608: 2.22513595609868e-06
Position 836: 2.180585146258328e-06
Position 566: 9.214606743234043e-07
Position 46: 9.025986421868283e-07
Position 360: 7.20872815821015e-07
Position 246: 7.013160112359233e-07
Position 1708: 4.949879598367582e-07
Position 2405: 3.384185922696651e-07
Position 990: 2.680837863460553e-07
Position 2278: 2.6377374535907565e-07
Position 1409: 2.0126039740337964e-07
Position 655: 5.874220532732173e-08
Position 631: 4.466927694024572e-08
