Gene = Nppc
index = 762
Annotated 5SS: [223 928]
Annotated 3SS: [ 616 3772]
SMsplice 5SS: [ 223  928 2983]
SMsplice 3SS: [ 616 2910 3772]
top_k =  500
Partition function (log Z): -2.360845733095101

Sorted 5' Splice Sites (High to Low Probability):
Position 223: 0.9775510901579305
Position 928: 0.9484536350067269
Position 2983: 0.6198118350363575
Position 1396: 0.24438467701888578
Position 479: 0.23055423149860124
Position 3206: 0.1601720300260804
Position 1662: 0.10388130383447017
Position 3676: 0.10375129983420714
Position 1164: 0.09258155486622147
Position 3885: 0.02202679606218834
Position 1953: 0.021385182642057483
Position 509: 0.01428997707282127
Position 274: 0.007456896092949883
Position 2474: 0.006562469693297957
Position 3581: 0.00409341787810062
Position 1176: 0.0025885291755417686
Position 227: 0.0016045050406658444
Position 903: 0.0015756568150633028
Position 3937: 0.001464892113417112
Position 1582: 0.0014461816394586249
Position 498: 0.0014390738838859188
Position 252: 0.0011460909524680701
Position 684: 0.0007564412534069007
Position 2641: 0.0007444259015087595
Position 766: 0.0007200945349139338
Position 3440: 0.0005598057661525237
Position 3333: 0.0005413823549040572
Position 2943: 0.00034901043686980115
Position 119: 0.00034852504794168104
Position 232: 0.00025748085366618644
Position 894: 0.00017144521091296894
Position 349: 0.00013101196924428834
Position 472: 0.00012379115960095094
Position 617: 0.00011848896782751726
Position 3849: 8.233986159875015e-05
Position 405: 6.080418597485851e-05
Position 271: 5.247844390124345e-05
Position 374: 4.7241436524082666e-05
Position 89: 4.26151567101414e-05
Position 580: 3.685597934944375e-05
Position 27: 3.660594871854234e-05
Position 932: 3.260198972135188e-05
Position 1360: 3.164125745587589e-05
Position 755: 2.594774774570133e-05
Position 1149: 2.5710913569562145e-05
Position 105: 1.3508606281844248e-05
Position 556: 9.396244426949178e-06
Position 395: 6.884918558692524e-06
Position 1016: 3.839870755780891e-06
Position 1324: 3.071966561366138e-06
Position 1041: 2.7457751997057245e-06
Position 844: 1.7208844284426916e-06
Position 562: 1.595995221505089e-06
Position 36: 6.351807706574094e-07
Position 666: 4.590770224481535e-07
Position 753: 3.9439976432799363e-07
Position 261: 3.643409407454353e-07
Position 1011: 2.0913580750879706e-07
Position 997: 8.659176609484814e-08
Position 1036: 6.087069405448294e-08
Position 907: 2.462194967037164e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 616: 0.9379024402270284
Position 3772: 0.9150728118876907
Position 2910: 0.46368056986728157
Position 361: 0.19421034886813465
Position 2838: 0.13831521671953823
Position 1122: 0.12503250367402266
Position 3117: 0.09641522414235731
Position 1064: 0.09471633091551028
Position 3332: 0.07658744150027341
Position 1493: 0.07080175488153899
Position 1211: 0.05752937577874014
Position 1007: 0.04487722042541967
Position 2785: 0.041208585650372456
Position 3497: 0.03483825867475921
Position 3443: 0.02820357247384285
Position 412: 0.0257812616674545
Position 3139: 0.023880901278060286
Position 1883: 0.021245692921359995
Position 4235: 0.02068714782633313
Position 1271: 0.018260913044215437
Position 1534: 0.01676520689239097
Position 334: 0.016059223131177257
Position 2860: 0.015287594827590362
Position 2804: 0.011433888452519188
Position 1395: 0.008416232334621276
Position 3618: 0.006970611431877767
Position 2383: 0.006757167556844096
Position 1577: 0.006139148573395833
Position 3567: 0.0044007882356001966
Position 868: 0.003993946009012962
Position 3122: 0.0033137867047240955
Position 1922: 0.0030918886121694554
Position 1294: 0.002642486057383337
Position 851: 0.002391530216630295
Position 4261: 0.002225476646531853
Position 766: 0.0020558717023446867
Position 1597: 0.0018234524679539184
Position 3580: 0.0017292835780819407
Position 458: 0.0016525015121395877
Position 3062: 0.0014492009492493765
Position 3059: 0.0014226535482288966
Position 1432: 0.0013176622546279561
Position 3085: 0.0012981066958741927
Position 1275: 0.001163618332759756
Position 3295: 0.0010541515025535566
Position 2787: 0.0010044197921439896
Position 2672: 0.0009076331749966639
Position 824: 0.0009058850265872094
Position 455: 0.0008639014365309506
Position 658: 0.0008138754581635297
Position 1347: 0.0007496719395038099
Position 4015: 0.0007412151673655478
Position 433: 0.0006997641981389963
Position 2568: 0.0006012977581860031
Position 4140: 0.0005850023970442548
Position 1435: 0.0005607198217672546
Position 2473: 0.0005350718013425178
Position 2291: 0.0005273990767881008
Position 721: 0.0005200809851380106
Position 2635: 0.0005028700645918788
Position 799: 0.00048151879511061033
Position 4046: 0.0004667843379300105
Position 2498: 0.0004048839640071261
Position 3022: 0.000367332440473971
Position 1241: 0.00032864675734926987
Position 662: 0.0003273006285755164
Position 2930: 0.0003249754073495363
Position 1459: 0.00032026715523898747
Position 2008: 0.0003195972822478679
Position 288: 0.0003116646454323242
Position 676: 0.0003052102132761616
Position 702: 0.00030232881342189954
Position 682: 0.0002973631610919752
Position 1566: 0.000296733387529779
Position 4161: 0.0002814329898914513
Position 1456: 0.00026169633432132356
Position 1724: 0.0002597026883789208
Position 1893: 0.0002518742428746134
Position 1163: 0.0002262518882268339
Position 3727: 0.00022550426146161173
Position 1651: 0.00019992060539848462
Position 1225: 0.00019425733855830312
Position 698: 0.00018722953070750658
Position 562: 0.00016948750361870749
Position 635: 0.00015704447772508655
Position 4052: 0.00015410627734027183
Position 3984: 0.00015103983640216785
Position 3239: 0.0001374156011239701
Position 1747: 0.00011481855617054309
Position 3362: 0.00011055854087668904
Position 2482: 6.340172334922299e-05
Position 838: 6.11386525390452e-05
Position 435: 5.174728432263846e-05
Position 291: 5.1211058023839715e-05
Position 1296: 5.0930410365984414e-05
Position 1603: 4.6989977980233316e-05
Position 1953: 4.5016009645407314e-05
Position 308: 4.1307767996330034e-05
Position 1662: 4.122826118264968e-05
Position 2641: 3.895832629150966e-05
Position 452: 3.813209556922392e-05
Position 1988: 3.691281136498129e-05
Position 907: 3.667683465059676e-05
Position 725: 3.150015641944617e-05
Position 1219: 3.071853489481766e-05
Position 1599: 3.0288138752706114e-05
Position 1453: 2.7533990216959426e-05
Position 835: 2.20338572786842e-05
Position 1298: 2.0829539685465235e-05
Position 643: 1.9791442034785617e-05
Position 624: 1.930751764403028e-05
Position 1321: 1.822260686379811e-05
Position 1344: 1.8130169026168534e-05
Position 370: 1.658941529165624e-05
Position 891: 1.303212915537325e-05
Position 912: 1.1357004271400712e-05
Position 304: 1.0374353307640249e-05
Position 147: 9.322979536071682e-06
Position 640: 9.179992129375397e-06
Position 89: 8.809182962461535e-06
Position 963: 7.943477891915353e-06
Position 1315: 6.801086817858396e-06
Position 199: 6.786824714974569e-06
Position 1333: 6.29432292099794e-06
Position 478: 6.1057617811110064e-06
