Gene = C130050O18Rik
index = 192
Annotated 5SS: [ 128 1293]
Annotated 3SS: [1151 8992]
SMsplice 5SS: [ 128 1293]
SMsplice 3SS: [1151 8992]
top_k =  500
Partition function (log Z): -8.486938230709542

Sorted 5' Splice Sites (High to Low Probability):
Position 1293: 0.9225871877817762
Position 128: 0.8510239193105628
Position 6957: 0.3416086159579032
Position 7068: 0.2997619977983374
Position 7399: 0.21695585286571778
Position 6683: 0.17207926671589832
Position 5469: 0.16446470938060145
Position 499: 0.0937430467703663
Position 7952: 0.07736571621620769
Position 5163: 0.06917832672986146
Position 3957: 0.0557285929171554
Position 3031: 0.05498929147490884
Position 505: 0.04822035525080259
Position 8130: 0.04684767390493614
Position 5928: 0.028689240420632214
Position 726: 0.027120599096180174
Position 473: 0.02708248824452253
Position 2042: 0.02459317405746648
Position 3123: 0.02272318360829563
Position 9115: 0.020798675677647354
Position 9129: 0.01890351185660362
Position 3012: 0.016785683883591623
Position 9105: 0.013289429114714668
Position 2834: 0.012089131009205306
Position 8117: 0.011959543447399787
Position 5975: 0.011853981857875397
Position 2922: 0.011074394507726935
Position 843: 0.010936993226546135
Position 830: 0.008334435980342846
Position 7775: 0.008261729905659255
Position 4563: 0.0061407929466987905
Position 263: 0.005100430736749925
Position 323: 0.004433704132444273
Position 1435: 0.004055324446489345
Position 3002: 0.0026237199922517214
Position 740: 0.0020580506538153552
Position 270: 0.001215787777178734
Position 98: 0.0012087929206421712
Position 2663: 0.0008747958875815636
Position 877: 0.0008459763325043518
Position 417: 0.0007789935601344777
Position 312: 0.0006811108326324881
Position 4628: 0.0004920939079882962
Position 4798: 0.0004874293992783865
Position 733: 0.0004431649489449651
Position 536: 0.00043924885820118773
Position 715: 0.0004235502570005002
Position 2781: 0.00039508971772787816
Position 102: 0.0002864503432202969
Position 95: 0.00017084222382714688
Position 1918: 0.00013869388398757588
Position 2026: 0.0001008776228220032
Position 2009: 9.997016983212568e-05
Position 1152: 6.893278014599026e-05
Position 2052: 6.696970548748461e-05
Position 1634: 6.233681857755899e-05
Position 764: 5.386955097193573e-05
Position 2568: 4.894534104299299e-05
Position 7098: 2.829222628184313e-05
Position 2585: 2.7519301626786267e-05
Position 2850: 2.5719269368322057e-05
Position 257: 2.635139793395326e-06
Position 16: 7.443067899015221e-07
Position 175: 4.112413923128425e-07
Position 550: 9.085347182998654e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 8992: 0.9058599573970528
Position 1151: 0.8858656954048325
Position 6870: 0.6196005780638496
Position 5086: 0.19506103901634045
Position 6524: 0.15661658030215608
Position 7215: 0.11569136419691972
Position 2921: 0.09694903052233989
Position 7845: 0.08360968488487715
Position 9731: 0.055768034679821485
Position 7264: 0.05475048992132391
Position 8012: 0.05206991020438583
Position 7286: 0.051803844815990735
Position 3875: 0.04943925160518423
Position 6825: 0.03519837527344924
Position 5823: 0.024700243332581286
Position 383: 0.02232982031151679
Position 5280: 0.020565896624774458
Position 7709: 0.019754414270123963
Position 9223: 0.017302337697130785
Position 312: 0.017058196114427878
Position 1913: 0.017049608467755863
Position 6632: 0.016573854171314597
Position 5784: 0.01639815623441093
Position 5286: 0.014946319723440016
Position 595: 0.013789109391957263
Position 202: 0.011748068874109865
Position 1129: 0.010441574748890379
Position 7584: 0.010076138112392488
Position 2526: 0.009281360008690145
Position 222: 0.00912829831062711
Position 1282: 0.007651619608103534
Position 5015: 0.006780885559262938
Position 2877: 0.006173731965578784
Position 2859: 0.005403675894711743
Position 1173: 0.005236316073657753
Position 4448: 0.004636605124639417
Position 2781: 0.004517404577850683
Position 668: 0.00440260290451723
Position 1916: 0.004302113858487384
Position 3746: 0.004208926828461697
Position 1046: 0.0037288363838998266
Position 8573: 0.003158789817445831
Position 900: 0.003013654558298715
Position 1254: 0.002953399663801054
Position 6132: 0.0027314205823835034
Position 2025: 0.0026467783195875494
Position 6352: 0.0022753072390959495
Position 5162: 0.002072094621961999
Position 3829: 0.002034153700665041
Position 1107: 0.0020110491569390173
Position 5552: 0.0017866904153290562
Position 757: 0.001653253141302292
Position 1193: 0.0016070423593696139
Position 8827: 0.0013896008350503318
Position 7042: 0.00136893552188722
Position 1072: 0.0013273393802346607
Position 2566: 0.0012305959421932177
Position 4422: 0.0012008436938328983
Position 3379: 0.0011560191503390022
Position 599: 0.0010079526209808146
Position 4820: 0.0009251928193403027
Position 2801: 0.0009140444620567656
Position 4262: 0.0009067763861792927
Position 10145: 0.0008931288303147503
Position 335: 0.0008363307363614535
Position 390: 0.0008069374450475256
Position 1839: 0.0008004384589191883
Position 7525: 0.0007070757178822877
Position 316: 0.0006468793698872744
Position 4509: 0.0005994251726992766
Position 1092: 0.0005965573494467276
Position 1434: 0.0005791119849087227
Position 685: 0.0005528158208913224
Position 620: 0.0005354660467182657
Position 3704: 0.0005216593545614492
Position 3025: 0.00047240201157138054
Position 236: 0.0004621622774609804
Position 355: 0.00044062233664027723
Position 2583: 0.00043277876829143154
Position 4427: 0.0004291065603035817
Position 2964: 0.00042905200180715926
Position 2721: 0.00039484768504347934
Position 2983: 0.0003762861094840261
Position 1186: 0.0003325090124406641
Position 6145: 0.0003228149567532997
Position 4861: 0.0003137923194502997
Position 4864: 0.00028389703692143647
Position 1736: 0.00025459771467714387
Position 1774: 0.00025424380077467
Position 794: 0.00025207201445661575
Position 6320: 0.00024637232311932136
Position 3983: 0.00021322101066900958
Position 470: 0.00020444535501871894
Position 4076: 0.00017696059105892992
Position 643: 0.00017188818941170188
Position 2763: 0.00015935287549349086
Position 4915: 0.00014314666247722136
Position 2754: 0.00013663404797744364
Position 2377: 0.00013447778570459381
Position 1341: 0.00012187650000342387
Position 526: 0.0001132088963080186
Position 1263: 0.00011003655548594339
Position 4532: 9.472031744344042e-05
Position 1188: 8.125062832835505e-05
Position 626: 7.499722209859571e-05
Position 800: 7.429157124151362e-05
Position 546: 7.077923982907486e-05
Position 361: 6.718856108654856e-05
Position 400: 6.552990292178111e-05
Position 674: 6.363578561491466e-05
Position 4269: 6.320109047791656e-05
Position 254: 6.113213924105473e-05
Position 3956: 6.106725846564707e-05
Position 346: 5.793683918176837e-05
Position 4299: 5.7137207977899366e-05
Position 3206: 4.9995937460033285e-05
Position 4232: 4.91286104257536e-05
Position 739: 4.907858138575165e-05
Position 4049: 4.348555523560834e-05
Position 2506: 3.387528608053475e-05
Position 323: 3.362553034449694e-05
Position 2230: 2.9484557095880235e-05
Position 3432: 2.7897152580285704e-05
Position 3414: 2.531905897001238e-05
Position 425: 2.521394169936304e-05
Position 1381: 2.5152816829408575e-05
Position 1655: 2.409903597940654e-05
Position 1361: 2.2464140482410376e-05
Position 1394: 2.245016878879267e-05
Position 536: 2.1733249916167032e-05
Position 708: 2.1438929970862146e-05
Position 2531: 2.018673236993202e-05
Position 702: 1.872101593217702e-05
Position 455: 1.654601614394685e-05
Position 262: 1.6442175976233944e-05
Position 616: 1.5945051186334116e-05
Position 2204: 1.5126381845814232e-05
Position 2352: 1.381196226396375e-05
Position 2112: 1.2125822249662926e-05
Position 1052: 1.2114359589189555e-05
Position 1740: 1.1705470311308851e-05
Position 496: 1.1417296064424871e-05
Position 270: 9.030230717088882e-06
Position 417: 8.260299085554585e-06
Position 640: 6.605426015200524e-06
Position 1318: 6.598563676734608e-06
Position 1368: 6.180809186695989e-06
Position 1922: 6.132661827484842e-06
Position 320: 5.6349944810465996e-06
Position 1891: 4.472311559185486e-06
Position 1951: 3.782957422837578e-06
Position 1686: 3.3585918960242367e-06
Position 1642: 2.856192855730332e-06
Position 888: 2.1360362506134322e-06
Position 1062: 1.8144072145360978e-06
Position 1324: 1.236808421242204e-06
Position 1292: 6.57113540976375e-07
Position 927: 6.461571027413613e-07
Position 1320: 6.214014703296747e-07
Position 860: 3.401109062491273e-07
Position 430: 1.6634495326101062e-07
Position 348: 1.582980551163909e-07
Position 696: 1.5809482696022182e-07
Position 393: 4.9562331926831895e-08
Position 628: 3.387171621464882e-08
Position 630: 3.056763202946441e-08
Position 257: 2.8993426066421687e-08
Position 829: 2.5945350247617536e-08
Position 1766: 2.4404820567939447e-08
Position 1818: 2.1395053116589447e-08
Position 412: 2.1200833724191162e-08
Position 1662: 1.5073155578827163e-08
Position 721: 1.4861431383091919e-08
Position 1458: 7.257024646219303e-09
Position 476: 7.044759781928234e-09
Position 473: 4.636255948826818e-09
Position 489: 3.3130779213000886e-09
Position 186: 6.36738451435894e-10
Position 503: 3.249816818895062e-10
Position 127: 8.896965487256172e-12
Position 175: 4.849123429807658e-12
Position 168: 4.4302431103887335e-12
Position 109: 3.628802318904636e-13
Position 131: 5.199306130799981e-14
Position 161: 3.9307699027910596e-14
Position 80: 8.46201271110827e-15
Position 156: 5.92519131139365e-15
Position 95: 3.5665925169067555e-15
Position 143: 3.013633912394429e-15
Position 84: 7.831333207496064e-16
Position 135: 5.697053824478485e-16
