Gene = Leng1
index = 631
Annotated 5SS: [ 525 2159 3070]
Annotated 3SS: [1978 2815 4479]
SMsplice 5SS: [ 525 2159]
SMsplice 3SS: [1978 4479]
top_k =  500
Partition function (log Z): -2.4917234384537807

Sorted 5' Splice Sites (High to Low Probability):
Position 2159: 0.9902804737384305
Position 525: 0.9671991967065643
Position 3070: 0.5372507118794185
Position 4577: 0.2927679020308559
Position 2838: 0.045586346168739265
Position 2667: 0.04234459276898817
Position 1887: 0.041212216260063675
Position 3083: 0.03699213581924323
Position 3235: 0.023812162008283403
Position 201: 0.0225417160749645
Position 2723: 0.012704175197420741
Position 4565: 0.012172541753489299
Position 1339: 0.009486825665654904
Position 2681: 0.007675496556143405
Position 586: 0.007070941820945368
Position 3204: 0.005485334178831067
Position 107: 0.005424965805718765
Position 2272: 0.005372860221131761
Position 1730: 0.005111703601799842
Position 4182: 0.005024085653082197
Position 1259: 0.004965943460571583
Position 3538: 0.004847361417319433
Position 3126: 0.0047413952723755265
Position 378: 0.0045885324033743315
Position 823: 0.0030836635903424615
Position 3814: 0.0024171612171716723
Position 2893: 0.002196235856891256
Position 131: 0.001942134542368048
Position 423: 0.0016995207552029962
Position 450: 0.001636952401703155
Position 3172: 0.0014735264642876784
Position 2698: 0.001437126170686693
Position 2525: 0.0012427535602679532
Position 4230: 0.0011611400795143718
Position 90: 0.001115721460385646
Position 3571: 0.0010957752541100004
Position 504: 0.0010261432955453733
Position 4595: 0.0010019584145990839
Position 2717: 0.0009247781198164089
Position 4119: 0.0007772330827606263
Position 969: 0.0007683472505433163
Position 1649: 0.0007574937255022316
Position 4323: 0.0007535228245679911
Position 2709: 0.0007521599411547738
Position 3109: 0.000679594789583809
Position 2746: 0.0006346367126699614
Position 1422: 0.0005670903569734351
Position 573: 0.0005558947079783313
Position 5136: 0.0005525078156737401
Position 25: 0.000541827675832218
Position 952: 0.0005284907858425776
Position 2573: 0.0005044751858137142
Position 187: 0.00045364927245550345
Position 1720: 0.000451260207586419
Position 5188: 0.000432710058699907
Position 3018: 0.00034167095687678687
Position 3597: 0.00032955907588189256
Position 3027: 0.000320740335863859
Position 1503: 0.0003191366918564926
Position 1602: 0.0003139427733594781
Position 761: 0.00030094305301100457
Position 179: 0.00026814358890335033
Position 2061: 0.0002657941129375269
Position 349: 0.00024023392020181518
Position 736: 0.0002028888205828516
Position 1511: 0.00019442535206799089
Position 70: 0.0001715585843828683
Position 887: 0.00016938808699625636
Position 843: 0.00016119789507509046
Position 309: 0.00013980267901750006
Position 590: 0.00010271771360081337
Position 2194: 0.00010200477176198691
Position 1983: 9.802844151808773e-05
Position 359: 9.764121203243588e-05
Position 828: 7.31096355610337e-05
Position 4142: 7.192972523802898e-05
Position 1472: 6.440914672446138e-05
Position 441: 6.223902822411231e-05
Position 1437: 6.0552160580694845e-05
Position 1417: 4.507519718862668e-05
Position 371: 3.4085578628172974e-05
Position 57: 3.1862236131533374e-05
Position 274: 3.060134398904191e-05
Position 905: 2.9406049929531002e-05
Position 4418: 2.7140558038929178e-05
Position 2224: 2.2328360341083456e-05
Position 41: 2.0386452950048258e-05
Position 2364: 1.407101560476813e-05
Position 136: 1.1559278469603107e-05
Position 4435: 1.0785493462074085e-05
Position 2080: 8.236813278639222e-06
Position 2111: 8.115751916251033e-06
Position 2386: 6.505824709623235e-06
Position 2213: 2.537610659272396e-06
Position 2488: 1.6182440559009109e-06
Position 2431: 8.975447517422915e-07
Position 1928: 8.764870496492475e-07
Position 2163: 8.582669518740833e-07
Position 2588: 4.363183650569393e-07
Position 2335: 4.3207234472444405e-07
Position 2276: 4.137358397096245e-07
Position 2180: 3.8120301585081064e-07
Position 2207: 2.7651766249787425e-07
Position 2280: 1.7749460081380678e-07
Position 594: 1.344739863536644e-07
Position 604: 6.711389948903824e-08
Position 621: 6.643961083427923e-08
Position 660: 6.454328650651215e-08
Position 592: 3.882368966873688e-08
Position 723: 2.0230142758376363e-08
Position 662: 3.526599107495135e-10
Position 2072: 1.0224001029584654e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 4479: 0.946327204944836
Position 1978: 0.8802705694121276
Position 2933: 0.3208559503743873
Position 2815: 0.24276388973104635
Position 2572: 0.08980706723841356
Position 1937: 0.08023782579246323
Position 4851: 0.06750198369587194
Position 5037: 0.06549087068560377
Position 2655: 0.046557705916857726
Position 4843: 0.02539803099547269
Position 2909: 0.023171849219903506
Position 5320: 0.021137605463703076
Position 2899: 0.01928784904155479
Position 4946: 0.019044795918327685
Position 1878: 0.018916469919083485
Position 5092: 0.018875865428799158
Position 4977: 0.012933401875456963
Position 1781: 0.01236860091034805
