Gene = Paf1
index = 788
Annotated 5SS: [ 304  748 2185 2589 2745 2922 3107 3252 3437 3776 3999 5603 5799]
Annotated 3SS: [ 717 2091 2466 2677 2819 3000 3182 3332 3658 3869 5496 5707 5874]
SMsplice 5SS: [ 304 2185 2589 2745 2922 3107 3252 3437 3776 3999 5603 5799]
SMsplice 3SS: [2091 2466 2677 2819 3000 3182 3332 3658 3869 5496 5707 5874]
top_k =  500
Partition function (log Z): 29.874287231489053

Sorted 5' Splice Sites (High to Low Probability):
Position 5799: 0.9989659893730358
Position 304: 0.9845619517444891
Position 2922: 0.9728835445455262
Position 2185: 0.9536590048993852
Position 3999: 0.9493687933081486
Position 3107: 0.9246494004864715
Position 3776: 0.9209852017376384
Position 5603: 0.9044420952026585
Position 3252: 0.8513424523877732
Position 2589: 0.8445998889760158
Position 3437: 0.7876091931452502
Position 2745: 0.695494394783138
Position 748: 0.5132007596114765
Position 5995: 0.401750690766398
Position 2750: 0.2660675307329676
Position 4169: 0.12396589024057153
Position 5350: 0.10508222958860587
Position 3780: 0.046541903601224247
Position 5645: 0.03590565737797909
Position 5060: 0.029177584785993776
Position 2610: 0.02800923482896209
Position 3923: 0.02522400412120733
Position 2937: 0.023001272428477507
Position 3965: 0.014325900386145465
Position 3790: 0.013612154661919042
Position 5541: 0.010612113892867795
Position 801: 0.010478076434314044
Position 3784: 0.008390172945774182
Position 191: 0.007266897918117265
Position 5264: 0.006189027468570731
Position 6010: 0.005633593293199046
Position 6055: 0.004484920805534194
Position 2763: 0.0032744984397454022
Position 3225: 0.0025647399574663865
Position 3796: 0.0020820620832724514
Position 466: 0.0019999310855885843
Position 1894: 0.0019569012346709333
Position 531: 0.0019269648705299862
Position 56: 0.0017212531955079925
Position 402: 0.0015745387223201042
Position 447: 0.0015742435816933306
Position 2289: 0.0015426862495099998
Position 1076: 0.001437836113680131
Position 2593: 0.0012335212679518213
Position 477: 0.0011283666027388443
Position 3357: 0.0011181395711550564
Position 415: 0.0010030672443359543
Position 1234: 0.0009901983128674978
Position 1041: 0.0009303404999660178
Position 251: 0.0008018551748400181
Position 5641: 0.0007537744310665674
Position 3581: 0.000689941335046462
Position 1708: 0.0006654574507984755
Position 5938: 0.0006642652724505189
Position 4613: 0.0006586714920338701
Position 1722: 0.0006390519251798155
Position 2855: 0.0005830703036772397
Position 4672: 0.0005703907841079184
Position 3802: 0.0005668525181620752
Position 541: 0.000526862260803021
Position 31: 0.0004944522356452067
Position 520: 0.00048473504210816616
Position 1356: 0.00045628050852474156
Position 3444: 0.00040810757979437066
Position 2926: 0.0004063561476791073
Position 1980: 0.00040576412950958955
Position 3394: 0.00040350312287978793
Position 3492: 0.0003296015985292905
Position 6025: 0.0002970537408621193
Position 3277: 0.00029313466313200294
Position 1898: 0.0002760561593195388
Position 1064: 0.00026322543435065214
Position 3461: 0.0002629128131970686
Position 3807: 0.00026012882567097065
Position 3441: 0.00023749760076317508
Position 2591: 0.00023191079149490002
Position 2318: 0.0002173423688951632
Position 62: 0.00021664840666870734
Position 1514: 0.0002142821307035201
