Gene = Eif3k
index = 370
Annotated 5SS: [ 141 1371 3945 4614 7212 7666 9283]
Annotated 3SS: [ 1271  3823  4538  7144  7587  9156 10375]
SMsplice 5SS: [ 141 1371 6726 7212 7666 9283]
SMsplice 3SS: [ 1271  6635  7144  7587  9156 10375]
top_k =  500
Partition function (log Z): 0.19585142200331784

Sorted 5' Splice Sites (High to Low Probability):
Position 7666: 0.9253603037785318
Position 7212: 0.9200621444953624
Position 1371: 0.9080989376461744
Position 9283: 0.9005743362102513
Position 6726: 0.5480000903483827
Position 141: 0.5465902891198939
Position 131: 0.3021408405850597
Position 3945: 0.2775515044776149
Position 4614: 0.204314712029545
Position 3925: 0.1772271328586369
Position 8438: 0.14664147445801892
Position 1496: 0.08832720110351842
Position 3983: 0.07529962182772416
Position 601: 0.07430119645235125
Position 112: 0.054977625828033595
Position 3919: 0.03888802739427007
Position 2875: 0.027033241116565448
Position 7706: 0.025440903300662787
Position 635: 0.021268358926837688
Position 7687: 0.016476570638983192
Position 3824: 0.015654972606717155
Position 4333: 0.01534494733799793
Position 9785: 0.01461865945132238
Position 8393: 0.014335066829849455
Position 120: 0.01266641645208317
Position 8653: 0.0122631483969966
Position 9637: 0.010899831363480498
Position 562: 0.008529382047989573
Position 385: 0.007981398845894406
Position 492: 0.007856638326852308
Position 497: 0.007825784328301787
Position 858: 0.007164048709584507
Position 1142: 0.005968087350707427
Position 9989: 0.005406573798476325
Position 8404: 0.0050299596693707625
Position 7676: 0.004709428678778687
Position 6734: 0.004197090491516893
Position 2871: 0.002916496519210034
Position 6803: 0.0028793805016641234
Position 250: 0.0019105666764347203
Position 7786: 0.0017240531808575842
Position 299: 0.0015042526805943372
Position 7216: 0.0012813525595810934
Position 3620: 0.0012643884546026842
Position 6739: 0.0012458229464336241
Position 240: 0.0012421584268170031
Position 10012: 0.001188500980006629
Position 3553: 0.0010748165504890002
Position 6973: 0.0010061302369787372
Position 539: 0.0009713712529152989
Position 8330: 0.0009699596847314712
Position 802: 0.0009186814194048769
Position 4091: 0.0008829900777264329
Position 180: 0.0008730766705513936
Position 2245: 0.0008578529214110576
Position 2076: 0.0007835713849927893
Position 5898: 0.0007012018434789389
Position 404: 0.000665407767055428
Position 9216: 0.000613094798870212
Position 507: 0.0005819862286293513
Position 2582: 0.0005422457147564205
Position 9327: 0.0005351706578191172
Position 10284: 0.0005271455139993654
Position 9307: 0.00048507959522910805
Position 76: 0.0004777590308258637
Position 7202: 0.0004501780736163468
Position 2133: 0.0004344589144960646
