Gene = Pigyl
index = 821
Annotated 5SS: [68]
Annotated 3SS: [885]
SMsplice 5SS: [68]
SMsplice 3SS: [885]
top_k =  500
Partition function (log Z): -6.639850399018563

Sorted 5' Splice Sites (High to Low Probability):
Position 68: 0.9465255314396502
Position 805: 0.4242306516028854
Position 1033: 0.03300081469316837
Position 182: 0.030079856782753843
Position 941: 0.014002965559640566
Position 364: 0.008944472203269669
Position 1307: 0.008577020728004791
Position 193: 0.0068682469939050006
Position 405: 0.00596955779990929
Position 565: 0.0035892657197676703
Position 289: 0.0034038614765929706
Position 922: 0.00266588739494653
Position 477: 0.002334771447187833
Position 1010: 0.0020879901743340915
Position 169: 0.0015838505267591419
Position 799: 0.0009636125492331863
Position 769: 0.0007390144627074969
Position 1124: 0.0005532821690805528
Position 411: 0.0004309248756294185
Position 750: 0.00039058174484552617
Position 783: 0.0002823126944809622
Position 1110: 0.00021401785551614625
Position 1293: 0.00020787791526249522
Position 383: 0.0001372562078560644
Position 285: 0.00010507234630062434
Position 72: 0.00010105539359693639
Position 390: 8.977691900561658e-05
Position 1044: 8.840420308146697e-05
Position 598: 8.611281992445112e-05
Position 203: 7.138213956049252e-05
Position 14: 6.473019268703262e-05
Position 954: 5.97085241796294e-05
Position 481: 4.682273579536966e-05
Position 519: 2.8251190818306923e-05
Position 212: 1.970837697520076e-05
Position 186: 1.9067036090720353e-05
Position 79: 1.6638522294566916e-05
Position 242: 1.5158194128622458e-05
Position 323: 1.1797703926734836e-05
Position 581: 1.1494604957062904e-05
Position 104: 1.124300725080562e-05
Position 500: 1.1180625701732249e-05
Position 368: 1.0692501821976905e-05
Position 527: 1.0139817756910153e-05
Position 310: 2.50521859528009e-06
Position 173: 2.452496122520708e-06
Position 586: 2.451395890266084e-06
Position 842: 2.2580862135465034e-06
Position 357: 2.117684369656404e-06
Position 142: 2.093730146841742e-06
Position 434: 1.9035831741258266e-06
Position 653: 1.122394092600812e-06
Position 885: 9.5046836417531e-07
Position 217: 8.005674007435267e-08
Position 277: 7.746182539349388e-09
Position 417: 4.342482427302474e-09
Position 6: 3.0179109012258104e-09
Position 428: 2.8863181200661136e-09
Position 20: 2.7221766006454664e-09
Position 539: 2.9678248295389285e-10
Position 456: 3.48934820871277e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 885: 0.6834893150582856
Position 693: 0.3342611587748912
Position 705: 0.17774206638612486
Position 1203: 0.12629209477999137
Position 921: 0.050666612948496996
Position 1435: 0.01932918678563959
Position 662: 0.0188976757571052
Position 934: 0.013285617243695386
Position 1124: 0.0125470132064027
Position 1279: 0.009508778447723062
Position 293: 0.009393957822078828
Position 1447: 0.006291347264722065
Position 913: 0.003831305434627137
Position 331: 0.003677391471608411
Position 500: 0.0034819745315508212
Position 892: 0.0028489249785525316
Position 404: 0.002735387162443064
Position 480: 0.0027174915845515337
Position 1233: 0.0020726585444925116
Position 424: 0.001749344105165005
Position 970: 0.001601454976041981
Position 584: 0.0013659835170872251
Position 737: 0.0012942913540692656
Position 135: 0.001185212242079396
Position 799: 0.0011616163821140688
Position 1229: 0.0007907836478433404
Position 964: 0.0007663955614795611
Position 295: 0.0007625861395640567
Position 1140: 0.0006371314381140895
Position 775: 0.0005596355666434594
Position 1137: 0.00045889953800552546
Position 565: 0.00044260059973408246
Position 1023: 0.0004071286295759917
Position 606: 0.00027250824742559913
Position 593: 0.0002665115639981653
Position 439: 0.00018139099104324063
Position 1148: 0.0001804646289608235
Position 1144: 0.00017977310837689498
Position 1091: 0.00017118603758782948
Position 302: 0.00016397370063507417
Position 761: 0.00013203562321446812
Position 428: 0.00012506883581946184
Position 1485: 0.00011911347666804748
Position 346: 0.00010301836466755796
Position 666: 9.515037089318706e-05
Position 1120: 7.52482752540372e-05
Position 1374: 5.757026179479514e-05
Position 1255: 4.9114277792447083e-05
Position 1242: 3.0136731273772223e-05
Position 463: 2.8249448589031647e-05
Position 1264: 2.8127441619161267e-05
Position 453: 2.674591126029637e-05
Position 727: 2.5529993941720848e-05
Position 1364: 2.4720910207132654e-05
Position 674: 1.821577736428353e-05
Position 1354: 1.8047611633395137e-05
Position 1346: 1.6811142332109717e-05
Position 756: 1.2043635452418314e-05
Position 1483: 1.0356954408199735e-05
Position 519: 6.676654921223636e-06
Position 740: 4.78910342601632e-06
Position 443: 4.346664379135045e-06
Position 98: 7.035004605250815e-08
Position 101: 3.8587594479112303e-11
Position 77: 1.5598405465733866e-11
Position 93: 4.0199438348899945e-12
