Gene = Fuz
index = 417
Annotated 5SS: [ 284  590  921 1251 1546 2622 2793 3013 3160 3308]
Annotated 3SS: [ 467  835 1181 1440 2423 2696 2905 3094 3232 4053]
SMsplice 5SS: [ 284  590 1266 1546 2622 2793 3013]
SMsplice 3SS: [ 467 1181 1440 2423 2696 2905 4053]
top_k =  500
Partition function (log Z): 0.12034153475618137

Sorted 5' Splice Sites (High to Low Probability):
Position 1546: 0.9531645135301229
Position 2793: 0.9478250846364809
Position 2622: 0.8649364453828955
Position 1266: 0.6768648616817639
Position 3013: 0.6084669878337112
Position 3308: 0.4995456169694545
Position 590: 0.49926406557129616
Position 284: 0.4983070782524115
Position 921: 0.42365770043276824
Position 159: 0.3291707613541456
Position 3160: 0.27352276730090386
Position 1251: 0.1928250871567638
Position 642: 0.12096966824838562
Position 147: 0.09316916608083725
Position 3175: 0.05387716351516246
Position 1982: 0.04969592208766972
Position 3432: 0.04124083747669463
Position 564: 0.03850515220762765
Position 4298: 0.032320076227332475
Position 135: 0.012314481541628274
Position 1986: 0.010816125360288194
Position 3699: 0.010034498945624184
Position 200: 0.00966230834278155
Position 3904: 0.009117915205352456
Position 835: 0.0046283749598396455
Position 438: 0.004285218103971646
Position 4278: 0.0040021621767020645
Position 1275: 0.0037129773783829306
Position 3805: 0.0033376828685716025
Position 3739: 0.003277765175542828
Position 665: 0.0031298741778839055
Position 3190: 0.0031136313592654845
Position 4398: 0.0027696428670366036
Position 3215: 0.002633274695328362
Position 318: 0.0024937340799894513
Position 629: 0.0020780965117812114
Position 3417: 0.0020003755767313337
Position 352: 0.0015007510748278508
Position 3840: 0.00105360074578745
Position 3857: 0.0008811446072544245
Position 732: 0.0008233297178007731
Position 343: 0.0006171228960599103
Position 626: 0.0006048017281302414
Position 781: 0.0005289883806760394
Position 443: 0.0005143085485813556
Position 3315: 0.00044851965732615806
Position 3900: 0.0004297026383066934
Position 3778: 0.00041292429570987684
Position 252: 0.00036941163389140653
Position 1533: 0.00035653152861320653
Position 154: 0.000296348796315696
Position 1503: 0.0002923231888644194
Position 528: 0.00027845225660256233
Position 1270: 0.0002642043494224699
Position 653: 0.0002564960712727601
Position 1169: 0.00024549234144249086
Position 569: 0.00021476670645438208
Position 233: 0.00021411280981370383
Position 2556: 0.00019912400553896294
Position 2595: 0.00019249344903741566
Position 2096: 0.0001907919484741112
Position 2597: 0.00017790065825623943
Position 984: 0.00014286994156824539
Position 1182: 0.00012917067413225974
Position 430: 0.00012175938487506537
Position 241: 7.729426018600868e-05
Position 414: 6.423130038322661e-05
Position 1289: 6.234466786186755e-05
