Gene = Slx1b
index = 987
Annotated 5SS: [ 360 3032 3464 3857 4046]
Annotated 3SS: [2979 3124 3728 3960 4128]
SMsplice 5SS: [ 360 2640 3032 3464 3857 4046]
SMsplice 3SS: [2423 2979 3124 3728 3960 4128]
top_k =  500
Partition function (log Z): -3.327090582649633

Sorted 5' Splice Sites (High to Low Probability):
Position 360: 0.9838193584861572
Position 3032: 0.7938166301304113
Position 3464: 0.7798218685501369
Position 3857: 0.7643280687850602
Position 4046: 0.7098076337937566
Position 2640: 0.5365385870279219
Position 4349: 0.36838272953313106
Position 3598: 0.05134057051608164
Position 3254: 0.04866294558001019
Position 2789: 0.041202707797007
Position 92: 0.021595861641982492
Position 1098: 0.016964754436966826
Position 2603: 0.016202092770050247
Position 2939: 0.01342961617454571
Position 4246: 0.012850562798240896
Position 126: 0.01256834859588458
Position 3250: 0.011243127592252771
Position 326: 0.009953743093446567
Position 6011: 0.007774011567921068
Position 631: 0.006000144103929315
Position 2868: 0.005681856323628485
Position 4199: 0.004705499205860462
Position 3423: 0.003920200103487214
Position 2858: 0.0037037421416602507
Position 1976: 0.003192477338930347
Position 599: 0.0031165385528097805
Position 2616: 0.003050571414292393
Position 2553: 0.002943657195207878
Position 3613: 0.002886939204327128
Position 396: 0.002692983725155203
Position 2500: 0.0026763366415388117
Position 3892: 0.0023465487329334804
Position 133: 0.002095851511714878
Position 3386: 0.0019128179485527936
Position 3043: 0.0018074641833960398
Position 3642: 0.0015364949980765214
Position 295: 0.0015305022082345101
Position 2282: 0.001373165252486326
Position 3041: 0.0010904417723402963
Position 3686: 0.0010440758690398633
Position 5756: 0.0008871103780209208
Position 1684: 0.0008800268946914516
Position 3640: 0.0008011733762828285
Position 6222: 0.0007422691462179812
Position 2495: 0.0006856389866591694
Position 614: 0.000627155285236705
Position 928: 0.0006240978967934549
Position 381: 0.0005911713003930091
Position 29: 0.000511753711349732
Position 569: 0.0004817683493713809
Position 1859: 0.00041354126179399123
Position 1605: 0.000339102429111947
Position 72: 0.00031003475439818795
Position 591: 0.00028722304979494895
Position 4165: 0.0002576775398124772
Position 175: 0.00025689867506814183
Position 2223: 0.00021812965688510578
