Gene = Idua
index = 559
Annotated 5SS: [  168  9187  9929 19254 19481 19876 20167 20420 20747 21262 21463 21697
 21846 22823]
Annotated 3SS: [ 8774  9787 19167 19372 19779 19963 20239 20529 21048 21340 21570 21768
 22721 22935]
SMsplice 5SS: [  168  3872  9187  9929 19254 19614 19876 20167 20420 20747 21463 21697
 21850 22823]
SMsplice 3SS: [ 3779  9056  9787 19167 19372 19779 20063 20272 20529 21340 21570 21768
 22721 22935]
top_k =  500
Partition function (log Z): 8.761209485956169

Sorted 5' Splice Sites (High to Low Probability):
Position 9929: 0.9994338979603719
Position 19254: 0.9400540210090356
Position 3872: 0.9310932973567352
Position 22823: 0.9094565039242293
Position 20747: 0.8657156770017572
Position 21463: 0.8506196309338794
Position 19876: 0.8085709275291587
Position 20167: 0.7223383303821301
Position 21850: 0.6741383717961427
Position 168: 0.6072364407217712
Position 20420: 0.5945970248846687
Position 21262: 0.5674383050290057
Position 9187: 0.5226773789711939
Position 21664: 0.4774180294774152
Position 19614: 0.4338253521669015
Position 177: 0.32011701106914675
Position 19481: 0.3044731184994591
Position 1095: 0.2636408875544829
Position 21846: 0.2256778167612052
Position 16276: 0.18875616327248104
Position 4819: 0.1723504368955252
Position 16179: 0.14871834199695974
Position 2704: 0.1389601759078125
Position 19664: 0.1380258277089286
Position 19432: 0.13322434555568613
Position 20128: 0.1071216133319996
Position 1281: 0.09098877730152076
Position 20668: 0.08645303138463112
Position 21217: 0.08484764048021373
Position 21475: 0.07868530501852143
Position 23084: 0.07641714372379874
Position 5275: 0.05935633587656817
Position 9122: 0.05564947921755252
Position 408: 0.0509561411167145
Position 21446: 0.048343218227309255
Position 21246: 0.045255992606225245
Position 23101: 0.04383478013871062
Position 21658: 0.039537926845547106
Position 21769: 0.033789527344781176
Position 5885: 0.029848054224138543
Position 20224: 0.02827994589773194
Position 19641: 0.02208076206777909
Position 3498: 0.020077581370876868
Position 20134: 0.015178835716441227
Position 21640: 0.013769058234649134
Position 2615: 0.013589064868059147
Position 3295: 0.011441745585816687
Position 208: 0.009738213743483255
Position 333: 0.0089691168477067
Position 20357: 0.008158383579407371
Position 4831: 0.008095096635572892
Position 19780: 0.007602913995401432
Position 40: 0.0074317399381535094
Position 22760: 0.007128194978722203
Position 4594: 0.007075173585618525
Position 11301: 0.006968243330323201
Position 20874: 0.005129814614343002
Position 21822: 0.004847558174424643
Position 13364: 0.004694386718569084
Position 21723: 0.004682504147350364
Position 2967: 0.004641116878327847
Position 21701: 0.004102575188536571
Position 12786: 0.0037172205564670584
Position 2887: 0.0033431926322577497
Position 16258: 0.0033383270428622566
Position 17058: 0.002873687818740497
Position 20887: 0.002653909649426867
Position 16137: 0.002490811635843367
Position 23200: 0.0024797334592052047
Position 20844: 0.002466768861360308
Position 4894: 0.0024361875242622883
Position 14657: 0.0021747403771393684
Position 20768: 0.001956049615655478
Position 23488: 0.0019163887926555167
Position 19453: 0.0018099666277147986
Position 3912: 0.0016675682226665626
Position 22767: 0.0016236575204687808
Position 23066: 0.001619335367196076
Position 20628: 0.0015946902668935478
Position 23059: 0.0014897805176957014
Position 21457: 0.0013396521840446333
Position 16570: 0.0013331465927571703
Position 13341: 0.0013241837393579493
Position 21284: 0.0012708194910779332
Position 19737: 0.0010757116944516646
Position 6240: 0.0008291605941736147
Position 11383: 0.0007995518460261568
Position 20414: 0.000778720138168854
Position 158: 0.0006929259581222305
Position 4339: 0.0006549412009987784
Position 21438: 0.000587799979731608
Position 20751: 0.0005126579395625856
Position 4121: 0.0004953532547828614
Position 20247: 0.00048156425318888563
Position 3820: 0.00041410438016058974
Position 483: 0.0003678777404020733
Position 12842: 0.00035256536336204477
Position 4267: 0.00029699645301098327
Position 21467: 0.00026308038832585846
Position 4108: 0.00026043792020589046
Position 31: 0.00025681821623924094
Position 13122: 0.00021694549995214917
Position 23013: 0.00017257802626818278
Position 20174: 0.00016812422204458174
Position 2278: 0.00016396533775601846
Position 19905: 0.00015352847484577161
Position 840: 0.00013872085299462708
Position 21392: 0.0001282859687719578
Position 522: 9.594574595367091e-05
Position 2392: 6.514922435576333e-05
Position 20294: 6.246972879432406e-05
Position 1070: 5.723165393491375e-05
Position 20219: 5.571735652823646e-05
Position 19513: 5.5706079964112566e-05
Position 261: 4.59071276182271e-05
Position 22873: 3.095944453315806e-05
Position 981: 2.741687538430283e-05
Position 146: 2.68971325959468e-05
Position 22722: 2.4889036037002807e-05
Position 415: 2.4248699046832395e-05
Position 1086: 2.2749401665938247e-05
Position 1066: 2.181071839744949e-05
Position 1099: 1.6575232129428062e-05
Position 1121: 4.908039708103802e-06
Position 22840: 4.540593579339256e-06
Position 133: 4.153469289767601e-06
Position 527: 3.834904005243078e-06
Position 22868: 3.7251787565911222e-06
Position 21006: 3.6095108552776553e-06
Position 417: 3.207461482093155e-06
Position 20987: 3.1570810029648825e-06
Position 20692: 3.039234261452635e-06
Position 21187: 3.0342238506668568e-06
Position 19646: 3.012319114235965e-06
Position 310: 2.360493862759852e-06
Position 181: 1.0320138363337865e-06
Position 100: 8.824692560040412e-07
Position 570: 8.804546721282376e-07
Position 234: 1.7563426184860008e-07
Position 49: 1.4711824939052783e-07
Position 259: 6.837106216591739e-08
Position 200: 6.664071630762275e-08
Position 51: 4.69440259898283e-08
Position 4: 3.177376487327186e-08
