Gene = AA986860
index = 81
Annotated 5SS: [ 248 5712 9208]
Annotated 3SS: [ 5525  9026 10352]
SMsplice 5SS: [ 248 9208]
SMsplice 3SS: [ 9026 10352]
top_k =  500
Partition function (log Z): -7.338783502315548

Sorted 5' Splice Sites (High to Low Probability):
Position 248: 0.977604948845083
Position 9208: 0.8316805807388816
Position 2470: 0.4860676102349476
Position 1677: 0.4565353250138956
Position 5712: 0.4239769414413937
Position 6524: 0.35127607866471705
Position 8534: 0.18126866544369635
Position 2891: 0.17586970423886367
Position 10550: 0.13871450625354745
Position 1394: 0.11648026566294842
Position 8594: 0.10184727568582216
Position 3243: 0.0882908013127408
Position 9396: 0.03820933207437391
Position 822: 0.03416840346351104
Position 3907: 0.03376751747125572
Position 9554: 0.027164702279110792
Position 2689: 0.024934941124903572
Position 809: 0.0241584552398595
Position 2285: 0.023151350230416284
Position 1706: 0.017310776945261484
Position 3501: 0.01542495563959001
Position 1224: 0.014443162834883002
Position 3557: 0.013066457991710013
Position 1485: 0.01291008171709492
Position 4502: 0.010141686779899283
Position 9718: 0.009855339875802064
Position 4506: 0.009503776132254813
Position 120: 0.00863355629391961
Position 2335: 0.006133619732550674
Position 1469: 0.004021128580853501
Position 2282: 0.0017485916297100344
Position 4510: 0.0016933525671664555
Position 813: 0.0012506425390646485
Position 4748: 0.0011409911038657665
Position 2250: 0.001070444414558411
Position 345: 0.0008155553031123655
Position 1873: 0.0007243880939946101
Position 531: 0.0005850099987276852
Position 39: 0.0005385667610035452
Position 2274: 0.0005193716507630159
Position 2939: 0.0004896005346040635
Position 68: 0.0004452166337437894
Position 80: 0.00042186958187349335
Position 1499: 0.00034032249742344743
Position 3148: 0.00026358501336478225
Position 2875: 0.00019841628887196138
Position 152: 0.00019295977203415235
Position 3247: 0.00018320626117502602
Position 99: 0.00018229481821835163
Position 2215: 0.00016662956679490428
Position 2421: 0.0001649681642946518
Position 2598: 8.023870266377562e-05
Position 252: 7.248654880587527e-05
Position 1356: 6.66611596001411e-05
Position 180: 5.834616116669036e-05
Position 8: 5.2190619607444704e-05
Position 1351: 4.763769003790957e-05
Position 1265: 4.6520536047969395e-05
Position 2149: 3.8746720874201964e-05
Position 135: 3.7027167650547114e-05
Position 1947: 3.392693545563707e-05
Position 409: 2.536344130033418e-05
Position 528: 1.887957954287584e-05
Position 1076: 1.4824297265368693e-05
Position 217: 5.659096464788e-06
Position 1697: 4.432103078038842e-06
Position 470: 2.840980954241576e-06
Position 738: 2.8188197010205594e-06
Position 607: 2.335431632284973e-06
Position 575: 1.9477341005816385e-06
Position 72: 1.1335501557554434e-06
Position 1230: 9.304623106104254e-07
Position 1088: 7.594489161216439e-07
Position 761: 7.425119569030049e-07
Position 804: 4.212149771736427e-07
Position 82: 3.4795018691867333e-07
Position 124: 3.338350772593695e-07
Position 84: 1.134835616342585e-07
Position 1656: 1.1336313665061786e-07
Position 1739: 5.355814805352713e-08
Position 114: 3.451442452065492e-08
Position 846: 2.2635319643946018e-08
Position 330: 6.958528617709055e-09
Position 550: 5.220111817382525e-09
Position 223: 4.651604317189152e-09
Position 340: 4.1113558792285515e-09
Position 351: 2.7776413195684357e-10
Position 379: 1.887007769392573e-11
Position 392: 1.863470105112625e-11
Position 353: 2.4105659901394885e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 9026: 0.8570949944409095
Position 10352: 0.8293837267030968
Position 1545: 0.45884225881151525
Position 2148: 0.3921180470172616
Position 6415: 0.35326066908897447
Position 8408: 0.2897744506020574
Position 5525: 0.22027463546231837
Position 5603: 0.21759887795708946
Position 1292: 0.13556953506624395
Position 2595: 0.109103827451471
Position 12480: 0.08409828318363086
Position 2772: 0.07415117366704363
Position 3136: 0.06653387109437624
Position 9295: 0.048044133091344206
Position 12401: 0.04756519856530759
Position 2313: 0.045469225172496436
Position 9299: 0.03888069242086973
Position 10038: 0.03613362470320453
Position 3719: 0.031026895028966658
Position 700: 0.03039486765702891
Position 10928: 0.01996445932771901
Position 3110: 0.019952402811467783
Position 2334: 0.018873773566095715
Position 2081: 0.018147793405535392
Position 3333: 0.016808798175656746
Position 2432: 0.015040969458875935
Position 4426: 0.014921323708386848
Position 2327: 0.01470553430297312
Position 723: 0.013812303651511329
Position 3436: 0.013516559269334339
Position 2787: 0.010262369507156229
Position 9661: 0.009855339875802074
Position 2616: 0.009623302915414527
Position 11476: 0.009543534616696957
Position 2164: 0.009093935949252572
Position 11416: 0.008159967765343987
Position 11096: 0.007511180618781231
Position 937: 0.006590425408689631
Position 4403: 0.006494798956306068
