Gene = Mto1
index = 723
Annotated 5SS: [  303  1411  1628  4846  9115  9399  9840 12830 13484 16795 22584]
Annotated 3SS: [ 1210  1509  4555  9001  9207  9708 12624 13311 16675 22422 25581]
SMsplice 5SS: [  303  1411  9115  9399  9840 13484 16795 18671 22584]
SMsplice 3SS: [ 1210  9001  9207  9708 13343 16675 18457 22422 25581]
top_k =  500
Partition function (log Z): 2.0679066717195105

Sorted 5' Splice Sites (High to Low Probability):
Position 9115: 0.998935005165351
Position 16795: 0.9792915064938769
Position 9399: 0.946009008690302
Position 22584: 0.9200281244257617
Position 9840: 0.8790606388975566
Position 303: 0.7776134978148025
Position 1411: 0.7635448706079393
Position 12830: 0.6536113078856901
Position 18671: 0.6531089603735676
Position 13484: 0.6250733593279084
Position 997: 0.49455565026308335
Position 13387: 0.2653206424261424
Position 25342: 0.2597359147355207
Position 13001: 0.24838652532883226
Position 3892: 0.17147965035144516
Position 5141: 0.1712658520222869
Position 3921: 0.15946616392863516
Position 4846: 0.14315383303549908
Position 1446: 0.10903716611282432
Position 11818: 0.10168342635037524
Position 22906: 0.10079744679460638
Position 1628: 0.08615714602711247
Position 5466: 0.0828719685621136
Position 1343: 0.0635712299340035
Position 433: 0.0630649702583357
Position 51: 0.060440068603983446
Position 520: 0.04774068321608321
Position 19445: 0.034029794802062446
Position 14644: 0.03265159518977403
Position 25456: 0.03122096275601556
Position 6162: 0.027677557227779235
Position 12229: 0.024620121203766443
Position 22889: 0.022552979577969468
Position 15676: 0.020736826663847654
Position 1316: 0.017679679724961705
Position 4714: 0.014673254096383755
Position 203: 0.011966149581839752
Position 1433: 0.009966903154891788
Position 57: 0.008791242864318987
Position 9533: 0.00821176740671203
Position 9427: 0.007652522097133673
Position 569: 0.006318251601971548
Position 22762: 0.005878310449843985
Position 956: 0.004828128542833665
Position 3247: 0.004065354024247815
Position 959: 0.003809308368277006
Position 10661: 0.003786941812615814
Position 559: 0.003606320876943613
Position 24113: 0.0031989791503662726
Position 381: 0.003093245980027511
Position 390: 0.003045815109834316
Position 2337: 0.002982709789901739
Position 9263: 0.0025272771524965454
Position 3680: 0.0024826896421970457
Position 17012: 0.0019591916510050527
Position 66: 0.0017505119330131973
Position 337: 0.0017430944090091557
Position 12743: 0.00163432138992487
Position 11491: 0.0016277577417112333
Position 971: 0.0015559806202282592
Position 918: 0.0014935618909491953
Position 10458: 0.0010541946981367722
Position 683: 0.0009938627183588018
