Gene = 9630041A04Rik
index = 75
Annotated 5SS: [  379 66693]
Annotated 3SS: [66580 80841]
SMsplice 5SS: [  379 12923 21656 22223 35114 36090 53696 58008 66693 75528 75871 77856]
SMsplice 3SS: [12725 21506 22023 34979 35940 53554 57861 66580 75367 75754 77683 79808]
top_k =  500
Partition function (log Z): -52.50777765745585

Sorted 5' Splice Sites (High to Low Probability):
Position 379: 0.6662543192053118
Position 3505: 0.32065912310396605
Position 2786: 0.24143707853547755
Position 50: 0.21123566057123058
Position 2905: 0.15576961236679665
Position 84: 0.12050905214411198
Position 3002: 0.11048336501689165
Position 3016: 0.0673036126318046
Position 1623: 0.06433230106183015
Position 571: 0.05661590886568189
Position 3343: 0.051531088048481256
Position 5174: 0.0509970664264796
Position 1957: 0.015020811533482739
Position 1264: 0.014691767580598505
Position 3815: 0.014674232681146393
Position 275: 0.006887424596670875
Position 3627: 0.0067000369049440445
Position 238: 0.005797045623100574
Position 2918: 0.005372490918813494
Position 685: 0.005255420084584545
Position 3020: 0.003773858383606579
Position 3316: 0.003656387196218882
Position 1063: 0.0026005442142617097
Position 3124: 0.0007093522107013161
Position 3453: 0.0006014930643361543
Position 278: 0.00029102701503809915
Position 1041: 0.0001253911740183423
Position 901: 0.00011805250467359132
Position 394: 0.000106218904809874
Position 536: 7.58797933026758e-05
Position 634: 7.55539345524018e-05
Position 445: 7.515079226595825e-05
Position 259: 5.4433497002417464e-05
Position 623: 5.235548275656453e-05
Position 449: 4.9880109509578214e-05
Position 924: 4.6939817292466044e-05
Position 11: 2.8649650354766924e-05
Position 1728: 2.564518672107513e-05
Position 671: 2.177819136241199e-05
Position 160: 1.7383898476005234e-05
Position 1177: 6.0612274720140025e-06
Position 1153: 5.324554293617466e-06
Position 1139: 4.9642159470440925e-06
Position 1236: 4.674801770766371e-06
Position 1157: 3.3090416001926662e-06
Position 470: 3.156853124635258e-06
Position 192: 3.14239527636952e-06
Position 176: 1.7531565473336586e-06
Position 457: 1.5608656467843977e-07
Position 463: 6.669307350499016e-08
Position 306: 5.438009767467279e-08
Position 428: 3.3571219531330953e-08
Position 265: 1.7054057940411722e-08
Position 573: 1.5375274577855047e-08
Position 575: 8.23374696977396e-09
Position 519: 7.459233069654688e-09
Position 475: 4.1821563016781245e-09
Position 299: 1.629122999638363e-13
Position 304: 4.266179524232766e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 11120: 0.429687488459144
Position 3413: 0.3190222336610249
Position 10784: 0.3125166117562658
Position 10756: 0.14831980250357996
Position 2622: 0.13438001225391025
Position 2657: 0.12942043531243425
Position 2938: 0.10268952674061801
Position 2786: 0.07300751393826962
Position 1435: 0.062073012101219675
Position 2848: 0.05488137733018102
Position 3160: 0.04961045051009791
Position 2904: 0.04022694220966524
Position 5030: 0.0348597972642671
Position 238: 0.03432079644471564
Position 5059: 0.03428889413252485
Position 2692: 0.033551399958916095
Position 3564: 0.02588215667927867
Position 184: 0.022238275632679622
Position 2680: 0.015287614567371042
Position 1112: 0.01503164268415148
Position 9699: 0.013834100034036019
Position 5342: 0.012268103808901787
Position 7994: 0.010634147654896627
Position 1805: 0.010173694149302798
Position 3234: 0.009279070488435417
Position 3436: 0.007531070842529148
Position 147: 0.007052232042227785
Position 2746: 0.004511196845540771
Position 5549: 0.0042786489019191925
Position 3207: 0.004203465588223371
Position 3377: 0.003890494636296174
Position 6185: 0.0036035235808892147
Position 1467: 0.002936381378213698
Position 131: 0.002779451398700982
Position 965: 0.002531699308991539
Position 4990: 0.0023988657385728075
Position 3264: 0.0023620518431682713
Position 318: 0.002286399678883336
Position 1019: 0.002175145048192651
Position 1774: 0.0021352601515574185
Position 1856: 0.001911622824346546
Position 662: 0.0016489604430276184
Position 1549: 0.001504925912618145
Position 495: 0.0013169280417498705
Position 4004: 0.0012405667773498306
Position 187: 0.0011882943396245638
Position 526: 0.001029493590682211
Position 2063: 0.0008794667477304094
Position 278: 0.0008363343303334509
Position 6136: 0.0008350187296167831
Position 6188: 0.0008251467600144822
Position 1780: 0.0007581194929048841
Position 1232: 0.0006344942337332776
Position 7137: 0.0005790629418526839
Position 2578: 0.0005211240532311716
Position 5361: 0.0004741672125725368
Position 1445: 0.00047282924688825563
Position 2510: 0.0004705091910124734
Position 5222: 0.00045307703130689645
Position 2721: 0.00044742720256813037
Position 498: 0.0004209344424179338
Position 1452: 0.0002954413024490867
Position 2539: 0.0002760201680507647
Position 1166: 0.00025491026842086795
Position 813: 0.00021442879086780054
Position 5118: 0.00017835497514834882
Position 475: 0.0001590515006752482
Position 3477: 0.0001588458246941285
Position 2909: 0.00015711640747965798
Position 1361: 0.00014721205870754742
Position 285: 0.00014007454648379673
Position 2494: 0.0001390169229506528
Position 1666: 0.00012377397618748887
Position 762: 0.00012251926460647892
Position 304: 0.00012119470865873549
Position 406: 0.0001143833861256568
Position 2359: 9.439525378383158e-05
Position 2162: 9.105810851322357e-05
Position 1206: 8.678836386137679e-05
Position 249: 8.556978544242766e-05
Position 859: 8.50668750415995e-05
Position 242: 8.21580524720285e-05
Position 265: 5.1080443863920335e-05
Position 718: 4.45520996765157e-05
Position 192: 3.889216638200056e-05
Position 2017: 3.443197900377464e-05
Position 1041: 3.4218851454306214e-05
Position 1896: 3.21630269567511e-05
Position 723: 2.554323013274246e-05
Position 466: 1.9874302978985596e-05
Position 743: 1.964033200426126e-05
Position 1816: 1.546323757873174e-05
Position 564: 1.3135872392305427e-06
Position 282: 1.248357042377635e-06
Position 570: 1.1180932292924934e-06
Position 482: 9.770444511446606e-07
Position 542: 9.581563466527361e-07
Position 259: 9.20133137198257e-07
Position 453: 8.779657663803822e-07
Position 1239: 8.289126296782979e-07
Position 327: 7.903023474596402e-07
Position 1474: 7.825707512171044e-07
Position 1507: 6.15373340427981e-07
Position 1381: 5.896597663256902e-07
Position 994: 5.513913070149492e-07
Position 1574: 4.6231292088918773e-07
Position 1788: 3.305341889481387e-07
Position 610: 2.9529783647026606e-07
Position 457: 1.3548848061297926e-07
Position 533: 1.2109867125672832e-07
Position 428: 1.0580724754396007e-07
Position 535: 1.0556181351932163e-07
Position 289: 8.731830086530307e-08
Position 528: 3.7988538192242196e-08
Position 411: 3.58250734639244e-08
Position 546: 2.3722518556161124e-08
Position 442: 2.277614835287348e-08
Position 362: 1.4718343766298928e-08
Position 415: 1.3188996919460657e-08
Position 343: 1.0767943884424294e-08
Position 374: 8.859398761115518e-09
Position 440: 6.9465110111020415e-09
Position 199: 5.801275693815121e-09
Position 294: 5.085083111653199e-09
Position 205: 2.3335905460748487e-09
Position 332: 2.2958987866545326e-09
Position 339: 1.6412476092373434e-09
Position 329: 1.4656893064352165e-09
Position 197: 1.2846460566371486e-09
Position 346: 8.225923682392301e-10
Position 819: 3.128536669721704e-10
Position 720: 2.8679603970874937e-10
Position 372: 4.317351269026897e-11
Position 74: 2.594966458581549e-11
Position 367: 2.0614413920730674e-11
Position 356: 8.61931548838398e-12
