Gene = Ino80e
index = 578
Annotated 5SS: [ 134  363  599 3965 4163 4613]
Annotated 3SS: [ 291  545 3885 4050 4495 8846]
SMsplice 5SS: [ 134  363 3965 4163 4613]
SMsplice 3SS: [ 291 3885 4050 4495 8846]
top_k =  500
Partition function (log Z): 5.623248634133293

Sorted 5' Splice Sites (High to Low Probability):
Position 134: 0.9826971667231036
Position 363: 0.9792735299554323
Position 4613: 0.9733756482003577
Position 3965: 0.9416358647730337
Position 4163: 0.9167332535221103
Position 599: 0.6186064693967236
Position 4916: 0.40958023736612953
Position 2107: 0.2155674377022248
Position 7746: 0.10993350388687602
Position 8350: 0.09289173867250851
Position 4236: 0.06358240252984414
Position 6793: 0.04165133464943679
Position 8874: 0.0298874321763521
Position 5918: 0.019392320357363303
Position 910: 0.013486106755887482
Position 213: 0.012794315584172641
Position 2731: 0.0127577528948358
Position 8878: 0.009213143162470646
Position 8245: 0.008259373426481201
Position 2716: 0.008030613620219835
Position 680: 0.007492456814232868
Position 2534: 0.00594682882590444
Position 1147: 0.005791030712241343
Position 3194: 0.005625273248144111
Position 2449: 0.004879664051920689
Position 8743: 0.00394152560954991
Position 3916: 0.002503462596463246
Position 204: 0.002049837683100406
Position 490: 0.001998208955040184
Position 4295: 0.0019445974073337684
Position 467: 0.0019199347623781008
Position 665: 0.0019046311007025604
Position 3622: 0.0017735992048316198
Position 8853: 0.0014968047645871772
Position 2271: 0.0012411553352916105
Position 2686: 0.0012129123322586546
Position 164: 0.001143188916441423
Position 9587: 0.0011083222791963218
Position 5858: 0.0010047116839620156
Position 346: 0.0009344193354166833
Position 4279: 0.0005747532827501188
Position 5527: 0.0004101025976667349
Position 4215: 0.00034344973974349206
Position 7242: 0.00033236346875316163
Position 5321: 0.0002687228296919955
Position 154: 0.00025108366515401084
Position 4623: 0.0002505027785085175
Position 1151: 0.00023947594234736088
Position 121: 0.00016854417021685097
Position 4293: 0.00013048755448882057
Position 146: 0.00011181212741130768
Position 138: 0.00011032035964383434
Position 4435: 9.178715510555544e-05
Position 5993: 6.965206499819394e-05
Position 6382: 6.404528265008005e-05
Position 392: 6.323042713309067e-05
