Gene = Lztfl1
index = 655
Annotated 5SS: [  100  2326  5196  6590  8072  9553  9717 15501 16756]
Annotated 3SS: [ 2200  5000  6528  7999  9486  9638 15323 16651 17521]
SMsplice 5SS: [  100  2326  5196  8150  9553  9717 15501 16756]
SMsplice 3SS: [ 2200  5000  7999  9486  9638 15323 16651 17122]
top_k =  500
Partition function (log Z): 3.418292584681388

Sorted 5' Splice Sites (High to Low Probability):
Position 9717: 0.9928778907068898
Position 100: 0.9701615981516735
Position 16756: 0.9682275308218855
Position 5196: 0.9568513197834516
Position 15501: 0.8823600503664246
Position 9553: 0.7066298790600675
Position 8150: 0.6878987907296864
Position 2326: 0.6563675407413998
Position 6590: 0.48184983755757577
Position 6876: 0.402111745022298
Position 10241: 0.3881146960063384
Position 14403: 0.31333608789296924
Position 8072: 0.3022334851380721
Position 18510: 0.2143413316245448
Position 7893: 0.20303759771635999
Position 18234: 0.15344513753031536
Position 3834: 0.1360837870799929
Position 11863: 0.13603923672593207
Position 5987: 0.13455451332479815
Position 6897: 0.12654456653558974
Position 14441: 0.11597246032377316
Position 7346: 0.10943534662107121
Position 19139: 0.10124543869508132
Position 3784: 0.09189804580941659
Position 11823: 0.09116613273502748
Position 4198: 0.07897123817628707
Position 4470: 0.07156003831278487
Position 6036: 0.07120388596064917
Position 2741: 0.06392816814082623
Position 3276: 0.06210772408306234
Position 2660: 0.05678962906443718
Position 1795: 0.056307315816047546
Position 595: 0.05191403400363741
Position 7897: 0.04644808486846115
Position 11891: 0.04269893198036475
Position 17853: 0.036453917650515956
Position 15993: 0.02807960263372357
Position 2106: 0.02751308787587885
Position 1151: 0.020277278651009
Position 7020: 0.019475317981996944
Position 2812: 0.018841884432479222
Position 560: 0.01737001130975533
Position 3970: 0.014017376246102584
Position 10212: 0.013489446894739307
Position 6600: 0.012512561886045775
Position 10206: 0.011148495964780231
Position 7821: 0.011120411403631575
Position 1163: 0.01058761465435164
Position 2291: 0.00991159126032048
Position 17884: 0.009523630266546432
Position 7329: 0.009079474703267061
Position 4218: 0.00869394637578935
Position 303: 0.007850279071911553
Position 8307: 0.007405101767283199
Position 6440: 0.006285884181848452
Position 5154: 0.006156245748048259
