Gene = Tiprl
index = 1084
Annotated 5SS: [  214  8676  9439 14415 16845 19161]
Annotated 3SS: [ 8495  9338 14282 16748 19097 21062]
SMsplice 5SS: [  272  8676  9439 11129 14415 16845 19161]
SMsplice 3SS: [ 8495  9338 10993 14282 16748 19097 21062]
top_k =  500
Partition function (log Z): -5.909343758485769

Sorted 5' Splice Sites (High to Low Probability):
Position 19161: 0.9445663180036811
Position 16845: 0.9321230961272734
Position 9439: 0.8715362140371026
Position 11129: 0.7680216739142015
Position 14415: 0.7023451089357665
Position 8676: 0.5192622718032277
Position 8672: 0.39292114506641507
Position 945: 0.33256720586522304
Position 272: 0.3237691209994916
Position 214: 0.31598664439175683
Position 277: 0.25225856817834685
Position 9170: 0.1666394320860385
Position 862: 0.1477012617070276
Position 21187: 0.14128133372708299
Position 13478: 0.07369988229508048
Position 9925: 0.07051802782777793
Position 2112: 0.06925941761654388
Position 325: 0.06075330264031616
Position 10268: 0.05828549110658742
Position 1257: 0.049361010024043604
Position 14467: 0.040416939544142376
Position 16865: 0.035936212208949984
Position 5807: 0.03261506371645675
Position 15928: 0.03174410994783056
Position 836: 0.029331574733665277
Position 10273: 0.02781659344742184
Position 13039: 0.026414361650730647
Position 997: 0.019740318812682386
Position 566: 0.018912463440240734
Position 1209: 0.01441569246144312
Position 12372: 0.012700836015337981
Position 16916: 0.011125371940475253
Position 894: 0.009790362249334172
Position 14799: 0.009502292898762591
Position 24102: 0.009117190723642147
Position 10504: 0.008405824494548688
Position 21510: 0.008210438420430701
Position 975: 0.0067725262931979495
Position 85: 0.006708522715745835
Position 21210: 0.00592901561961281
Position 17058: 0.005761247783346659
Position 15822: 0.00493641579776397
Position 310: 0.004588408155633245
Position 14787: 0.0042046782197458915
Position 14472: 0.00403594457757458
Position 23595: 0.003942165047851641
Position 10599: 0.0037382017316686883
Position 20131: 0.0037293911385637745
Position 14455: 0.0037114071956452477
Position 658: 0.003455093610841393
Position 2879: 0.0034445177475218155
Position 12: 0.0033153418975245285
Position 14391: 0.003106165451211525
Position 15810: 0.00247248701125054
Position 21266: 0.002274891999964136
Position 22164: 0.0020145727692202297
Position 15373: 0.0018084666463768712
Position 379: 0.0017167356402220167
Position 304: 0.0017049913028990976
Position 603: 0.00041333372300142126
Position 196: 0.00036876828403626814
Position 296: 0.0003619337577312273
Position 346: 0.0003588629561603957
Position 707: 0.0003066315911896377
Position 616: 0.00023764562011250063
Position 362: 0.00021417214818013184
Position 20231: 0.00018816362122477025
Position 222: 0.0001860465548604021
Position 54: 0.00018216930756468426
Position 386: 0.00015838558761549487
Position 281: 0.00014493476754075282
Position 175: 0.00013487359774599746
Position 206: 0.0001338162664949692
Position 427: 0.0001308400312477576
Position 283: 0.00010486581458309899
Position 11802: 9.859427226321043e-05
Position 11112: 9.043348066086334e-05
Position 874: 7.7102265277971e-05
Position 11093: 6.214404426012248e-05
Position 840: 5.605451238615454e-05
Position 11453: 4.251001735214263e-05
Position 637: 4.1536100474104605e-05
