Gene = Selplg
index = 963
Annotated 5SS: [153]
Annotated 3SS: [10252]
SMsplice 5SS: [153]
SMsplice 3SS: [10252]
top_k =  500
Partition function (log Z): -7.6778090003116475

Sorted 5' Splice Sites (High to Low Probability):
Position 153: 0.9365973886338868
Position 10586: 0.48305048952740104
Position 10384: 0.4227189342374308
Position 4246: 0.4000134303109429
Position 11747: 0.16806521604381677
Position 7685: 0.11618312035042223
Position 11318: 0.06753012292128822
Position 7871: 0.061662184647857256
Position 6245: 0.06052106678364188
Position 4782: 0.053304107127764885
Position 236: 0.04071931721462529
Position 3425: 0.039398912443659305
Position 5704: 0.03738605366693464
Position 472: 0.03422204688637852
Position 4662: 0.030111997761652562
Position 222: 0.02144739909351241
Position 7543: 0.02134539759521508
Position 11305: 0.0204717687536603
Position 5100: 0.01912205517970347
Position 2715: 0.015529518743557204
Position 11437: 0.011410981061908486
Position 6312: 0.010166547718122407
Position 7560: 0.010084987358641209
Position 3274: 0.009923526714138833
Position 6820: 0.007615259682560243
Position 5607: 0.006763213471264574
Position 10355: 0.0061244930715359394
Position 5742: 0.005178457089485621
Position 11739: 0.004453256273353286
Position 7279: 0.0038840643613805084
Position 4270: 0.0037199843039058965
Position 10387: 0.0035563552615921062
Position 5676: 0.0034827979225469856
Position 5844: 0.0032333706266659693
Position 2516: 0.0024614225539024387
Position 5657: 0.0024415479736476886
Position 6192: 0.0023798936840683516
Position 1847: 0.0019432750948468246
Position 4205: 0.0016103771437395067
Position 11804: 0.0012473402734436813
Position 3750: 0.0011250977714394239
Position 3984: 0.001061184774661912
Position 2883: 0.0009624168027475687
Position 3345: 0.0009213503103756617
Position 1643: 0.0009052781875501434
Position 1527: 0.0007428235458382172
Position 3399: 0.0005752849727605413
Position 3283: 0.0005027406849220764
Position 871: 0.0004919221736011104
Position 2678: 0.0004329938405530068
Position 3646: 0.00042579642811600444
Position 3421: 0.0004025824483189495
Position 4432: 0.00034806568893030635
Position 2265: 0.0002856699084643495
