Gene = Ndufc1
index = 739
Annotated 5SS: [ 125  844 1653]
Annotated 3SS: [ 739 1575 3368]
SMsplice 5SS: [ 125  844 1653]
SMsplice 3SS: [ 739 1575 3368]
top_k =  500
Partition function (log Z): -3.2889199222410053

Sorted 5' Splice Sites (High to Low Probability):
Position 125: 0.9634837168044603
Position 844: 0.8673893559408307
Position 1653: 0.8330561899432926
Position 2401: 0.28273581389830343
Position 3216: 0.03373805478710022
Position 3530: 0.028749487254304946
Position 1177: 0.022969283031191313
Position 2134: 0.02140356202957453
Position 66: 0.018909921223277986
Position 2438: 0.017649562302369713
Position 810: 0.015053527468435891
Position 3453: 0.012824960909389982
Position 2442: 0.008883688786522449
Position 499: 0.007759685677539941
Position 3475: 0.006117093087062805
Position 848: 0.005197030579114746
Position 279: 0.005117798174665847
Position 258: 0.005057148517817962
Position 210: 0.004126342722003602
Position 795: 0.00407586056006617
Position 2098: 0.0038926121513403887
Position 826: 0.0036507013381964263
Position 814: 0.0027488165227173987
Position 70: 0.002613420269289865
Position 853: 0.0024784970580098587
Position 834: 0.002141098893260927
Position 2048: 0.001898392169279467
Position 880: 0.0018086838060026819
Position 3070: 0.0017897931634866572
Position 447: 0.0017374774781584057
Position 1060: 0.0015770898345634696
Position 864: 0.0015046523566995774
Position 476: 0.0014954795138977335
Position 478: 0.0013951486311343556
Position 907: 0.0012004945304492439
Position 3425: 0.0011673827328194401
Position 233: 0.0007375271103258046
Position 1657: 0.0006838707995080889
Position 2458: 0.0006836380117289825
Position 466: 0.000608409943261665
Position 2492: 0.0005360387292989492
Position 601: 0.0005346536520931769
Position 1183: 0.0005217030825444486
Position 2000: 0.0005100151372237462
Position 2225: 0.0004183686401822377
Position 1217: 0.0003893598446598019
Position 216: 0.0003526287501038025
Position 911: 0.00030395269742848076
Position 2564: 0.00030377576349198177
Position 3480: 0.0002772725725833157
Position 607: 0.00027182194963044866
Position 1991: 0.00025198609359077315
Position 2869: 0.00019841256296741473
Position 3943: 0.0001942125882886675
Position 84: 0.00017771423905943171
Position 945: 0.00017101226370339143
Position 513: 0.0001677496580720521
Position 327: 0.0001467491994600086
Position 2238: 0.00014423569300715388
Position 931: 0.00014026735786179845
Position 775: 0.0001263337016384785
Position 985: 0.0001111121242645689
Position 129: 0.00010864705925542417
Position 1140: 0.0001018176220991064
Position 1807: 9.817732277235616e-05
Position 1695: 8.775760720952662e-05
Position 3061: 8.193901751306194e-05
Position 2681: 8.151001097432422e-05
Position 904: 7.957930260021788e-05
Position 2873: 6.788120947566447e-05
Position 73: 5.0981168276075364e-05
Position 2300: 4.981964618285817e-05
Position 1094: 4.2712097598908495e-05
Position 1289: 3.3402080583256617e-05
Position 352: 3.223991422974654e-05
Position 571: 2.7139887715610593e-05
Position 802: 2.499563594626519e-05
Position 1114: 2.291257610693023e-05
Position 131: 2.164807579630178e-05
Position 4: 9.045035486920616e-06
Position 335: 4.833450203808181e-06
Position 1662: 1.973304258311915e-06

Sorted 3' Splice Sites (High to Low Probability):
Position 3368: 0.9612412827336873
Position 739: 0.9118682200482552
Position 1575: 0.6172858357584796
Position 2156: 0.14792219404782855
Position 1532: 0.13321959708486197
Position 2377: 0.1142877186685843
Position 1465: 0.07850102989887578
Position 3109: 0.031073472784594953
Position 1927: 0.02479543734930782
Position 2286: 0.02479023591610139
Position 2277: 0.01463321036720037
Position 3625: 0.011438394433512482
Position 396: 0.010271975684288738
Position 3819: 0.0101955401164752
Position 945: 0.00893982473707483
Position 2574: 0.008396900890024818
Position 2303: 0.006566519686643559
Position 4245: 0.0062644584576227735
Position 1955: 0.005263678494185321
Position 3373: 0.005106793295719344
Position 2981: 0.004901455044886014
Position 3673: 0.004669599483243632
Position 3577: 0.004667510534639567
Position 1503: 0.004622931161089948
Position 1005: 0.004619265921191731
Position 3991: 0.004382196417844452
Position 3581: 0.0033423108523713387
Position 966: 0.0030953580528338405
Position 2320: 0.003046135863965593
Position 3153: 0.0026140057253044723
Position 2008: 0.002551970689989798
Position 206: 0.002043986928973549
Position 4283: 0.002040114563931282
Position 209: 0.001976046370948707
Position 1405: 0.0018177018124312
Position 942: 0.001676939085151017
Position 985: 0.0016382880446282105
Position 3860: 0.0016238570137304307
Position 3124: 0.0013031141585283922
Position 341: 0.0012562458459397902
Position 3034: 0.0011480615083394445
Position 3925: 0.0011275335534016774
