Gene = Sap25
index = 942
Annotated 5SS: [ 380  577  798 1002]
Annotated 3SS: [ 472  658  903 1085]
SMsplice 5SS: [ 120  380  577  798 1002]
SMsplice 3SS: [ 284  472  658  903 1085]
top_k =  500
Partition function (log Z): 6.278065800966399

Sorted 5' Splice Sites (High to Low Probability):
Position 120: 0.9890053496684659
Position 380: 0.9393768299584305
Position 1002: 0.8725215360573597
Position 577: 0.8376080254824201
Position 798: 0.8289753713028012
Position 609: 0.07552287571463441
Position 779: 0.06407196204392351
Position 391: 0.04594277644877963
Position 589: 0.028016870265498824
Position 912: 0.010762949163699109
Position 402: 0.0035959854260476706
Position 1008: 0.00316348363141685
Position 203: 0.002197703498219119
Position 724: 0.0020524447058244484
Position 251: 0.001993530018962926
Position 232: 0.0019897934971615555
Position 574: 0.0017830566345596937
Position 1309: 0.0017608203360776119
Position 472: 0.0016357490725230567
Position 131: 0.0013548352939981771
Position 1207: 0.0012688071907562884
Position 823: 0.0005021457247629694
Position 680: 0.00041710743510244843
Position 1318: 0.0003554584738298714
Position 502: 0.00029339830345719
Position 630: 0.00023424056701087242
Position 593: 0.00022303418912451164
Position 210: 0.0002194013881888659
Position 601: 0.00021934873464557028
Position 831: 0.00015371800024449202
Position 1127: 0.00013051455818156925
Position 618: 0.00011460671349572392
Position 490: 0.00011330259429761525
Position 782: 9.597086791557992e-05
Position 214: 7.549647957512275e-05
Position 1145: 7.488301995033054e-05
Position 519: 5.371490498557818e-05
Position 958: 5.353683885652309e-05
Position 150: 5.190332234717071e-05
Position 784: 3.566385272022582e-05
Position 1137: 3.125212440742875e-05
Position 1358: 2.961137285155339e-05
Position 599: 2.2444914830646242e-05
Position 435: 1.7451690011203976e-05
Position 405: 1.3887730599953155e-05
Position 826: 1.2345272262429457e-05
Position 53: 1.2029874027510604e-05
Position 1293: 9.003632287992471e-06
Position 109: 7.964491082306412e-06
Position 1315: 6.261803817008038e-06
Position 153: 6.1404983301141965e-06
Position 906: 5.44040903753769e-06
Position 1287: 4.9099574133633915e-06
Position 1330: 4.9001104915865415e-06
Position 445: 2.002272643565341e-06
Position 1248: 1.5767594594873329e-06
Position 410: 1.3021278340725032e-06
Position 456: 4.3787776779200895e-07
Position 669: 8.62541415646232e-08
Position 255: 1.6650748172128692e-08
Position 969: 4.516695444548012e-09
Position 967: 3.2822908223836928e-09
Position 465: 3.877655879105724e-10
Position 476: 2.2197554799492125e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 284: 0.9672604998556836
Position 1085: 0.9594401321207437
Position 472: 0.818206694044284
Position 903: 0.7848531099007111
Position 658: 0.6592937345853002
Position 696: 0.30209281408994515
Position 501: 0.12451202943190355
Position 818: 0.020734292562640293
Position 1157: 0.012522661211768815
Position 1217: 0.01111282703601295
Position 291: 0.008564588573894713
Position 344: 0.006045603703996749
Position 1049: 0.0057025496999843685
Position 1429: 0.003989961505930913
Position 867: 0.0036672858895062718
Position 661: 0.0035614467139925164
Position 873: 0.0027742220130106275
Position 297: 0.0026388800907783403
Position 927: 0.002627531895624781
Position 1273: 0.0023825101445695517
Position 231: 0.0021943472777061893
Position 1302: 0.0018097870506730805
Position 319: 0.0016475197597924682
Position 305: 0.001211085162891534
Position 1180: 0.0011501372822690077
Position 515: 0.0011499648375247389
Position 889: 0.0010028941111287428
Position 1099: 0.0007756969226256604
Position 965: 0.0007497808741294759
Position 608: 0.0006473053237312608
Position 989: 0.0005927331704603874
Position 741: 0.0004202288914954248
Position 886: 0.0003814720468844034
Position 758: 0.00028852690515651647
Position 916: 0.00028404848295044755
Position 677: 0.0002715219848977481
Position 666: 0.00023251322696189126
Position 1452: 0.0001677516757687189
Position 545: 0.00016758530912649593
Position 998: 0.00016342203252826205
Position 863: 9.677266426385626e-05
Position 1001: 8.623754937780304e-05
Position 882: 7.380178130355646e-05
Position 1308: 6.84122696171905e-05
Position 767: 6.771600615641877e-05
Position 424: 6.082057707271904e-05
Position 823: 4.636845130752252e-05
Position 1375: 4.2985382711294055e-05
Position 242: 4.1879572120344606e-05
Position 1056: 3.988630562785108e-05
Position 744: 2.8693218271685893e-05
Position 323: 2.2682925175115457e-05
Position 797: 1.8380668251157938e-05
Position 236: 1.6395109507142894e-05
Position 1255: 1.611973043816322e-05
Position 330: 1.4334017770462185e-05
Position 838: 1.3196837067155393e-05
Position 370: 1.3173427275845267e-05
Position 1103: 1.2083526287224532e-05
Position 843: 1.1374378588189681e-05
Position 1184: 1.074418439620538e-05
Position 1062: 1.0085707748816089e-05
Position 778: 8.442330028590097e-06
Position 327: 8.161098550070364e-06
Position 552: 8.114432332075722e-06
Position 612: 7.148941577554596e-06
Position 379: 7.1162794181041084e-06
Position 315: 6.346880937625164e-06
Position 184: 5.9432736830903105e-06
Position 1222: 5.685540995564572e-06
Position 1190: 5.4089447440753365e-06
Position 255: 5.126753988118319e-06
Position 773: 4.697114038324765e-06
Position 1358: 3.4833504993131422e-06
Position 1226: 3.4648891744601006e-06
Position 1281: 3.2113606092619407e-06
Position 1382: 3.1230362811460376e-06
Position 1188: 2.746282021706512e-06
Position 431: 2.692110496394229e-06
Position 775: 2.451885858657647e-06
Position 562: 2.0563337287814252e-06
Position 250: 1.9987774389731544e-06
Position 360: 1.4168419282831487e-06
Position 263: 1.3299014742712447e-06
Position 373: 1.2007634610613018e-06
Position 615: 6.143949764193946e-07
Position 401: 3.8425032576965916e-07
Position 769: 3.660984686056058e-07
Position 246: 1.9839700154919533e-07
Position 790: 1.945500742379949e-07
Position 390: 8.335059199199022e-08
Position 383: 6.091032970812875e-08
Position 144: 5.057875991269759e-08
Position 119: 4.885236521507042e-08
Position 581: 3.990469296330903e-08
Position 435: 2.4919981442511056e-08
Position 147: 5.822181576879036e-10
Position 124: 9.48343684367422e-12
Position 433: 1.1682094522084874e-12
