Gene = Pgam5
index = 812
Annotated 5SS: [ 236 2801 3977 4148 4376]
Annotated 3SS: [2621 3850 4058 4244 9449]
SMsplice 5SS: [ 236 3977 4148 4376]
SMsplice 3SS: [3850 4058 4241 9449]
top_k =  500
Partition function (log Z): -1.897071020813425

Sorted 5' Splice Sites (High to Low Probability):
Position 4376: 0.9666077725725741
Position 3977: 0.9374876230444211
Position 236: 0.929848514973235
Position 4148: 0.7798735955867366
Position 2801: 0.6536687092128934
Position 2974: 0.3798074739141231
Position 2962: 0.12782062240664696
Position 7946: 0.05805900315062762
Position 6593: 0.05639584726488933
Position 3801: 0.05471593367038422
Position 8854: 0.05387055618749171
Position 698: 0.04403629763402699
Position 251: 0.04001160986896727
Position 2814: 0.033369735793586854
Position 1330: 0.03318402320446775
Position 1113: 0.031597360755570084
Position 7749: 0.03150717314444042
Position 6947: 0.029083340054712626
Position 654: 0.026814770951297997
Position 4095: 0.02412862275243128
Position 9517: 0.018045480661246102
Position 5629: 0.013496251196291381
Position 9594: 0.011641641728370672
Position 129: 0.01111518800866317
Position 4849: 0.008855635118572404
Position 3851: 0.00805948537539874
Position 2966: 0.007896555362091282
Position 6317: 0.007563563573214794
Position 3182: 0.006444115208275339
Position 3742: 0.006237504753516182
Position 4372: 0.005766196183429606
Position 9567: 0.0053434774762367914
Position 4521: 0.0046242887721642725
Position 8764: 0.0043411989277827535
Position 572: 0.0038170628522793816
Position 483: 0.0033131080094135523
Position 2826: 0.0032821496960608403
Position 2516: 0.003116630618925995
Position 9533: 0.00263994073602113
Position 9473: 0.002598058302802254
Position 3835: 0.002540438304180274
Position 334: 0.002246732717925784
Position 1818: 0.0022178987350253633
Position 999: 0.001541755736217281
Position 3151: 0.0015076836708493697
Position 302: 0.0014230492303914635
Position 3747: 0.0011946925178582329
Position 31: 0.0011342700971752856
Position 8708: 0.0010298568260171054
Position 145: 0.0008926496277712873
Position 1087: 0.0008409698468772179
Position 663: 0.000718339843412218
Position 2751: 0.0005803236699224782
Position 2397: 0.0005710293015022118
Position 4145: 0.0004741360462922417
Position 391: 0.00044351852882645437
Position 3158: 0.00042144830088376153
Position 675: 0.0003896132720026103
Position 4004: 0.00038817342674187015
Position 3172: 0.00036322888311818085
Position 1799: 0.000303568773621101
Position 4166: 0.00019577132657856082
Position 2986: 0.00018851400813107657
Position 4121: 0.00012288722927598553
Position 920: 7.166096038327483e-05
Position 902: 5.512434274928995e-05
Position 85: 2.1266656158720653e-05
