Gene = Lins1
index = 636
Annotated 5SS: [  130  6413 18660 18850 19542 20853 22151]
Annotated 3SS: [ 6281 18145 18744 19399 20264 21978 23906]
SMsplice 5SS: [  130  6413 18567 18835 19542 22151]
SMsplice 3SS: [ 6281 18479 18744 19399 22046 23906]
top_k =  500
Partition function (log Z): -8.345976606826682

Sorted 5' Splice Sites (High to Low Probability):
Position 6413: 0.9999608590885043
Position 130: 0.9950639701031994
Position 19542: 0.887350212868512
Position 18835: 0.7635568310386738
Position 22151: 0.5346061209087084
Position 16398: 0.3736658434122434
Position 18567: 0.3546039357255851
Position 12771: 0.24843542909245106
Position 15961: 0.24679465780801937
Position 18850: 0.19396563147996937
Position 2964: 0.12592398852749495
Position 5996: 0.09488475366771876
Position 2211: 0.07227023411611941
Position 6000: 0.0709932331034349
Position 3157: 0.055211800964033796
Position 3966: 0.04206439493002047
Position 3107: 0.02578235322864067
Position 6154: 0.024429269573263145
Position 23843: 0.023269348000462153
Position 22313: 0.021315344072319636
Position 9588: 0.01821755114187146
Position 1346: 0.016637104122127
Position 23288: 0.014398118001187676
Position 172: 0.003533084625198942
Position 2313: 0.0008482395225775255
Position 308: 0.0008382943836063519
Position 1505: 0.00047538436512677807
Position 19602: 0.00044258585979953415
Position 2481: 0.0003684233763005445
Position 2646: 0.0003587420222243351
Position 146: 0.0002911493929971071
Position 1022: 0.0001947245162754664
Position 252: 0.00010320058319649755
Position 1710: 8.089399569912155e-05
Position 1339: 4.38836067982609e-05
Position 1112: 4.361530567681399e-05
Position 3153: 4.184650717187518e-05
Position 2636: 3.959322770804355e-05
Position 2608: 3.5135913951832274e-05
Position 9720: 2.1900009787274253e-05
Position 11630: 1.9171897337878692e-05
Position 1831: 1.646661103454868e-05
Position 2168: 1.4938243427166247e-05
Position 1086: 1.2025090307631013e-05
Position 3325: 1.0833876286364537e-05
Position 1293: 1.0517001884576274e-05
Position 2664: 1.0480246773290322e-05
Position 1203: 1.0314758269220864e-05
Position 2250: 9.665031590902369e-06
Position 2477: 8.915069539959884e-06
Position 290: 7.0238230998862485e-06
Position 2941: 5.896499185820193e-06
Position 52: 3.7780109451652344e-06
Position 282: 3.686042677968936e-06
Position 10965: 3.4073300590785245e-06
Position 804: 2.511698468073053e-06
Position 6350: 2.466884747767689e-06
Position 67: 2.1404342164647533e-06
