Gene = Odr4
index = 779
Annotated 5SS: [  391  2845  4558  6723  8652 10023 10813 11582 12769 17585 18286 21052
 29590]
Annotated 3SS: [ 2723  4422  6626  8544  9985 10671 11485 12702 17455 18194 20880 29481
 30191]
SMsplice 5SS: [  391  2845  4558  6723  8676 11582 17585 21052 29590]
SMsplice 3SS: [ 2723  4460  6626  8544 11485 17455 20880 29481 30191]
top_k =  500
Partition function (log Z): -2.2880616691077353

Sorted 5' Splice Sites (High to Low Probability):
Position 21052: 0.9980505453196512
Position 4558: 0.9905939054583358
Position 2845: 0.9683334685640242
Position 6723: 0.9512729225367836
Position 17585: 0.9286465452439477
Position 8676: 0.8429495531467988
Position 29590: 0.7083378651618368
Position 11582: 0.6709238544977743
Position 391: 0.37417996293104255
Position 653: 0.3369581400326313
Position 10023: 0.3075411873610986
Position 18286: 0.2534076095554095
Position 981: 0.21407135181609105
Position 14271: 0.2007423482716399
Position 18335: 0.18967259953316168
Position 17855: 0.16816300655686864
Position 12769: 0.14067624501195994
Position 91: 0.10682069285264985
Position 3906: 0.09549790937946694
Position 132: 0.09525375598016585
Position 26467: 0.09509843758616085
Position 24891: 0.08847300592321594
Position 12969: 0.07551858758620975
Position 8652: 0.06756735240771057
Position 7920: 0.06529484750499447
Position 23636: 0.050150497924627974
Position 898: 0.049279667346013266
Position 11784: 0.047645342410258945
Position 4763: 0.038912815032271224
Position 21604: 0.026780270181085315
Position 18660: 0.023991058289328765
Position 1864: 0.02148386634976083
Position 251: 0.018709882537163547
Position 190: 0.017061993479678485
Position 4209: 0.016184301730040283
Position 5483: 0.014241040733635642
Position 566: 0.010317809844721493
Position 477: 0.010185901565558902
Position 5229: 0.008656477578158593
Position 11870: 0.008574180499283227
Position 7157: 0.00842627671720592
Position 1660: 0.007945150158350891
Position 626: 0.00775017650109652
Position 11840: 0.0075387908464301726
Position 19: 0.0073342413274206895
Position 309: 0.0072679361142854015
Position 8194: 0.006757445741855275
Position 4138: 0.006046269778762237
Position 7597: 0.00576960564638775
Position 3768: 0.0055962620901353725
Position 4809: 0.00503496966904363
Position 1958: 0.004173170791702967
Position 2114: 0.003771890258039356
Position 4338: 0.0033729544359892686
Position 6546: 0.0032086028228443825
Position 8041: 0.0029411905068368735
Position 4317: 0.0028825132432693536
Position 3788: 0.002824622840385373
Position 12062: 0.0024718137230747735
Position 735: 0.0024251569838985737
Position 1718: 0.0023952560166048686
Position 17567: 0.00236650978438913
Position 3873: 0.0022917864805719855
Position 10813: 0.0022083791679100274
Position 7043: 0.002197943084260702
Position 8080: 0.0021303246141826633
