Gene = Pecr
index = 808
Annotated 5SS: [  222  7028  8149  9429 14038 16908 22363]
Annotated 3SS: [ 6893  7982  9346 13940 16796 22250 24880]
SMsplice 5SS: [  222  7028  8149 14038 16908 17232 22363]
SMsplice 3SS: [ 6893  7982 13940 16796 17143 22250 23333]
top_k =  500
Partition function (log Z): 3.2147591948483667

Sorted 5' Splice Sites (High to Low Probability):
Position 14038: 0.9969653286354343
Position 7028: 0.979773825338182
Position 22363: 0.9755643834369384
Position 17232: 0.9435544489132422
Position 222: 0.8923730200298785
Position 16908: 0.7872676891684991
Position 9429: 0.44986862179877385
Position 7689: 0.3102117650774859
Position 14464: 0.2432676433231944
Position 933: 0.22879838452488688
Position 21509: 0.1382269319664978
Position 14821: 0.09237978478376735
Position 2431: 0.07594382413358633
Position 226: 0.07495710024404269
Position 17782: 0.06551811671009995
Position 17843: 0.054879698970145094
Position 9880: 0.048185469816591026
Position 16913: 0.046350345160027055
Position 2009: 0.04371454799649712
Position 21883: 0.04184139250640895
Position 4964: 0.041438264663264474
Position 21802: 0.03836336321800248
Position 20539: 0.03737929352161022
Position 11091: 0.03591024424549208
Position 9277: 0.0346856033095884
Position 21830: 0.030024449312117882
Position 23112: 0.029809931920959775
Position 7341: 0.029749252633744873
Position 6011: 0.027687063252649507
Position 8662: 0.026620498255472625
Position 1573: 0.026367477215633175
Position 275: 0.022491844187703267
Position 8020: 0.022369681855063796
Position 15339: 0.021424258199628385
Position 8271: 0.019455068880859887
Position 7107: 0.016894124899656443
Position 7295: 0.016853198067107535
Position 7693: 0.016571378823104686
Position 16658: 0.015349216724468909
Position 16121: 0.01530522002774614
Position 16873: 0.01519980457217655
Position 1687: 0.015121277349594831
Position 20642: 0.015119054670712095
Position 8365: 0.014480026035832233
Position 22554: 0.01166469975662762
Position 6221: 0.011285573466504403
Position 18880: 0.011011880420774521
Position 4604: 0.010968078297811972
Position 22869: 0.010384737353690887
Position 11621: 0.010066431917390279
Position 21726: 0.00871425732477634
Position 7177: 0.008490183495073337
Position 1490: 0.008209535303877465
Position 850: 0.00788083208842693
Position 17291: 0.007306591473845611
Position 7946: 0.007217390609937079
Position 9725: 0.0071560794831074
Position 15410: 0.006935180941746804
Position 2623: 0.006805632118644464
Position 16962: 0.00570009324097586
Position 791: 0.00547336193556379
Position 11662: 0.00533664713693127
Position 24658: 0.005091180550413804
Position 7983: 0.004741217343465696
Position 9721: 0.0044012631945922285
Position 22418: 0.0041142812173936075
Position 8103: 0.003793556257710845
Position 20405: 0.003529464105781103
Position 11223: 0.003496387753543597
Position 7194: 0.003036615422300672
Position 1934: 0.002996908754543
Position 14117: 0.002953015393949695
Position 24703: 0.0029028837705410747
Position 23170: 0.0028191767300839283
Position 4944: 0.0026842926453494826
Position 17690: 0.0025260752848851333
Position 14371: 0.002204769638692107
Position 8234: 0.002132726812826832
Position 4959: 0.0020387840991446925
Position 8153: 0.0020113136346070737
Position 9226: 0.0017977633833134684
Position 890: 0.0016890097908089344
Position 22647: 0.001629923065237099
Position 1853: 0.0016076210772754274
Position 16896: 0.001491997533061073
Position 929: 0.0014391353013400697
Position 2459: 0.0013357288407169522
Position 7361: 0.0012990336527396228
Position 22988: 0.0012770192569994847
Position 19759: 0.001002380447389963
Position 17057: 0.0005686910043857809
Position 24014: 0.00042792143119928434
Position 378: 0.00040722160343918917
Position 7810: 0.000348622207870776
Position 197: 0.00024562230557702747
Position 117: 0.00021066731480242463
Position 7543: 0.0001761986096300713
Position 490: 0.00015985156920611808
Position 337: 0.00014831066494122816
Position 8138: 0.0001340323458651151
Position 976: 0.0001288441319574482
Position 7606: 0.0001231283366834189
Position 2172: 8.904798784081658e-05
Position 1020: 8.893808384824899e-05
Position 155: 8.374191779115305e-05
Position 550: 8.252962990899132e-05
Position 264: 7.801941426070583e-05
Position 840: 6.057659396646826e-05
Position 8155: 5.8410299772819826e-05
Position 1222: 5.7845026465693385e-05
Position 7642: 4.8380393312448997e-05
Position 1913: 3.977016863169336e-05
Position 733: 3.641410160646436e-05
Position 403: 3.601750567764894e-05
Position 1673: 3.137999469774158e-05
Position 1927: 2.8815539599823602e-05
Position 467: 2.5618900241783532e-05
Position 14042: 2.492351930856915e-05
Position 164: 2.1225903244601202e-05
Position 7942: 1.4910707097653853e-05
Position 751: 1.4877875546511111e-05
Position 323: 1.465093422022646e-05
Position 745: 1.4356653443120876e-05
Position 8436: 1.3838883234320829e-05
Position 254: 1.2812092657797029e-05
Position 558: 4.72913462522887e-06
Position 53: 3.5888947149500425e-06
Position 139: 2.097717515307888e-06
Position 435: 1.93946744255307e-06
Position 161: 1.7257827982470915e-06
Position 528: 1.4194658408402161e-06
Position 56: 7.25675906002242e-07
Position 252: 6.561576370754068e-07
Position 10: 6.474665818515232e-07
