Gene = Lat
index = 623
Annotated 5SS: [ 387  593  733 1040 1236 1349 1489 1659 4976 5137 5339]
Annotated 3SS: [ 564  697  951 1170 1318 1427 1563 4912 5073 5233 5492]
SMsplice 5SS: [ 387 1236 1489 1659 4976 5137 5339]
SMsplice 3SS: [1093 1427 1563 4862 5073 5233 5492]
top_k =  500
Partition function (log Z): 9.971772835486199

Sorted 5' Splice Sites (High to Low Probability):
Position 1489: 0.9291597492556508
Position 5137: 0.9263116950867989
Position 1659: 0.8655456568899096
Position 5339: 0.852145549988795
Position 4976: 0.7911570992525155
Position 1236: 0.7835257815597475
Position 1040: 0.7035241518266591
Position 387: 0.5650427482762035
Position 593: 0.5490592007954241
Position 733: 0.49784308557828033
Position 4789: 0.4532599127871749
Position 1349: 0.3506078896945674
Position 375: 0.1578837112561715
Position 3934: 0.13272687857917062
Position 4980: 0.10971823511973787
Position 776: 0.08797014996369446
Position 26: 0.062233564377325294
Position 4085: 0.051382684822320994
Position 4517: 0.050273883671761894
Position 5151: 0.030779701678819372
Position 1508: 0.020868156205546474
Position 1497: 0.01700184992676625
Position 5149: 0.016612321520436655
Position 361: 0.010714455513522613
Position 308: 0.008515095209120348
Position 1493: 0.007744343782649838
Position 1044: 0.006603666707875982
Position 273: 0.006510386818026275
Position 1353: 0.004481838281676131
Position 420: 0.0030716183775974406
Position 780: 0.002897778158743326
Position 774: 0.0027771925833255393
Position 4949: 0.0027337270604417367
Position 5410: 0.001916777077543436
Position 1094: 0.0017542871814249146
Position 1903: 0.0017144739705116463
Position 1901: 0.0014345123871512017
Position 764: 0.0013230003984022061
Position 2251: 0.0010349289355118746
Position 5141: 0.0009951120493812513
Position 56: 0.00099004112206928
Position 5087: 0.000980608907841009
Position 497: 0.0008797024444013208
Position 3982: 0.0007083520993456718
Position 365: 0.000693418023901903
Position 1360: 0.0005415641017313341
Position 840: 0.0005328762811186397
Position 3800: 0.0004839802468720115
Position 737: 0.0003917146482820525
Position 236: 0.0003808357694991204
Position 3000: 0.0003196295022408706
Position 5346: 0.0002997552616737263
Position 5118: 0.0002916446972533475
