Gene = Smim14
index = 991
Annotated 5SS: [  665 25008 32877 40215]
Annotated 3SS: [24898 32827 40071 42962]
SMsplice 5SS: [  665 25008 32877 40215]
SMsplice 3SS: [24898 32827 40071 42962]
top_k =  500
Partition function (log Z): -32.356858023497665

Sorted 5' Splice Sites (High to Low Probability):
Position 665: 0.9575798207282403
Position 141: 0.34403560595150073
Position 460: 0.06618626184181692
Position 4329: 0.0646404178425003
Position 429: 0.04179132469737835
Position 4325: 0.021046872578617225
Position 8347: 0.008981057940912508
Position 248: 0.0055220140944727165
Position 192: 0.004050189801666898
Position 1133: 0.0030368297751323277
Position 3: 0.0024230376264085317
Position 2979: 0.0018043063962702585
Position 1237: 0.001535127584492908
Position 78: 0.0014213015802618863
Position 326: 0.0013092223415124503
Position 288: 0.0011492008343944697
Position 388: 0.0008490648109072403
Position 170: 0.0005455246018887173
Position 2146: 0.00047165108899234145
Position 996: 0.00043201505188497603
Position 89: 0.0004037325547838552
Position 150: 0.00033874264214433136
Position 309: 0.00030456180178015644
Position 1181: 0.0002480882916564807
Position 482: 0.00021438274233446123
Position 105: 0.00019292520424399394
Position 1564: 8.12313827613168e-05
Position 1004: 7.143075876655391e-05
Position 465: 5.58277039162951e-05
Position 159: 1.9262759039242497e-05
Position 30: 1.656214846325331e-05
Position 494: 9.173709044152574e-06
Position 7: 3.3542242863240344e-06
Position 954: 2.7606828024154842e-06
Position 864: 2.255176302523594e-06
Position 613: 8.413581862428766e-07
Position 1000: 3.157256595789449e-07
Position 669: 2.464632211155707e-07
Position 1223: 2.407158975034253e-07
Position 1102: 2.119081637049289e-07
Position 990: 1.1741741855113434e-07
Position 1271: 6.913938919207055e-08
Position 910: 5.8548377388692316e-08
Position 858: 5.5182511481665145e-08
Position 210: 1.4299395097425682e-09
Position 676: 2.307959862700236e-12
Position 671: 2.098579344716843e-12
Position 547: 1.9561608179805656e-12
Position 527: 1.901952839476886e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 16020: 0.5593537222156464
Position 520: 0.1959732443943248
Position 568: 0.11566370185661662
Position 8272: 0.08274382924278684
Position 12174: 0.05492992442568427
Position 4226: 0.05216372439313549
Position 540: 0.04634525541722067
Position 8383: 0.04145223681751971
Position 8526: 0.03102254495351174
Position 4125: 0.02817950850295868
Position 1088: 0.027804392833696873
Position 459: 0.026260012318395788
Position 7289: 0.022788217278093967
Position 575: 0.021170191024444687
Position 6317: 0.018388077125132955
Position 4540: 0.017150277815629736
Position 5955: 0.016098842381505062
Position 4042: 0.015239874621319944
Position 8404: 0.014119874764102473
Position 11275: 0.009167273449736653
Position 1856: 0.00891702562586055
Position 1583: 0.0072057758931311725
Position 5456: 0.006753597264006254
Position 4765: 0.006677615218041114
Position 428: 0.0062198985442065025
Position 4142: 0.005881254219947633
Position 5844: 0.005648831664926341
Position 10256: 0.0054940096955720386
Position 239: 0.005411230637732524
Position 4493: 0.005316671680270238
Position 7371: 0.004928376825788226
Position 1563: 0.004132892960589216
Position 542: 0.004028495658595293
Position 2440: 0.0033894328809227466
Position 5661: 0.003250218116744601
Position 4411: 0.0031814870654647146
Position 7260: 0.0031145136835047087
Position 1949: 0.002985673364857892
Position 578: 0.0025934767428621624
Position 9155: 0.002488649141847368
Position 3984: 0.0023945666009577387
Position 4390: 0.0020072298720581745
Position 2462: 0.0019875496208881776
Position 1691: 0.001645908380336857
Position 2859: 0.001611617478555867
Position 463: 0.0014092152104508136
Position 570: 0.0013394041066281742
Position 4563: 0.0012917673311283605
Position 2022: 0.0012736508757873145
Position 5916: 0.0012655486914187688
Position 1356: 0.0012237157993762366
Position 217: 0.0010969135983045443
Position 4676: 0.0010811193649526091
Position 879: 0.0009259895292258959
Position 1627: 0.0009189621262725757
Position 2904: 0.0009089429529067441
Position 5959: 0.0009053859123683757
Position 5007: 0.0008424082728196268
Position 1445: 0.0007854480211562229
Position 3819: 0.0007574729966690156
Position 4050: 0.0007556560483192405
Position 2666: 0.0007378180372856272
Position 4328: 0.0006931236986965093
Position 2711: 0.0006637025855504581
Position 1102: 0.0006520397658352039
Position 513: 0.0006176994127297037
Position 304: 0.0005118486103220414
Position 1064: 0.000510085244280027
Position 4662: 0.00048396488136769
Position 3872: 0.0004748224108730738
Position 2801: 0.00046464192658165245
Position 2249: 0.0004563163168557987
Position 1132: 0.00041997805169212605
Position 331: 0.00037643626135298186
Position 593: 0.0003297803755484104
Position 1007: 0.00027707311907373315
Position 3916: 0.0002627833031376951
Position 3199: 0.000252417168980828
Position 3622: 0.00024777383368684966
Position 2010: 0.0002311992024832884
Position 1802: 0.00019109258405136342
Position 1207: 0.00018879056417202774
Position 3160: 0.0001740769049087623
Position 1274: 0.00016561476757029624
Position 220: 0.00015748845368724511
Position 1241: 0.00012075842481893735
Position 140: 0.00011933414906474817
Position 1039: 0.00010547879234419561
Position 3347: 8.849378232313563e-05
Position 1154: 8.08698115335566e-05
Position 1670: 7.894935108747862e-05
Position 1719: 7.634133935959441e-05
Position 1530: 7.531332796595686e-05
Position 772: 7.424011965748404e-05
Position 1249: 6.600441039497903e-05
Position 1162: 6.527716273563343e-05
Position 608: 4.098920442015045e-05
Position 602: 4.044811421641881e-05
Position 1593: 3.0714666578029994e-05
Position 590: 1.7705089782507703e-05
Position 271: 1.766672799970809e-05
Position 889: 1.4623492211833915e-05
Position 275: 9.777279036752959e-06
Position 252: 9.050015732276867e-06
Position 813: 8.895697825228587e-06
