Gene = Tnfsf4
index = 1129
Annotated 5SS: [  335 19602]
Annotated 3SS: [19558 21537]
SMsplice 5SS: [  335  1744 19659]
SMsplice 3SS: [ 1648 19558 21537]
top_k =  500
Partition function (log Z): -12.778781261695002

Sorted 5' Splice Sites (High to Low Probability):
Position 13292: 0.9821849354811014
Position 1744: 0.9431350376114761
Position 19659: 0.825886088305526
Position 335: 0.7163284601697022
Position 21005: 0.24797075213091005
Position 423: 0.24337405991021918
Position 6643: 0.21687619134290087
Position 4265: 0.21221718197457853
Position 7272: 0.15294663336153708
Position 1158: 0.11663148417640755
Position 10403: 0.11609716891353905
Position 19602: 0.10359849109653582
Position 5829: 0.060104325629897856
Position 4269: 0.059951186337228055
Position 6824: 0.059297883457006956
Position 895: 0.02926586902826553
Position 260: 0.012137020333990752
Position 1125: 0.010087184791357241
Position 661: 0.006909378510419833
Position 263: 0.005290358305412519
Position 129: 0.005137966843518639
Position 1546: 0.004244211395780797
Position 238: 0.004130964117795973
Position 1654: 0.0037846965187904066
Position 462: 0.002618796062754781
Position 408: 0.0025759931647206594
Position 107: 0.002488434450805467
Position 39: 0.0022975719143672633
Position 1116: 0.001947142754730038
Position 145: 0.00185797486498095
Position 830: 0.0014647548801206961
Position 922: 0.0012277990981725004
Position 467: 0.0011514144848581613
Position 788: 0.0010554588611808415
Position 431: 0.0008586391440771245
Position 1024: 0.000789735151016104
Position 1512: 0.0006833107673570761
Position 11728: 0.0006384333400691884
Position 688: 0.0004557228157823975
Position 664: 0.0004517681107153237
Position 1086: 0.0004069648074760425
Position 1130: 0.00038316230521029117
Position 1456: 0.0003428148140005457
Position 46: 0.0002137875477402547
Position 2066: 0.0001688841075495108
Position 5107: 0.0001535596177994203
Position 2637: 8.227969649773713e-05
Position 489: 7.770825917256993e-05
Position 3551: 6.589149621908303e-05
Position 104: 5.906481915934409e-05
Position 295: 5.657081585247504e-05
Position 5129: 3.221117950886025e-05
Position 188: 2.2790303089429877e-05
Position 601: 2.108728657784913e-05
Position 348: 2.0360623890652883e-05
Position 436: 1.948316090800391e-05
Position 7933: 1.2400931936844642e-05
Position 533: 6.5638452772233875e-06
Position 472: 5.414078133383709e-06
Position 117: 4.9103824039546005e-06
Position 514: 4.012261864069653e-06
Position 2118: 3.3748947696484546e-06
Position 401: 3.2288336990242292e-06
Position 528: 2.637926457215306e-06
Position 487: 2.5380261268535972e-06
Position 669: 2.5147009466967503e-06
Position 1735: 1.2286899523151352e-06
Position 469: 6.749243036837378e-07
Position 308: 9.921872596652613e-08
Position 766: 4.738633516469915e-08
Position 1977: 3.460256049604566e-08
Position 520: 3.2358352832631704e-08
Position 733: 3.198354307205725e-08
Position 3166: 2.8889438238231728e-08
Position 1709: 2.3474420495261902e-08
Position 2115: 1.9680504593103372e-08
Position 2163: 1.7024612855773534e-08
Position 716: 2.1800658649299427e-09
Position 671: 1.8811736747325712e-09
Position 2217: 1.6947114994520308e-09
Position 2099: 1.3793219902071625e-09
Position 563: 4.4035993869730283e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 13157: 0.9929363820025577
Position 21537: 0.946545572855429
Position 19558: 0.9407909994305063
Position 1648: 0.9088766154226299
Position 20823: 0.27145506764986355
Position 4103: 0.19206048941476095
Position 6510: 0.14467639936508345
Position 6489: 0.13193166041265803
Position 7089: 0.11326739641515152
Position 10292: 0.09150263256244363
Position 973: 0.07103481199634745
Position 787: 0.03028321232022993
Position 1679: 0.02891481394335985
Position 1045: 0.028709104485757444
Position 7035: 0.02776397799478313
Position 4122: 0.025299086690944
Position 10328: 0.025118737318708336
Position 5659: 0.022669247994267623
Position 4082: 0.022659083282035558
Position 4157: 0.022139728399433803
Position 5547: 0.01921980178306975
Position 5635: 0.018233341494306176
Position 7072: 0.012391617442848848
Position 4199: 0.010042412544358144
Position 586: 0.008048998343370906
Position 990: 0.0076842279990103875
Position 1490: 0.007265129624498193
Position 1369: 0.006377257462514226
Position 339: 0.006366416395088548
Position 170: 0.0030059963560938137
Position 1072: 0.002572086419055716
Position 369: 0.002524021336435735
Position 11510: 0.0024084859783414293
Position 921: 0.002244992471730178
Position 1011: 0.001891891965245168
Position 794: 0.0015426989682925474
Position 10659: 0.0014478367272516503
Position 13883: 0.0008486270782757104
Position 1121: 0.0008197198627766736
Position 908: 0.0007940397318612913
Position 1015: 0.0007553493237074946
Position 1047: 0.0007078308360336163
Position 664: 0.0006763710424129378
Position 748: 0.0005899503768538901
Position 7726: 0.000575623357003225
Position 931: 0.0005539874457123316
Position 8105: 0.00047264332848178975
Position 514: 0.0003359411599213947
Position 825: 0.00028581478514212787
Position 882: 0.00024615632938775094
Position 2751: 0.0001913345015441199
Position 688: 0.00017638834706600515
Position 2297: 0.00015472684283326083
Position 142: 0.00015124906245815903
Position 10970: 0.00013991840038304686
Position 5015: 0.00011484199952983018
Position 1023: 9.654933818891542e-05
Position 1687: 9.585974658793723e-05
Position 5057: 9.251082002308818e-05
Position 3679: 9.000015891656438e-05
Position 11396: 8.743861754408205e-05
Position 6097: 7.876924863669902e-05
Position 2434: 7.663691859605744e-05
Position 225: 7.536487352040123e-05
Position 1912: 7.268214191426463e-05
Position 627: 6.418043694120552e-05
Position 4382: 6.153451383277816e-05
Position 853: 5.417727227454795e-05
Position 1865: 5.267315827079795e-05
Position 348: 4.802681159142548e-05
Position 1053: 4.610884902509846e-05
Position 1958: 4.5307705255896426e-05
Position 4956: 4.504396983602419e-05
Position 517: 4.413995767843318e-05
Position 8189: 4.110721674352333e-05
Position 1143: 3.6366485996448445e-05
Position 277: 3.632601338444402e-05
Position 128: 3.5512496842291275e-05
Position 3318: 3.3702181030800095e-05
Position 8539: 3.074902584762744e-05
Position 3341: 3.0062469895771932e-05
Position 3363: 2.8611683776808288e-05
Position 2664: 2.6441790848815847e-05
Position 8963: 2.638641316339485e-05
Position 6935: 2.439751724889575e-05
Position 7500: 2.3539143653674567e-05
Position 7866: 2.0987947350597906e-05
Position 172: 2.002127528857622e-05
Position 3431: 1.9364351133830338e-05
Position 4994: 1.7362169207633105e-05
Position 2318: 1.4530329119258832e-05
Position 1973: 1.4091025617629936e-05
Position 7610: 1.351443974309947e-05
Position 2574: 1.3055437610127027e-05
Position 2490: 1.174196788207417e-05
Position 4505: 1.0688970528204611e-05
Position 2364: 9.684201542521302e-06
