Gene = Rpe
index = 915
Annotated 5SS: [  198  5695 13886 14417 15215]
Annotated 3SS: [ 5614 13745 14281 15127 16922]
SMsplice 5SS: [  198  5695 13886 14417]
SMsplice 3SS: [ 5614 13745 14281 16455]
top_k =  500
Partition function (log Z): -8.400353140854067

Sorted 5' Splice Sites (High to Low Probability):
Position 5695: 0.9934767624489654
Position 13886: 0.8399435456287927
Position 198: 0.8311119188671839
Position 14417: 0.6850646233395423
Position 6056: 0.3344826264371877
Position 15215: 0.32953552643632933
Position 14441: 0.12350525291528135
Position 806: 0.11361394769927458
Position 3883: 0.05830666476278224
Position 3935: 0.05702668872954776
Position 2909: 0.049332736263390776
Position 3219: 0.044210315297368685
Position 18248: 0.041979745100602726
Position 818: 0.03919095931299749
Position 187: 0.03628680896419377
Position 4926: 0.034992922672845116
Position 6781: 0.021736120967663992
Position 12771: 0.01902821386154064
Position 2375: 0.016106990390464627
Position 13935: 0.01588069198906454
Position 17181: 0.01350332945330289
Position 16130: 0.013454690110236962
Position 1926: 0.010718270259173306
Position 1964: 0.00862741349373022
Position 4706: 0.008366945775627417
Position 1427: 0.005620061526223901
Position 3749: 0.0055238946379110995
Position 2737: 0.005393501544853376
Position 2927: 0.005285860352576109
Position 2518: 0.004452204789783837
Position 235: 0.0038236110718619814
Position 15361: 0.003806659592783445
Position 5034: 0.003307249112949168
Position 1457: 0.003014846774908465
Position 4854: 0.002808270703256502
Position 14357: 0.0027496593020767453
Position 735: 0.002730238468855172
Position 377: 0.002445484133808514
Position 5751: 0.0019595658547574843
Position 358: 0.0018630047428578012
Position 5699: 0.0017215079808588622
Position 625: 0.0016308441072016805
Position 2953: 0.0016066163776346858
Position 141: 0.0015847018359527831
Position 728: 0.0014000659052865545
Position 3501: 0.0013988896055637657
Position 1959: 0.001235744480243943
Position 2488: 0.000925545728391794
Position 3725: 0.0008953305496129967
Position 4657: 0.000879276895340281
Position 5978: 0.0008469461190991623
Position 1174: 0.0008273067794645448
Position 3171: 0.0008013202638982908
Position 5755: 0.000752647023815935
Position 6421: 0.0007387536775258835
Position 387: 0.0006514439890635181
Position 3868: 0.0006445762935160038
Position 708: 0.0006087476105732253
Position 285: 0.0005821706138536619
Position 433: 0.0005062554535590941
Position 9701: 0.0004934563471615721
Position 1433: 0.0004340068148335984
Position 6191: 0.00029073890247473613
Position 618: 0.0002663082321176247
Position 1459: 0.00025570279855249736
Position 8894: 0.00024892241206094336
Position 6206: 3.9760546998497894e-05
Position 270: 1.710989114329849e-05
Position 692: 1.1347026015922782e-05
Position 822: 4.114471271521764e-06
Position 1037: 1.8664647077924595e-06
Position 81: 1.7416406162439162e-06
Position 241: 1.6969078516245233e-06
Position 102: 1.574060555342066e-06
Position 45: 1.512527135993782e-06
Position 732: 1.2924094075323052e-06
Position 697: 8.357755329654919e-07
Position 384: 7.966143147641727e-07
Position 441: 7.66833445539564e-07
Position 415: 7.12751345617369e-07
Position 6210: 5.695427810436981e-07
Position 7673: 3.812626752562765e-07
Position 2145: 3.222178203834415e-07
Position 7122: 2.97639109086147e-07
Position 265: 2.88831067277127e-07
Position 623: 2.648451538939759e-07
Position 23: 2.349994742641122e-07
Position 1938: 1.7893426170428275e-07
Position 560: 1.651386502441865e-07
Position 6230: 1.626467166755209e-07
Position 5956: 1.523596777223545e-07
Position 6008: 6.117275552011571e-08
Position 667: 3.459475343443658e-08
Position 5886: 2.8977774864273083e-08
Position 5973: 2.8523023721820263e-08
Position 505: 8.981819283927741e-09
Position 889: 7.233336969255632e-09
Position 413: 2.015582680000427e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 5614: 0.9077861455281696
Position 13745: 0.8558242376178563
Position 14281: 0.7949126218799015
Position 15127: 0.3356111499905629
Position 5929: 0.2523029301398382
Position 16455: 0.220873807204084
Position 18731: 0.2205273490921382
Position 18073: 0.15032574243158606
Position 18219: 0.13067314287754364
Position 5543: 0.09028858985834226
Position 3814: 0.08799582547840654
Position 5849: 0.0780653545987543
Position 16922: 0.07363419849339972
Position 15100: 0.06960104535276744
Position 16951: 0.04160531907463875
Position 4841: 0.03999378642373159
