Gene = Sh3bp2
index = 974
Annotated 5SS: [   56 25855 26994 29729 30167 31134 31518 33804 34607 34899 35262 35817]
Annotated 3SS: [25714 26890 29610 30095 31044 31448 33154 34497 34842 35179 35756 36512]
SMsplice 5SS: [   56  4690 13697 23951 25855 26994 29740 30167 31134 31518 33351 33804
 34607 34965 35262]
SMsplice 3SS: [ 4598 13625 23894 25714 26890 29610 30095 31044 31401 33154 33713 34497
 34842 35057 36512]
top_k =  500
Partition function (log Z): -23.34235626906943

Sorted 5' Splice Sites (High to Low Probability):
Position 4690: 0.9309074120748204
Position 56: 0.8752800474305528
Position 11119: 0.5026414042885364
Position 6853: 0.45420856696674566
Position 3850: 0.402528156908502
Position 13697: 0.37790378962401816
Position 2841: 0.25678177742457314
Position 4952: 0.15663937414443596
Position 10551: 0.12375725097980056
Position 157: 0.11079249936263016
Position 10449: 0.07784493164720001
Position 910: 0.06259476935957106
Position 6244: 0.05413074556713715
Position 4920: 0.0401876997486149
Position 1079: 0.035714064963007414
Position 3915: 0.031991139806247806
Position 1047: 0.029734834411025094
Position 1480: 0.025751560124049135
Position 6916: 0.01811373384103107
Position 5154: 0.01680500739907818
Position 2858: 0.013952246360035645
Position 892: 0.012578017150926752
Position 7127: 0.01002032257738055
Position 5352: 0.009286098783931981
Position 3154: 0.008872766474835201
Position 2702: 0.007831227821732381
Position 4715: 0.005877539086412278
Position 483: 0.0036830181277739053
Position 4073: 0.0035232100874774477
Position 152: 0.003364367981997742
Position 7048: 0.0033240463470816787
Position 414: 0.0009091745821640106
Position 4964: 0.0007566081705717941
Position 831: 0.0006911515246088991
Position 1674: 0.0005714479825616448
Position 965: 0.0005509307507746044
Position 698: 0.00032732080850224235
Position 1921: 0.0002796102958642496
Position 676: 0.0002080254868168428
Position 450: 0.0001637257880179649
Position 129: 0.00016125854992546232
Position 1567: 0.00015309876165071792
Position 2401: 0.00014769659577334773
Position 2442: 0.00013524610275121568
Position 369: 0.00010333543520610413
Position 438: 9.938782146255923e-05
Position 142: 9.781451608750735e-05
Position 2380: 8.748656426072926e-05
Position 2372: 6.472871623904616e-05
Position 5836: 4.285255526814731e-05
Position 2204: 3.413147675917782e-05
Position 2209: 3.35544902622008e-05
Position 2141: 3.218969304311747e-05
Position 1713: 2.869494424715433e-05
Position 847: 2.004880672169541e-05
Position 901: 1.6610496298361903e-05
Position 582: 7.742510909954244e-06
Position 144: 7.672775403490057e-06
Position 110: 7.121857612436493e-06
Position 84: 7.0341247529283135e-06
Position 33: 6.99129982352562e-06
Position 236: 6.80217788014345e-06
Position 301: 5.908486292446345e-06
Position 105: 5.781424254369618e-06
Position 263: 5.434199151124365e-06
Position 635: 5.3196599139102816e-06
