Gene = Atp5k
index = 151
Annotated 5SS: [123 423 718]
Annotated 3SS: [ 367  618 1110]
SMsplice 5SS: [123 423 718]
SMsplice 3SS: [ 367  618 1110]
top_k =  500
Partition function (log Z): -2.7833841169914266

Sorted 5' Splice Sites (High to Low Probability):
Position 718: 0.9095134135112435
Position 123: 0.8755318623486795
Position 423: 0.7013595868750857
Position 532: 0.15355535679579727
Position 456: 0.127935804865795
Position 105: 0.04868427591933828
Position 75: 0.011348938933706199
Position 99: 0.010679948624506946
Position 150: 0.009737702782184356
Position 1006: 0.008153957600763217
Position 998: 0.007444768996387293
Position 902: 0.0023669684907332007
Position 142: 0.0020664197106899556
Position 90: 0.0017568480728993427
Position 277: 0.0012137887464222549
Position 292: 0.0010997858311747597
Position 1012: 0.0009699954908309843
Position 139: 0.0007794290709153607
Position 376: 0.0007552718109030727
Position 304: 0.0006237339789812473
Position 846: 0.0005690565132776209
Position 956: 0.0005645000533039444
Position 191: 0.0004962707098719521
Position 55: 0.00048814351475614365
Position 489: 0.000384722298902535
Position 874: 0.0002657825418030238
Position 761: 0.00026273521890275394
Position 466: 0.0002594051918914024
Position 992: 0.00024938201499375106
Position 1057: 0.00016584904213941195
Position 468: 0.000160419878258713
Position 973: 0.00012427336198822772
Position 230: 8.745147639601578e-05
Position 335: 7.441492877264172e-05
Position 427: 4.97917888359098e-05
Position 1062: 3.646347419685991e-05
Position 946: 2.2469544300362443e-05
Position 935: 1.6104017428091902e-05
Position 750: 1.5052708460490013e-05
Position 619: 1.2661265960724875e-05
Position 812: 1.0716608172398534e-05
Position 42: 1.0014850029668541e-05
Position 227: 6.009270384605723e-06
Position 933: 4.234340004311932e-06
Position 686: 3.2034756821735164e-06
Position 822: 2.336731737543303e-06
Position 1038: 2.1856410699561067e-06
Position 367: 1.0819095971405094e-06
Position 354: 3.6810470364277914e-07
Position 560: 1.484836885031089e-07
Position 326: 1.0345957964563166e-07
Position 807: 1.5531458691275953e-09
Position 775: 5.63986730450365e-10
Position 337: 2.6457955339206595e-10
Position 594: 1.8859207712264526e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 367: 0.9418723672411017
Position 618: 0.9328572373591617
Position 1110: 0.7792056233990755
Position 877: 0.08287767304289513
Position 817: 0.07159885399635299
Position 1163: 0.012809281230479192
Position 580: 0.011909117739773385
Position 292: 0.010874362371107501
Position 639: 0.007497452438530275
Position 956: 0.006220445285389801
Position 1045: 0.0030501462420515074
Position 589: 0.003004447430586947
Position 199: 0.0027174954384674046
Position 839: 0.0019594826972778173
Position 1027: 0.0019550676165111984
Position 1116: 0.0012901556372672306
Position 644: 0.0010618410802739153
Position 577: 0.0008619056102966107
Position 641: 0.0006814482193628352
Position 1061: 0.0006103194808799456
Position 901: 0.0006067303167517748
Position 489: 0.0004943872999675099
Position 916: 0.0004539021751495541
Position 834: 0.0004293513382246678
Position 647: 0.0004196307526040393
Position 531: 0.0003967907378277523
Position 783: 0.00031644701231298367
Position 1051: 0.0002735805464394189
Position 1071: 0.00027285610805815295
Position 899: 0.0002384212383008942
Position 594: 0.00019753914673052963
Position 1137: 0.00015654226524280897
Position 504: 0.00010682608933872354
Position 960: 0.00010344462045763722
Position 514: 9.482443217243487e-05
Position 521: 7.214039926620344e-05
Position 237: 6.562662726390676e-05
Position 998: 3.415583398380174e-05
Position 560: 2.7136485396600012e-05
Position 1123: 2.6835202428202825e-05
Position 551: 2.1143805192295618e-05
Position 750: 2.1095994464603765e-05
Position 1182: 2.072239453348841e-05
Position 652: 2.0315351539285367e-05
Position 591: 1.1586059576061599e-05
Position 1010: 1.0815811772624114e-05
Position 415: 1.0678153062258259e-05
Position 1133: 1.039193327000827e-05
Position 649: 1.0031019111732255e-05
Position 1144: 9.8583188190093e-06
Position 423: 8.66867385968564e-06
Position 541: 8.660256383643216e-06
Position 764: 7.3961621964696375e-06
Position 674: 6.9724187027965115e-06
Position 660: 6.901174449539819e-06
Position 671: 5.671039888134514e-06
Position 500: 4.649046563242984e-06
Position 730: 4.329925978983548e-06
Position 913: 4.0975450371166135e-06
Position 657: 3.875068914546776e-06
Position 761: 3.8135706080498258e-06
Position 523: 3.002385692188101e-06
Position 1171: 1.5767351596847415e-06
Position 159: 1.348419241608109e-06
Position 462: 1.295688495059528e-06
Position 681: 1.1681672106420217e-06
Position 442: 4.4851662077782275e-07
Position 482: 3.2542455276422055e-07
Position 427: 1.2769103610884003e-07
Position 665: 1.109316422212871e-07
Position 705: 1.0042145639841375e-07
Position 701: 8.820281009606592e-08
Position 122: 3.550629817098711e-08
Position 676: 8.496361037071015e-09
Position 104: 8.018621605610919e-09
Position 703: 2.932548604731224e-09
