Gene = Pmf1
index = 826
Annotated 5SS: [  176 10621 11197 14427]
Annotated 3SS: [10514 11095 14230 15760]
SMsplice 5SS: [  176  5877 10621 11197 14427]
SMsplice 3SS: [ 5771 10514 11095 14230 15946]
top_k =  500
Partition function (log Z): -6.600185628099869

Sorted 5' Splice Sites (High to Low Probability):
Position 10621: 0.9393441578691586
Position 5877: 0.8450118598426707
Position 176: 0.7983391534730572
Position 14400: 0.7618437793497207
Position 11197: 0.6387938762956558
Position 14618: 0.42652328601658
Position 8181: 0.22723626173643488
Position 9881: 0.15243604587204537
Position 7074: 0.12281363163050064
Position 225: 0.10345713741413876
Position 14379: 0.08347750187000066
Position 33: 0.08137483490412627
Position 10748: 0.07759033155862348
Position 2188: 0.06422652969988088
Position 10901: 0.05547960942899098
Position 11214: 0.05408462928454543
Position 15438: 0.04988635736306693
Position 3976: 0.03418943959525984
Position 11520: 0.03276131327073054
Position 2264: 0.02225906627172303
Position 2808: 0.01935060376365585
Position 6962: 0.01164486838692088
Position 14431: 0.011111321420302283
Position 335: 0.010267232834517867
Position 10567: 0.010263839153996462
Position 14316: 0.010089308448248707
Position 1868: 0.009119721279674949
Position 6788: 0.008394474040773515
Position 2812: 0.0062198539279098
Position 8435: 0.005673015776207362
Position 210: 0.005651875071986923
Position 3054: 0.005476429757358122
Position 1688: 0.005455958889073558
Position 14929: 0.005238842504216668
Position 1710: 0.004676025211238096
Position 783: 0.004604462776348311
Position 4706: 0.004371231436294425
Position 15696: 0.004299656838013276
Position 3163: 0.0038600970649003263
Position 15867: 0.0028857643623230985
Position 2755: 0.0027722467858101734
Position 6856: 0.0009351943071494982
Position 10676: 0.0006618863564658256
Position 6874: 0.0005788222910298205
Position 180: 0.0005516849191653904
Position 685: 0.0005189838068601094
Position 2016: 0.00015361115473278456
Position 977: 0.00011627463142736996
Position 1988: 0.00011364341086753609
Position 2215: 4.64670315792103e-05
Position 117: 3.145375991363096e-05
Position 200: 2.5211891698949393e-05
