Gene = Mypop
index = 729
Annotated 5SS: [ 110 1376]
Annotated 3SS: [ 586 9245]
SMsplice 5SS: [ 110  970 1376]
SMsplice 3SS: [ 812 1305 8287]
top_k =  500
Partition function (log Z): -5.800934254065087

Sorted 5' Splice Sites (High to Low Probability):
Position 110: 0.9941565671069931
Position 970: 0.6951618892570048
Position 1376: 0.6739210251939552
Position 3000: 0.41126452526574536
Position 8424: 0.2928548242545836
Position 1978: 0.27742583528490095
Position 1015: 0.26477593166736685
Position 4144: 0.23922952009858794
Position 9330: 0.23563858512890679
Position 8460: 0.20108288034007846
Position 6580: 0.12364174321418943
Position 1974: 0.10486929984723187
Position 2023: 0.060316326301305456
Position 10399: 0.051213314012373896
Position 1335: 0.040192118883389055
Position 7740: 0.035897441280750314
Position 2603: 0.035505286099103764
Position 1491: 0.02721241272971875
Position 5614: 0.01909837380819
Position 2855: 0.012347104780896427
Position 1429: 0.008902919991357273
Position 1655: 0.006777668495717457
Position 10036: 0.006483924444067058
Position 460: 0.006384443870725507
Position 4295: 0.0060848544117866445
Position 5620: 0.005760042263691927
Position 2941: 0.005720803913190696
Position 10118: 0.005476520711379227
Position 2125: 0.0051184111948015774
Position 1452: 0.0036732713989741763
Position 312: 0.001447764986986535
Position 6540: 0.0012104295116515582
Position 6690: 0.001185329587489093
Position 4553: 0.0010832689680059483
Position 2016: 0.0008656966375223023
Position 1982: 0.0008382788917107873
Position 1484: 0.0008275454584673825
Position 4054: 0.0006854629606715815
Position 1102: 0.0005389195995239944
Position 667: 0.0004813374027885018
Position 135: 0.00046709582533167285
Position 1531: 0.0004651923851133026
Position 1244: 0.000348797155606861
Position 501: 0.00034162885741252267
Position 496: 0.0003266598583843098
Position 114: 0.0002596075841352858
Position 590: 0.00024441164298434024
Position 640: 0.0002336611165133836
Position 38: 0.00014681856161778158
Position 603: 0.00011249251959011748
Position 190: 0.0001031828443577735
Position 432: 7.582849035079022e-05
Position 517: 6.789715935690204e-05
Position 415: 6.10897688157509e-05
Position 482: 4.4375435740028655e-05
Position 215: 3.470838015592468e-05
Position 148: 2.6478219131561234e-05
Position 669: 1.888816352038262e-05
Position 170: 1.6258814765814677e-05
Position 594: 1.4422533256878953e-05
Position 755: 9.046559770195875e-06
Position 847: 2.92398565410369e-06
Position 298: 2.7983392621431688e-06
Position 4024: 2.6217473339429487e-06
Position 537: 3.028993391733468e-07
Position 794: 6.617367258572329e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 812: 0.8299072623809005
Position 8287: 0.7865340487180138
Position 1305: 0.3780358739600481
Position 2782: 0.37548143634715386
Position 9245: 0.3292859633369073
Position 1897: 0.3286803104426516
Position 10481: 0.2905167841709295
Position 3894: 0.1938013805930011
Position 6455: 0.1445613855577236
Position 10248: 0.13494411020396266
