Gene = E130309D02Rik
index = 353
Annotated 5SS: [ 458 1183 3650 7745 8595]
Annotated 3SS: [  960  3483  7219  8554 13356]
SMsplice 5SS: [ 458 1183 3650 7745 9279]
SMsplice 3SS: [ 1067  3609  7665  9204 13356]
top_k =  500
Partition function (log Z): -1.3687720750091863

Sorted 5' Splice Sites (High to Low Probability):
Position 7745: 0.9784957840192635
Position 3650: 0.9714222930536358
Position 1183: 0.9570873618936967
Position 9279: 0.8827339583188748
Position 458: 0.631635452034511
Position 9586: 0.28546612961245704
Position 7377: 0.26061700368461005
Position 4097: 0.25027191255738807
Position 4103: 0.2108031929186114
Position 8499: 0.1980248396294782
Position 11502: 0.18121531322371573
Position 8595: 0.16825569254004621
Position 323: 0.15338496796039527
Position 145: 0.11603598852634558
Position 6155: 0.10478915374261742
Position 5424: 0.0904351440855273
Position 5536: 0.045181401165239256
Position 12380: 0.03958114629899113
Position 12665: 0.03444837435313934
Position 1265: 0.027319768376512628
Position 7566: 0.02693638598829024
Position 13197: 0.024432091164043226
Position 8518: 0.020893007514306092
Position 1885: 0.020346861676124994
Position 7525: 0.019177532052052075
Position 13527: 0.01916846082318871
Position 155: 0.01734255151236277
Position 2430: 0.01662836185453039
Position 1163: 0.012830454813760205
Position 12027: 0.01239415282098573
Position 415: 0.011989085926452245
Position 8138: 0.01189464920518012
Position 7447: 0.011140617635080716
Position 428: 0.011139056812793787
Position 486: 0.011027792594748086
Position 7988: 0.010094520057463498
Position 3967: 0.009138899639150894
Position 507: 0.008241661406999173
Position 9768: 0.007900954447170167
Position 32: 0.00723509185076705
Position 4182: 0.007198836922005717
Position 3401: 0.0066460155286449775
Position 3505: 0.006184140513374995
Position 854: 0.0056582883742800774
Position 10507: 0.005622707860104708
Position 5084: 0.005602414086511912
Position 1635: 0.005111081365150402
Position 12240: 0.00499701329528457
Position 614: 0.004958690957154747
Position 1602: 0.004523770825288173
Position 8232: 0.004348392077309084
Position 12327: 0.004271602984537664
Position 9097: 0.0039020837315870615
Position 947: 0.003279818911836099
Position 914: 0.003181278182415763
Position 656: 0.0031451397588979817
Position 896: 0.0029924164615327104
Position 5335: 0.0029596798123369492
Position 625: 0.002947518874265475
Position 617: 0.00251664086426122
Position 132: 0.0024025722210753043
Position 7999: 0.002380167016600176
Position 2338: 0.0023601189002444753
Position 8983: 0.0022548183600603292
Position 205: 0.0022461450362656447
Position 232: 0.002184053145683983
