Gene = A630095N17Rik
index = 79
Annotated 5SS: [ 116 8797]
Annotated 3SS: [ 8659 11516]
SMsplice 5SS: [ 116 8797]
SMsplice 3SS: [ 8659 11516]
top_k =  500
Partition function (log Z): -9.33000251375423

Sorted 5' Splice Sites (High to Low Probability):
Position 116: 0.9923027303591213
Position 8797: 0.36740242628506525
Position 8893: 0.35545171258143393
Position 6775: 0.1412568951781353
Position 9172: 0.13454438172767322
Position 6652: 0.11297190604380707
Position 824: 0.10801079253070167
Position 1662: 0.10450785878900516
Position 6656: 0.04963386162267429
Position 8468: 0.045609541811345064
Position 9437: 0.04325350928599758
Position 4080: 0.02728699460890174
Position 6238: 0.026680648097732886
Position 6924: 0.018273450827376924
Position 1212: 0.015270094296672141
Position 7381: 0.01438883576568989
Position 11168: 0.011617058808928736
Position 7552: 0.011278253861829558
Position 7929: 0.010947082657582109
Position 3860: 0.010807268531017235
Position 7345: 0.00961541633058375
Position 4253: 0.005605383009701666
Position 6800: 0.00553261274763559
Position 2386: 0.004751311688693358
Position 9466: 0.003066561055055756
Position 8765: 0.002343128131615204
Position 10788: 0.0022900730044781363
Position 8713: 0.0013714965179751812
Position 1451: 0.0012612368423808923
Position 7103: 0.0009480973696017201
Position 437: 0.0006085735407582378
Position 524: 0.00038184987154177513
Position 1326: 0.00037557471832096087
Position 497: 0.00031867897954817264
Position 74: 0.00019682559337513665
Position 1043: 0.00012829989890018003
Position 960: 9.615758564117083e-05
Position 998: 9.369442929277035e-05
Position 479: 7.66719747060222e-05
Position 1313: 5.490744195606849e-05
Position 360: 3.916088336174737e-05
Position 273: 2.3630253822016027e-05
Position 1273: 1.937591441268192e-05
Position 166: 1.8788468731558264e-05
Position 303: 1.86692956847782e-05
Position 1121: 1.3954635560663442e-05
Position 507: 1.2626196418039273e-05
Position 139: 1.2218426589963983e-05
Position 1196: 1.2157199902061976e-05
Position 101: 1.2029179395294272e-05
Position 141: 3.6223543574936505e-06
Position 3308: 2.8006375334743838e-06
Position 175: 2.2048839951134193e-06
Position 791: 7.073461036732773e-07
Position 198: 4.589790981896335e-07
Position 130: 3.813603787685571e-07
Position 908: 4.4252559695102005e-08
Position 769: 3.2594465757958215e-08
Position 195: 2.525035239602227e-09
Position 287: 1.9431335718835623e-09
Position 307: 1.6478884440205582e-09
Position 231: 8.345977837983725e-10
Position 368: 7.216311441805341e-10
Position 277: 3.151921927572165e-10
Position 3: 2.5259846069314034e-10
Position 305: 2.3648722193214616e-10
Position 234: 1.7180451628666323e-10
Position 377: 1.257166995531046e-10
Position 401: 8.190284594669006e-11
Position 456: 1.1797366566262793e-11
Position 371: 6.543661492446938e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 8659: 0.7193920618692975
Position 11516: 0.5315374332023253
Position 9055: 0.28606453998141773
Position 6465: 0.2588852691685702
Position 8579: 0.09814638455441804
Position 9336: 0.07066224895885252
Position 10897: 0.058334759278943674
Position 8371: 0.045609541811345064
Position 6531: 0.04280770591675138
Position 661: 0.041903959691045746
Position 6774: 0.030874975645797373
Position 11390: 0.03045964099367448
Position 613: 0.02903662801725314
Position 1580: 0.027117149358520068
Position 1506: 0.02602706341562616
Position 7252: 0.02482618475584507
Position 6163: 0.02336870803726532
Position 7380: 0.021780212937583126
Position 1420: 0.016943210071313525
Position 681: 0.01639709980372704
Position 1382: 0.014666534627308117
Position 3677: 0.01397718667411912
Position 1090: 0.013702274533240362
Position 10006: 0.01319027044041152
Position 10096: 0.012565281903080018
Position 10151: 0.012167402353589863
Position 9097: 0.012022364810482512
Position 1395: 0.011834052877551031
Position 3999: 0.010985947839686143
Position 7649: 0.010375315796287542
Position 10695: 0.009504242322604481
Position 6195: 0.00862647866819913
Position 9066: 0.007887191536000836
Position 699: 0.007752254658599423
Position 3568: 0.007241162529204788
Position 6581: 0.004893750181386478
Position 6415: 0.0048410111531047685
Position 3784: 0.004568031751433449
Position 6723: 0.0039445102870228985
Position 1563: 0.0036885752387196117
Position 10606: 0.0031597499317612713
Position 7593: 0.003061254357103306
Position 1062: 0.002918114214232026
Position 5995: 0.002752597268444188
Position 1441: 0.002693646735287293
