Gene = Jtb
index = 603
Annotated 5SS: [ 444  636  915 2406]
Annotated 3SS: [ 597  831 2325 3785]
SMsplice 5SS: [ 444  636  915 2406]
SMsplice 3SS: [ 597  831 2268 3785]
top_k =  500
Partition function (log Z): -3.111937662242641

Sorted 5' Splice Sites (High to Low Probability):
Position 915: 0.7330138095620726
Position 2406: 0.6977570443319856
Position 636: 0.6292929130073922
Position 444: 0.4501504388155275
Position 947: 0.24999621290464896
Position 150: 0.1576153235041441
Position 342: 0.13160150941698529
Position 718: 0.12969290812061618
Position 162: 0.033575011105175745
Position 614: 0.03237341069592259
Position 1983: 0.029633142182404933
Position 2740: 0.025210914234465857
Position 541: 0.018306604751340043
Position 2355: 0.012831494349283823
Position 3627: 0.012083621805629056
Position 328: 0.010891766513780323
Position 3588: 0.01071700238579087
Position 3100: 0.008199831623815575
Position 537: 0.008139620365451999
Position 1056: 0.006370938253214445
Position 3712: 0.004239115723085205
Position 71: 0.004007194500459356
Position 3916: 0.0025757012702020514
Position 640: 0.002048873906914093
Position 2761: 0.001984110580169221
Position 185: 0.0018092608452482024
Position 1758: 0.0017715658469738245
Position 919: 0.001744299317563307
Position 452: 0.0014801171238629839
Position 3732: 0.0013979753920059172
Position 3877: 0.0013783782905725512
Position 2431: 0.0012324265645209255
Position 420: 0.0011819400342802256
Position 448: 0.0010217514032676742
Position 692: 0.000982771580315812
Position 3956: 0.0008235799068178137
Position 3981: 0.0007074558910444543
Position 3933: 0.000579949619359467
Position 202: 0.0005774307805145633
Position 3964: 0.0005745626521850835
Position 659: 0.0005422215426391044
Position 2943: 0.0005196779804663377
Position 243: 0.00037360324905987805
Position 65: 0.0003059550216837069
Position 2861: 0.00028736042602632637
Position 383: 0.0002668342076463051
Position 78: 0.0002064080573458377
Position 530: 0.00019091920875422152
Position 683: 0.00015838941887326349
Position 674: 0.00012608686402538666
Position 492: 4.7412297446957655e-05
Position 876: 3.8061300375973627e-05
Position 19: 3.526799214809279e-05
Position 240: 2.881185954196036e-05
Position 271: 2.569432647653842e-05
Position 254: 2.419053565545689e-05
Position 410: 1.753464479001567e-05
Position 568: 1.1200035293732336e-05
Position 927: 1.002366274262406e-05
Position 745: 9.822558224369778e-06
Position 747: 8.149111521465827e-06
Position 1347: 6.438074399821255e-06
Position 550: 5.333797344172021e-06
Position 3345: 1.5293007200060114e-06
Position 8: 9.087250330680634e-07
Position 898: 6.9826852798063e-07
Position 571: 4.950229657030372e-07
Position 889: 2.3143891626479504e-07
Position 857: 1.6615588494156773e-07
Position 869: 1.5283877497099856e-07
Position 930: 1.4653349392767792e-07
Position 853: 1.1863491144529255e-07
Position 831: 9.189577033661646e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 831: 0.9923476850025632
Position 3785: 0.777776356834974
Position 597: 0.5405183375510415
Position 2268: 0.41885604149895517
Position 2325: 0.17265664308734677
Position 3544: 0.09517701394212967
Position 2353: 0.05555963274610499
Position 527: 0.03768349520720926
