Gene = Tipin
index = 1083
Annotated 5SS: [   50  6641  8180  8847 12530 12784 19646]
Annotated 3SS: [ 6510  8106  8770 12406 12719 19438 22703]
SMsplice 5SS: [  384  8847 12530 19646]
SMsplice 3SS: [ 8770 12406 19438 22703]
top_k =  500
Partition function (log Z): -11.246663900478985

Sorted 5' Splice Sites (High to Low Probability):
Position 8847: 0.9657064117244443
Position 12530: 0.7837822620494366
Position 19646: 0.6268449798163528
Position 1122: 0.47823377975805076
Position 384: 0.46149004379549274
Position 8180: 0.4184951947319085
Position 50: 0.3573472716112228
Position 16901: 0.3045955611058559
Position 9615: 0.3038188025162522
Position 12784: 0.23788932730345638
Position 6641: 0.14366973340544328
Position 45: 0.12941308140508215
Position 22241: 0.07922364518442836
Position 16527: 0.04426651638318768
Position 19133: 0.03920754983753383
Position 285: 0.03011005457260374
Position 12931: 0.028778039266424388
Position 14879: 0.02793531313898485
Position 19622: 0.02640632110883502
Position 15388: 0.021523448133874187
Position 4051: 0.016305249089818816
Position 8250: 0.01550744708394296
Position 16463: 0.014152489286285878
Position 6665: 0.013900238409752188
Position 6791: 0.013200669428718318
Position 2912: 0.01090720041562465
Position 2886: 0.009444763745220762
Position 780: 0.005936836961247443
Position 312: 0.005908067675876919
Position 399: 0.0050672813330520415
Position 15256: 0.00486101885421829
Position 490: 0.0031782301349531374
Position 181: 0.0028148060505168797
Position 65: 0.0027730111591122352
Position 323: 0.0018761342539686061
Position 742: 0.0009341639658623735
Position 388: 0.0009138873248888396
Position 332: 0.0006644362185418385
Position 2632: 0.00032337268073406313
Position 609: 0.0002294888955443438
Position 2644: 0.00017698636285755863
Position 128: 0.00015241390733010155
Position 2055: 0.0001482170698877479
Position 1668: 0.00010123030257294447
Position 620: 7.809340962257086e-05
Position 329: 6.977311156520756e-05
Position 84: 6.032305378558112e-05
Position 59: 4.047810004865501e-05
Position 868: 3.42025625029588e-05
Position 540: 2.757613961647795e-05
Position 507: 2.6774188714385107e-05
Position 425: 2.1982702466168666e-05
Position 598: 1.9144348494873562e-05
Position 578: 1.889042061262071e-05
Position 732: 3.1092875701703723e-06
Position 12: 1.510539069992906e-07
Position 39: 1.0945001968348454e-07
Position 95: 4.3510609681339224e-08
Position 14: 8.447574307630485e-09
Position 362: 6.57618910489835e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 8770: 0.8805542246824889
Position 19438: 0.8599134341256669
Position 12406: 0.7838924875090826
Position 22703: 0.5955871174158601
Position 1023: 0.3534621523999265
Position 8106: 0.35326725940278736
Position 16803: 0.30613334285147925
Position 12719: 0.240460972059264
Position 9482: 0.230171944316612
Position 22122: 0.14323769282036525
Position 1081: 0.09891992185996819
Position 8701: 0.08492030364067595
Position 6550: 0.07615990067742248
Position 6504: 0.07463013922087582
Position 18916: 0.06119108357435011
Position 16392: 0.05870436459443473
Position 22443: 0.053747219007387007
Position 9458: 0.04774500515876051
Position 8068: 0.045415758753835134
Position 7982: 0.03532516735512374
Position 15107: 0.028656193367839682
Position 14712: 0.02813892435119046
Position 961: 0.021696809918563126
Position 2734: 0.01980746559252274
Position 6510: 0.015433516258879815
Position 18854: 0.014507138149946343
Position 12641: 0.011260292360897272
Position 9216: 0.009944769681443035
Position 20917: 0.009603701808355533
Position 9402: 0.009469534085817275
Position 12664: 0.007335196513078812
Position 3930: 0.006804320381284035
Position 20229: 0.006642840767248497
Position 9367: 0.006578589554621933
Position 19741: 0.0061119310144749014
Position 12610: 0.0057802938603784305
Position 19780: 0.004860865971419511
Position 12645: 0.004859188128809042
Position 3938: 0.004773251285239009
Position 22240: 0.0043959477074144064
Position 375: 0.0035564167642014397
Position 18291: 0.0033409659949837052
Position 6384: 0.0032269790336223268
Position 3901: 0.0027506703617114093
Position 4010: 0.001977980703635668
Position 931: 0.0017755172006633775
Position 347: 0.0016985132961253903
Position 659: 0.0013736542948919119
Position 6448: 0.001321752198647278
Position 852: 0.0008924837412883432
Position 138: 0.0008304237923965654
Position 809: 0.0005776417558526532
Position 2797: 0.0005448454206265568
Position 238: 0.0005280112965703731
Position 779: 0.0003894343188873624
Position 963: 0.00034232164416015797
Position 8541: 0.00030082715142213913
Position 14947: 0.0002757396175422632
Position 145: 0.000267784066792375
Position 297: 0.00022361431683168056
Position 2519: 0.00021778870083094298
