Gene = Sprr2d
index = 1019
Annotated 5SS: [42]
Annotated 3SS: [1094]
SMsplice 5SS: [42]
SMsplice 3SS: [1094]
top_k =  500
Partition function (log Z): -5.291562709278087

Sorted 5' Splice Sites (High to Low Probability):
Position 42: 0.9906725147160811
Position 371: 0.0955367126674319
Position 367: 0.019073935329554745
Position 442: 0.010474937081432528
Position 1368: 0.009877048272292726
Position 600: 0.00969232096471262
Position 506: 0.009170379494562833
Position 244: 0.006772962546793276
Position 1206: 0.004217484960647325
Position 297: 0.002348205034722743
Position 1179: 0.001926811908952663
Position 1233: 0.0009128123362389917
Position 900: 0.000780790489799506
Position 1373: 0.0007743313808230412
Position 1609: 0.0005369444937652773
Position 1162: 0.0004914378198745012
Position 710: 0.0004623693175623692
Position 444: 0.0004034080200267262
Position 150: 0.00039309525364367544
Position 398: 0.0003268086435580167
Position 1422: 0.00026466780143568713
Position 1208: 0.00022381961411733405
Position 454: 0.0002089144606089672
Position 1600: 0.00013804324549306914
Position 489: 9.897703578369851e-05
Position 417: 8.199686634068405e-05
Position 9: 6.565734025363328e-05
Position 1350: 4.738656021319829e-05
Position 1193: 3.56680942946848e-05
Position 60: 3.29228843598277e-05
Position 1164: 2.9676159244247063e-05
Position 392: 2.2248389380000083e-05
Position 452: 2.2171697422035818e-05
Position 68: 2.1839410166818454e-05
Position 161: 3.2624107735884968e-06
Position 88: 2.765733261936553e-06
Position 46: 2.4108532834158416e-06
Position 259: 2.284020890513027e-06
Position 179: 2.1900871842484175e-06
Position 74: 1.910047763566845e-06
Position 93: 1.5482380926331952e-06
Position 198: 1.264270109095316e-06
Position 124: 1.2324118886102449e-06
Position 301: 1.0545806889287245e-06
Position 1220: 7.072254235848097e-07
Position 164: 6.403948077265502e-07
Position 205: 5.5086410213728e-07
Position 191: 4.1614117254526405e-07
Position 129: 2.98733644067862e-07
Position 48: 2.875880596991594e-07
Position 470: 2.372581086543879e-07
Position 433: 2.2031122763826383e-07
Position 96: 1.9787376850949725e-07
Position 115: 1.4356553011389313e-07
Position 117: 1.3756783430987336e-07
Position 621: 1.3132717134988724e-07
Position 77: 1.119408897550868e-07
Position 327: 1.0128617873065889e-07
Position 591: 8.341823908035392e-08
Position 271: 3.8114793896299974e-08
Position 519: 2.536049493366429e-08
Position 912: 1.6924504153317243e-08
Position 232: 1.6025935989555445e-08
Position 604: 1.2773726829293567e-08
Position 575: 1.203477734886855e-08
Position 725: 1.1672107589826696e-08
Position 273: 5.081039117128877e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 1094: 0.848569222750375
Position 284: 0.1002549006341452
Position 342: 0.059213396400159296
Position 409: 0.032050919668788015
Position 1524: 0.026544786697146272
Position 228: 0.02390719953730664
Position 1308: 0.013551861146284105
Position 1652: 0.012166642705583626
Position 1305: 0.007268948370314225
Position 1347: 0.005152097633026392
Position 1699: 0.004071993468776169
Position 461: 0.0034757737909251354
Position 129: 0.0028672491518107936
Position 1433: 0.0024321931290491273
Position 1344: 0.002397150562593569
Position 1128: 0.0022312191816201248
Position 441: 0.0018382630380379128
Position 1233: 0.0017936781097879645
Position 1125: 0.0017415272323772625
Position 1267: 0.0016898416100698517
Position 370: 0.0016840281620196258
Position 1206: 0.0014861275112813238
Position 1592: 0.0014383352242872103
Position 1472: 0.0013343253684623853
Position 1565: 0.0010928050184824659
Position 542: 0.0008041176994869869
Position 348: 0.0006937920555441366
Position 1010: 0.0005538902458533772
Position 1723: 0.00046854612025112955
Position 489: 0.00034497653641078454
Position 939: 0.0002696258182287058
Position 1543: 0.00023635793143518018
