Gene = Hyls1
index = 552
Annotated 5SS: [ 522 1944 6336]
Annotated 3SS: [1892 6220 8293]
SMsplice 5SS: [ 522 5798 6118 6336]
SMsplice 3SS: [5577 5996 6220 8293]
top_k =  500
Partition function (log Z): -6.148223092407028

Sorted 5' Splice Sites (High to Low Probability):
Position 6336: 0.922671631335517
Position 6118: 0.6721994429375779
Position 5798: 0.5880971846201792
Position 522: 0.4588845690923806
Position 353: 0.356827212715773
Position 397: 0.265409565490608
Position 5645: 0.2606929458983875
Position 95: 0.23262229496159847
Position 731: 0.1549583633751693
Position 636: 0.1134477237561306
Position 6616: 0.07937805474058289
Position 8613: 0.06450149449035926
Position 3994: 0.06059504517757576
Position 6133: 0.056139360849416155
Position 150: 0.05569609944604958
Position 9459: 0.05060707225198807
Position 3842: 0.044847201246301996
Position 594: 0.04322564349485849
Position 8425: 0.04227652877876663
Position 778: 0.04222774884850546
Position 1944: 0.031237227541918888
Position 8749: 0.029174212730393802
Position 9152: 0.02596298775138628
Position 5640: 0.02347720747657703
Position 4659: 0.017203609549927522
Position 233: 0.015976087198210618
Position 6482: 0.014649525966850936
Position 1021: 0.013208117142981915
Position 1541: 0.011650416978334176
Position 9360: 0.01140457035602066
Position 602: 0.011379355802151655
Position 8381: 0.009466585175487157
Position 6456: 0.007518690160852947
Position 9159: 0.006328374404470242
Position 8462: 0.005770633726002099
Position 6598: 0.0056371312780348175
Position 314: 0.004966150973110769
Position 7438: 0.003861680470219169
Position 9098: 0.002812564866033256
Position 5001: 0.0026478165062863686
Position 7269: 0.0023963551423944887
Position 7306: 0.0022170567403671537
Position 8476: 0.002179238160973453
Position 5666: 0.002124473047614292
Position 9157: 0.0019747081172595366
Position 8015: 0.0015114865973173996
Position 8487: 0.0010904003555207288
Position 6093: 0.0009753713397162694
Position 441: 0.0007982296729293647
Position 8674: 0.0007222764528927783
Position 289: 0.0006495157868042815
Position 420: 0.0006055526857055596
Position 319: 0.000564626561386418
Position 104: 0.000517268738820982
Position 308: 0.0003699504623548435
Position 9013: 0.00036248705036573354
Position 8692: 0.0003527632629271777
Position 333: 0.0003345531380113046
Position 607: 0.00022174060787193012
Position 173: 0.00018459301013554956
Position 251: 0.00014896936513601733
Position 688: 9.561810027146919e-05
Position 768: 8.291370595314181e-05
Position 184: 8.200128602327383e-05
Position 316: 6.936121008541752e-05
Position 195: 6.338622312722566e-05
Position 700: 6.227949035426345e-05
Position 7025: 5.978611973824389e-05
Position 507: 5.962978224199828e-05
Position 1219: 4.240363196916559e-05
Position 345: 2.9376624057311216e-05
Position 204: 2.6090990036959917e-05
Position 189: 2.4745873280189374e-05
Position 1339: 1.913391521184579e-05
Position 740: 1.7410165264379033e-05
Position 1778: 8.573918497773982e-06
Position 1795: 8.063807103701644e-06
Position 1168: 6.426603411755226e-06
Position 842: 6.15598785961185e-06
Position 39: 5.2848876099419365e-06
Position 490: 5.852218880560125e-09
Position 480: 5.013684491638124e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 6220: 0.9684304356255999
Position 506: 0.6283768487876579
