Gene = 2810459M11Rik
index = 41
Annotated 5SS: [ 710 2839]
Annotated 3SS: [2724 7086]
SMsplice 5SS: [ 710 2637 2839]
SMsplice 3SS: [2559 2724 7086]
top_k =  500
Partition function (log Z): -4.54673931917689

Sorted 5' Splice Sites (High to Low Probability):
Position 2839: 0.9975542271599526
Position 710: 0.8851411459507649
Position 2637: 0.7011815866834816
Position 7281: 0.6895045155498868
Position 2433: 0.1331108472230795
Position 2183: 0.1011808846192008
Position 2371: 0.0655704444361155
Position 598: 0.061088923591174356
Position 196: 0.0395663295314066
Position 483: 0.03728237844083795
Position 1817: 0.03713365949369109
Position 954: 0.03585213003906297
Position 5082: 0.03418916191913021
Position 527: 0.028563273320990592
Position 8512: 0.022129206733203347
Position 5690: 0.019817544579910803
Position 2641: 0.016848922227333904
Position 4872: 0.01299247946874398
Position 5179: 0.009546093027153518
Position 3488: 0.009385470716527018
Position 8105: 0.009372128083639424
Position 9289: 0.008112026851720362
Position 2293: 0.005906548382529683
Position 6708: 0.004896743812001932
Position 9280: 0.004692514848025572
Position 5437: 0.0045287630088370265
Position 2490: 0.004372923922379014
Position 6389: 0.004359156513814045
Position 6559: 0.0038445360354477844
Position 924: 0.0037489141932632486
Position 1501: 0.0037300087408422005
Position 469: 0.003683393548647413
Position 205: 0.003629107553617179
Position 799: 0.0034640555472217624
Position 2509: 0.0029337361954173413
Position 3775: 0.0028625486679057575
Position 5009: 0.0021202275324091143
Position 1295: 0.002119733197477234
Position 934: 0.002115091161356267
Position 1425: 0.0020812294251892766
Position 165: 0.0017708577698523948
Position 1212: 0.0015294593386900473
Position 502: 0.001357999002226062
Position 485: 0.0013230704962744705
Position 1405: 0.0013097502037125485
Position 610: 0.001296284581730435
Position 3883: 0.0012791427114234837
Position 950: 0.0010147964325173877
Position 7815: 0.0009528878175887427
Position 8543: 0.0008865429746705347
Position 3244: 0.0007826212205477088
Position 7005: 0.0007692675542147019
Position 727: 0.0006743641086722578
Position 4973: 0.0006061094856164966
Position 919: 0.0005972441496008079
Position 3749: 0.0005884298045594336
Position 2645: 0.0005287072660745363
Position 1100: 0.000515708977735783
Position 182: 0.0004866633275428595
