Gene = Spesp1
index = 1012
Annotated 5SS: [207]
Annotated 3SS: [8644]
SMsplice 5SS: [207]
SMsplice 3SS: [9262]
top_k =  500
Partition function (log Z): -9.577303371210569

Sorted 5' Splice Sites (High to Low Probability):
Position 207: 0.9484652188674414
Position 2808: 0.26834993242102095
Position 4723: 0.24920315049268774
Position 2366: 0.09023041170814604
Position 7597: 0.04132748329420786
Position 199: 0.03486404518506937
Position 8806: 0.03425115479709111
Position 2336: 0.031548856950025045
Position 776: 0.023628247709993437
Position 8790: 0.021360429948482678
Position 48: 0.017235009654225676
Position 634: 0.013582939197938423
Position 3699: 0.013464925634658724
Position 4746: 0.013351198424517347
Position 9516: 0.010859979778427255
Position 8823: 0.00905894252952379
Position 4541: 0.0075805354768330455
Position 83: 0.007050046199993032
Position 2202: 0.005200356361029112
Position 849: 0.0047574417099750434
Position 5068: 0.0043394540548731065
Position 1336: 0.004337188900714768
Position 3721: 0.004161404357053012
Position 381: 0.0018988673243335674
Position 2191: 0.001250642839039234
Position 2785: 0.0009263422006894284
Position 392: 0.0008721279706219592
Position 2813: 0.0007037936057600027
Position 2743: 0.0006700134092457571
Position 1746: 0.0005919213690388695
Position 583: 0.0005044747663587026
Position 477: 0.0005037020189226191
Position 1373: 0.0004946450143613314
Position 1273: 0.0004162067444380368
Position 3818: 0.00039710897257245624
Position 4153: 0.0002873247167932382
Position 226: 5.002289006417148e-05
Position 829: 3.134282906285059e-05
Position 164: 2.384239276965363e-05
Position 276: 1.8460745992351818e-05
Position 211: 1.834480667783904e-05
Position 235: 1.1731426987933023e-05
Position 223: 9.385003176044635e-06
Position 155: 8.969612357807733e-06
Position 216: 5.58293897388961e-06
Position 573: 3.422319532811509e-06
Position 40: 2.491888805232396e-06
Position 187: 1.4243904087399684e-06
Position 598: 9.033337960660385e-07
Position 237: 8.456426904266068e-07
Position 16: 7.85527088886279e-07
Position 158: 4.804991081609257e-07
Position 780: 4.4754820148510656e-07
Position 394: 4.0272239487432053e-07
Position 468: 2.7090167579934146e-07
Position 692: 2.469518698983709e-07
Position 96: 2.317392886247575e-07
Position 607: 2.261167392913971e-07
Position 471: 2.219936980584843e-07
Position 269: 2.1368355194313813e-07
Position 115: 2.050649417312144e-07
Position 744: 1.8740533498052232e-07
Position 785: 1.518113725610744e-07
Position 446: 1.3972724038164622e-07
Position 496: 1.3642288172735346e-07
Position 644: 1.352639820161358e-07
Position 172: 9.922153726589602e-08
Position 862: 6.082175243173612e-08
Position 751: 4.5142058959387705e-08
Position 854: 4.2959670798580574e-08
Position 128: 4.1123744286781046e-08
Position 348: 1.9846015816465142e-08
Position 109: 7.077438884720121e-09
Position 257: 4.520086967410316e-10
Position 289: 3.3962962810129133e-10
Position 278: 4.7591786288240847e-11
Position 280: 1.882537126987747e-12
Position 309: 2.2594479649115713e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 9262: 0.4609083199541013
Position 4485: 0.3374747444360601
Position 2657: 0.2610404275303164
Position 8703: 0.10092462825818829
Position 2133: 0.06285466536521818
Position 10588: 0.06257601135269047
Position 2194: 0.051809881449176885
Position 4594: 0.05050018031702511
Position 7547: 0.042905883701827074
Position 319: 0.03142437299283506
Position 7831: 0.031302930835199326
Position 510: 0.025952761921347316
Position 3525: 0.02368350594336667
Position 6928: 0.023623971794048113
Position 4791: 0.022646158166338064
Position 8644: 0.022301352954120984
Position 7294: 0.02212923148606136
Position 1165: 0.02212445447174257
Position 652: 0.019054304014603774
Position 2742: 0.014336830556789427
Position 8496: 0.011573316764189066
Position 3932: 0.011066854867302307
Position 7180: 0.010872778737677408
Position 6583: 0.008425293091010195
Position 1133: 0.008306795300435947
Position 2255: 0.008157950428521061
Position 4437: 0.007522320529055115
Position 4490: 0.007285618324792095
Position 6952: 0.00667038499498033
Position 151: 0.006004407791822001
Position 6354: 0.005557397643708507
Position 7744: 0.0054334319127863125
Position 10105: 0.005422903378800923
Position 9538: 0.005055171309191841
Position 9602: 0.004131646121137322
Position 9490: 0.00410241136108561
Position 2311: 0.003286580698871124
Position 8991: 0.0032840247285956074
Position 2444: 0.0030149510319441935
Position 6021: 0.002624499987618893
Position 2600: 0.0023547821807867807
Position 5127: 0.0022389634671067743
Position 3234: 0.002169878111169742
Position 4256: 0.002062050043925368
Position 5945: 0.002007429012442072
Position 1953: 0.0019893764710320638
Position 2695: 0.0019685473333657176
Position 2059: 0.0018330097743598814
Position 364: 0.001802786262889955
Position 2676: 0.0017034403517781724
Position 3899: 0.0015846213503656749
Position 515: 0.0015446621050578494
Position 2162: 0.0014429139539827176
Position 4618: 0.0013241750478753575
Position 7734: 0.001255348496340124
Position 1551: 0.0012356946999695084
Position 128: 0.0012095476556424018
Position 4413: 0.001077554374128082
Position 1039: 0.0010356295351773813
Position 663: 0.0009917961359775132
Position 2400: 0.0009743225420048478
Position 4302: 0.0009720650602396729
Position 1265: 0.0007505581720324709
Position 406: 0.0007293006595140169
Position 1194: 0.00067854076507334
Position 1607: 0.0006242829222947362
Position 4803: 0.0006066530160323281
Position 289: 0.0005985084080091986
Position 2613: 0.000594884193957767
Position 1232: 0.0005842392177160671
Position 164: 0.0005772302044161695
Position 2496: 0.0005322476202675038
Position 1210: 0.0005111908037350354
Position 5504: 0.0004835861284944513
Position 6117: 0.00048176766329077563
Position 380: 0.00047549812711102074
Position 1690: 0.0004737570376717687
Position 5425: 0.0004723951268244393
Position 3144: 0.0004671772176726395
Position 468: 0.00043399695914447686
Position 5391: 0.0004316467175121905
Position 5095: 0.0004028852875867418
Position 5811: 0.0003937026443264054
Position 1745: 0.0003657258772429388
Position 583: 0.00032184361560960365
Position 2475: 0.0002986232617380463
Position 2864: 0.000284115146843891
Position 4114: 0.0002785617079946923
Position 3610: 0.0002686927257448329
Position 2919: 0.00026822666934190226
Position 4048: 0.00020134260749452782
Position 3858: 0.00018447890065894756
Position 607: 0.00018038768388136477
Position 1057: 0.0001682945472966278
Position 619: 0.00016617444468231956
Position 1102: 0.0001507572876837569
Position 551: 0.00015003268663736012
Position 3973: 0.00014053425420466306
Position 1485: 0.00013758625300622904
Position 1706: 0.00012364699288707439
Position 1522: 0.00012217494973910652
Position 1596: 0.00010974101655894602
Position 1214: 0.00010088120975919825
Position 2416: 8.658577201663416e-05
Position 1887: 5.752810494555139e-05
Position 425: 5.174267748844428e-05
Position 391: 5.078249721569097e-05
Position 692: 4.146453465329e-05
Position 2328: 3.869115668785559e-05
Position 1304: 3.002816938397201e-05
Position 671: 2.8172383008120615e-05
Position 668: 2.497264948201161e-05
Position 588: 2.1234930461779247e-05
Position 630: 3.6187827909908337e-06
Position 105: 1.3466668528823851e-06
Position 558: 8.216514233304137e-07
Position 633: 4.776833115815396e-07
Position 761: 4.647158724090184e-07
Position 697: 4.247490129412477e-07
Position 82: 3.757556758202025e-07
Position 847: 2.9794326046521014e-07
Position 2555: 7.57362504144261e-08
Position 234: 6.97285473234718e-08
Position 336: 4.8186330846505826e-08
Position 276: 2.9640697513727944e-08
Position 90: 1.8070025819295282e-08
Position 207: 1.8527760405501936e-09
Position 211: 5.703470770468674e-14
