Gene = Glce
index = 435
Annotated 5SS: [  126 34182 52596 54226]
Annotated 3SS: [34090 51996 53979 61574]
SMsplice 5SS: [  126  1095 34182 52596 54226]
SMsplice 3SS: [  969 34090 52479 53979 61574]
top_k =  500
Partition function (log Z): -41.38518137584875

Sorted 5' Splice Sites (High to Low Probability):
Position 126: 0.889443726917874
Position 1095: 0.6611262023760891
Position 3330: 0.2104153999308409
Position 1075: 0.18869742320003344
Position 4463: 0.09203203775704287
Position 1070: 0.039659456641530866
Position 601: 0.03281927283605261
Position 5948: 0.02541250413673958
Position 4991: 0.023346078174672068
Position 1763: 0.021738705940813823
Position 231: 0.021603843826792177
Position 8874: 0.018626261422203375
Position 6721: 0.01838859918745505
Position 216: 0.016296598400091667
Position 1443: 0.013446699250283784
Position 282: 0.010386440566547866
Position 498: 0.007852730571145513
Position 170: 0.007107036160564424
Position 828: 0.005298612830603867
Position 5590: 0.005211323647765159
Position 1348: 0.005011742753090123
Position 1231: 0.004976025484470816
Position 682: 0.004868684297468728
Position 1131: 0.004540812304116583
Position 2645: 0.0036174180832201286
Position 5838: 0.00350399098967606
Position 534: 0.003189882636464528
Position 1050: 0.0030111215166042176
Position 3889: 0.002881526998041471
Position 545: 0.0023320215142492036
Position 478: 0.0019827657822066554
Position 1081: 0.0017537599267117502
Position 605: 0.001598764956209567
Position 4479: 0.0015368586126786035
Position 688: 0.0014723279922685404
Position 1187: 0.0013329376866602026
Position 611: 0.0012912318237314345
Position 838: 0.0012791633743601527
Position 2662: 0.0012748996392505016
Position 2657: 0.000981259221725182
Position 556: 0.0007629919445306566
Position 4010: 0.0006899285904960012
Position 209: 0.0006614426532872308
Position 607: 0.00046819421406100304
Position 1106: 0.0004608141244243018
Position 849: 0.00042218820435254963
Position 251: 0.00038894355472632357
Position 138: 0.00037097790947499584
Position 1756: 0.00036479500853984326
Position 1433: 0.00031037659130816396
Position 4469: 0.00026178058419801394
Position 729: 0.0002584091773129987
Position 3062: 0.00024239564148272145
Position 2347: 0.00024071788647194494
Position 356: 0.0002402920524741983
Position 411: 0.0002303120090008563
Position 626: 0.00016771726026062924
Position 431: 0.00013435086533775508
Position 107: 0.00012456533096543305
Position 777: 8.148617112837128e-05
Position 79: 7.827135903623868e-05
Position 882: 7.571899990708589e-05
Position 301: 7.560737661962612e-05
Position 573: 6.127989436701812e-05
Position 372: 6.118944758694524e-05
Position 648: 6.003595367634901e-05
Position 60: 5.592888285091464e-05
Position 519: 4.799575075674362e-05
Position 308: 4.515743701906772e-05
Position 759: 4.3531647661998455e-05
Position 286: 3.941505110667472e-05
Position 1215: 3.8208752882729844e-05
Position 143: 3.651631561968635e-05
Position 789: 3.1926839738762676e-05
Position 656: 2.7946285317186598e-05
Position 742: 2.1284521782949494e-05
Position 330: 1.915670119273314e-05
Position 513: 1.6970301190658455e-05
Position 58: 1.6929224923656564e-05
Position 317: 1.629235828459207e-05
Position 276: 1.399782721331533e-05
Position 335: 1.3115039326872898e-05
Position 575: 1.0660019632087947e-05
Position 692: 1.0419483557299428e-05
Position 146: 9.708494714214567e-06
Position 337: 9.4956861958648e-06
Position 406: 9.11682392786902e-06
Position 698: 9.030107831281801e-06
Position 441: 8.662629170295237e-06
Position 767: 4.6305964344246e-06
Position 1265: 3.592884325319099e-06
Position 1261: 3.5005367728676783e-06
Position 1053: 3.1622877292043853e-06
Position 993: 1.5040208281110933e-06
Position 1546: 1.4591864313925728e-06
Position 1460: 5.466603197937887e-07
Position 1501: 5.071167490116076e-07
Position 991: 3.036669706017296e-07
Position 141: 3.043709601448007e-09
Position 163: 2.5912374056197164e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 969: 0.9566794619827325
Position 9749: 0.3369809880594243
Position 3161: 0.224591630023328
Position 5931: 0.07932788926764167
Position 4411: 0.07771538523860937
Position 5712: 0.061289686254407116
Position 6129: 0.05642727111129046
Position 4826: 0.05296715050352028
Position 6641: 0.04773987991828677
Position 12906: 0.03656486679635059
Position 10055: 0.03511002338423213
Position 3969: 0.032925745581933036
Position 8773: 0.030369084729138296
Position 6620: 0.029828799637322993
Position 1658: 0.028945425211366876
Position 7941: 0.027148853981186414
Position 4378: 0.02656512737577628
Position 11268: 0.02325002302641576
Position 9848: 0.018211586491843443
Position 5312: 0.017889810449193095
Position 1954: 0.012004732037665892
Position 5280: 0.01065692096622099
Position 10224: 0.009409179649264951
Position 2474: 0.008999313622142822
Position 4117: 0.00868314068750905
Position 949: 0.008272458801756538
Position 1382: 0.007905691640855424
Position 10112: 0.006877917780247432
Position 2090: 0.006627904689650682
Position 1130: 0.005173070247480809
Position 3471: 0.005036903815039319
Position 3823: 0.004004675498553517
Position 1276: 0.003981995604369776
Position 5114: 0.0039465110709680255
Position 1214: 0.003325531140485822
Position 3585: 0.0029756387978594643
Position 774: 0.002730373367101392
Position 7847: 0.002563898722320351
Position 411: 0.0023898869867589167
Position 3043: 0.0023473628463986443
Position 3275: 0.002235893244247828
Position 544: 0.002213930379339925
Position 6231: 0.0021732202886646235
Position 3730: 0.002159565315462955
Position 3933: 0.0019795188404839598
Position 315: 0.0019265243072467192
Position 672: 0.0018247244789364341
Position 7220: 0.001789185784722887
Position 2400: 0.0016906807133968112
Position 7562: 0.0016676402489897955
Position 4438: 0.0014888475353507472
Position 1281: 0.0013666755669363498
Position 2456: 0.0013161174267525878
Position 3124: 0.00129067959167025
Position 6551: 0.001268440680350847
Position 3386: 0.0011940130315328172
Position 5472: 0.001117477852011046
Position 1620: 0.0011125086998738714
Position 3617: 0.001061351668352976
Position 3759: 0.0010277085645326962
Position 1525: 0.0009772849611783567
Position 3426: 0.0009294793131849705
Position 1186: 0.0008103949692332869
Position 4002: 0.0007901842380166093
Position 589: 0.000748754694457707
Position 1662: 0.0007428671725652979
Position 4568: 0.0007297383204486136
Position 1294: 0.0006883533197158504
Position 4536: 0.0006374324953939399
Position 431: 0.000615123867194165
Position 3591: 0.000606491039495511
Position 4081: 0.0006023359167983856
Position 1605: 0.0005761483983920347
Position 5146: 0.0005717225503265895
Position 1789: 0.0005608909519613521
Position 2006: 0.0005384240418670148
Position 1762: 0.0005348203984216095
Position 724: 0.0005229538760649804
Position 2932: 0.0004278810906178158
Position 1632: 0.0003841922217400215
Position 2183: 0.0003515159919537225
Position 4676: 0.00033646076621376514
Position 3356: 0.0003203911706684089
Position 1505: 0.00031069724904612966
Position 506: 0.00030960641424042454
Position 674: 0.00029513640774224935
Position 4648: 0.000284173266919009
Position 1338: 0.00028040771968802883
Position 1432: 0.000268448012845962
Position 3971: 0.0002470077129149961
Position 4091: 0.00024147147697263228
Position 348: 0.00023517140181518405
Position 1247: 0.00022415187072192847
Position 2149: 0.0001941466900793797
Position 350: 0.0001824620784126361
Position 795: 0.0001718182189602873
Position 3312: 0.0001677913129730134
Position 387: 0.00014192126460135722
Position 2805: 0.00013823144609121315
Position 503: 0.00013466088218095715
Position 2067: 0.00012728557378730975
Position 2109: 0.00011222053102791521
Position 756: 0.00011066910132381535
Position 3084: 8.749737725253351e-05
Position 3130: 8.626828822068982e-05
Position 1329: 7.976075717037487e-05
Position 367: 7.507055913226737e-05
Position 525: 6.510449911764098e-05
Position 1854: 6.291699020804386e-05
Position 2027: 6.26279484626338e-05
Position 2539: 3.0377400186606595e-05
Position 509: 1.8697774488040728e-05
Position 1356: 1.7444487987583648e-05
Position 727: 1.700173611055487e-05
Position 436: 1.6392129745377258e-05
Position 517: 1.1495783736003295e-05
Position 416: 8.763075748845048e-06
Position 297: 8.282734729365774e-06
Position 326: 7.723779328509817e-06
Position 871: 6.731193658436389e-06
Position 1252: 5.85355213589431e-06
Position 475: 5.456535699466289e-06
Position 448: 5.173102953656196e-06
Position 1002: 2.718626930087553e-06
Position 913: 1.5485189775302388e-06
Position 1226: 4.0422279976501416e-07
Position 882: 2.431621338391778e-07
Position 1022: 8.179593844973917e-08
Position 1340: 4.824362421471713e-08
Position 1020: 4.5294753611444617e-08
Position 783: 2.492275152669214e-08
Position 1017: 1.7623572825650036e-08
Position 1027: 1.694192449091994e-08
Position 1190: 2.7353683168338675e-10
