Gene = Trmt13
index = 1143
Annotated 5SS: [  829 19949 22124 22395 24358 24854 25097 26116 28833 29392 32094]
Annotated 3SS: [18993 22076 22327 24294 24783 24989 25947 28759 29316 31663 32976]
SMsplice 5SS: [  557 11267 25097 32094]
SMsplice 3SS: [11131 24989 31862 32976]
top_k =  500
Partition function (log Z): -17.76408872883285

Sorted 5' Splice Sites (High to Low Probability):
Position 11267: 0.9970057548509834
Position 557: 0.9498401062482579
Position 12886: 0.4841574235720668
Position 829: 0.47198504511131784
Position 4335: 0.4692331371253855
Position 13715: 0.29488996331604234
Position 19265: 0.16514865720096522
Position 127: 0.15716036923972024
Position 7218: 0.14585874466735277
Position 21961: 0.08832529815489112
Position 834: 0.08067711315344296
Position 13235: 0.0645323935979588
Position 210: 0.0644330642120658
Position 4714: 0.05746070706482763
Position 48: 0.03132394186725425
Position 13657: 0.03009738293623527
Position 43: 0.02849246209989168
Position 229: 0.02564863741399261
Position 270: 0.022222742180859657
Position 154: 0.019909023327609986
Position 12417: 0.01985933408325939
Position 844: 0.01669253825459058
Position 3061: 0.01608562929837639
Position 12188: 0.01538146427827161
Position 2976: 0.012685744352344179
Position 2554: 0.012127266808389808
Position 3018: 0.008128280091533576
Position 3705: 0.0059183133422106415
Position 4406: 0.0016830841313295623
Position 166: 0.001513157644523936
Position 11223: 0.001383876849382287
Position 535: 0.0013446271467901436
Position 367: 0.00067043454942308
Position 151: 0.000663669422231596
Position 101: 0.0005316091040887629
Position 302: 0.00048442477544784093
Position 3934: 0.0003983758120040762
Position 2313: 0.00039592483607952335
Position 143: 0.00024831028926128654
Position 108: 0.00021478846693573467
Position 73: 0.00018980494024635128
Position 381: 0.0001796493903887348
Position 105: 0.0001780540305703782
Position 55: 0.00016040148865344568
Position 530: 0.00013960286560541158
Position 99: 0.0001285298955857605
Position 87: 0.00010482904753393663
Position 11245: 9.151028216271008e-05
Position 439: 6.649404105536635e-05
Position 600: 6.452450498788658e-05
Position 306: 4.605295355140227e-05
Position 695: 3.811505385853007e-05
Position 20: 2.971318197347836e-05
Position 607: 2.71586983416892e-05
Position 18: 2.035782606160476e-05
Position 317: 1.0829678244405388e-05
Position 618: 8.666730351867019e-06
Position 169: 6.767251425835493e-06
Position 393: 5.954166643244038e-06
Position 355: 5.816398602246943e-06
Position 720: 1.9229908294341037e-06
Position 333: 1.2793313474598524e-06
Position 2488: 1.7251897092252182e-09
Position 398: 1.6352840895801842e-17

Sorted 3' Splice Sites (High to Low Probability):
Position 11131: 0.9987903708141149
Position 18993: 0.6827069953796711
Position 690: 0.4783698246533493
Position 4226: 0.4131846261838072
Position 21835: 0.3426711144593168
Position 367: 0.32913482839206093
Position 13515: 0.24615780707587892
Position 12751: 0.186046804454029
Position 7148: 0.14588429969660452
Position 13593: 0.08555075348566377
Position 12814: 0.0802822390180835
Position 12802: 0.07661872155208305
Position 20021: 0.06193705019845481
Position 22076: 0.059876184905984633
Position 13070: 0.05582038368468716
Position 12518: 0.0444385488601454
Position 4605: 0.03979234822140709
Position 11966: 0.036122865984210974
Position 4210: 0.03494871154791576
Position 636: 0.03324514624833148
Position 12632: 0.0321378220258557
Position 22327: 0.02844911324890638
Position 12629: 0.020862386155749053
Position 12824: 0.01909930553388578
Position 12604: 0.017407493280493538
Position 2961: 0.01603235674108933
Position 12187: 0.015659866812005287
Position 4627: 0.015356897478478695
Position 17123: 0.014383413517586829
Position 4184: 0.01429119436272953
Position 695: 0.013627923460491343
Position 2426: 0.010561993466771434
Position 2792: 0.00953936493242091
Position 12490: 0.007530010238463718
Position 794: 0.00704248430767929
Position 4194: 0.006704398217000225
Position 13041: 0.006277613049082597
Position 3608: 0.006212919590161009
Position 13791: 0.006071809114489696
Position 12835: 0.005989023710585875
Position 13022: 0.005576814944573652
Position 12555: 0.00404507195855844
Position 2916: 0.003838802925753166
Position 328: 0.003557680117175547
Position 3003: 0.0033444153796975693
Position 11774: 0.0030226225787178323
Position 12264: 0.0028591621521090026
Position 2619: 0.002789630860345505
Position 14115: 0.0027639580513600433
Position 11981: 0.002637255426797158
Position 12285: 0.002569151367440183
Position 4660: 0.0023350526147326825
Position 4290: 0.001830617776855104
Position 14517: 0.001565753111283185
Position 692: 0.0013067847356424715
Position 384: 0.0011672104838185012
Position 714: 0.0011277636225066547
Position 11355: 0.0009470501979721763
Position 712: 0.0008925921253124167
Position 13225: 0.0008794946069998591
Position 603: 0.0008508684400926478
Position 434: 0.0008260737906659619
Position 12015: 0.000785579170695535
Position 2799: 0.0007303543869189007
Position 13027: 0.0006604921337047149
Position 708: 0.0006604467075135253
Position 2473: 0.0006599200494396818
Position 503: 0.0005697508478780038
Position 2353: 0.0005342225658244017
Position 717: 0.0005028591884781272
Position 797: 0.0004775759182580695
Position 12241: 0.00042473364960258933
Position 811: 0.00040302670390584443
Position 2194: 0.00039243637763110967
Position 11428: 0.0003804810606263781
Position 2408: 0.0003730415837038791
Position 9329: 0.0003285189820181098
Position 2751: 0.0003220569204360535
Position 472: 0.00031926233813715484
Position 2839: 0.0003123689242184997
Position 11917: 0.00018142479828256458
Position 3851: 0.0001784984475328925
Position 371: 0.00016997981307304464
Position 182: 0.00014756047901267225
Position 475: 0.00014595937210825103
Position 390: 0.00013896874595075684
Position 705: 0.00012963522465584483
Position 11537: 9.743251670696931e-05
Position 462: 8.170854317364683e-05
Position 403: 7.119054094391357e-05
Position 453: 6.535457849852802e-05
Position 800: 5.8136574421333674e-05
Position 423: 5.6401992164406884e-05
Position 420: 5.378595281081291e-05
Position 627: 5.251061007503696e-05
Position 413: 4.8798593828260656e-05
Position 302: 4.770251812448587e-05
Position 519: 3.0252610720838885e-05
Position 393: 2.8030174345662403e-05
Position 8012: 2.4498139367021082e-05
Position 4118: 2.1124966379433056e-05
Position 7694: 2.053650385918585e-05
Position 442: 1.3137279335243719e-05
Position 241: 1.1397414031976294e-05
Position 458: 9.944832736520512e-06
Position 479: 5.797659830887906e-06
Position 507: 5.008013070353128e-06
Position 151: 4.302573776633674e-06
Position 2511: 3.5050739272703205e-06
Position 6229: 2.798494186493746e-06
Position 3209: 2.744799613478624e-06
Position 148: 2.6646532772638634e-06
Position 2219: 2.466375927983382e-06
Position 530: 2.2383045097626244e-06
Position 214: 2.0664194465515826e-06
Position 220: 2.051367511171663e-06
Position 251: 1.7041697552448342e-06
Position 1112: 1.4697378936332221e-06
Position 405: 1.1590597991055257e-06
Position 439: 1.1280013083237285e-06
Position 1964: 1.0217492469660055e-06
Position 127: 8.843466071992099e-07
Position 229: 6.178518238325765e-07
Position 431: 6.09370605203818e-07
Position 137: 5.074873636036662e-07
Position 259: 4.393789822031114e-07
Position 1298: 3.954637952875298e-07
Position 154: 2.978019060632882e-07
Position 823: 2.2420459563526092e-07
Position 732: 2.0255114698447905e-07
Position 184: 1.8211954612663803e-07
Position 720: 1.7883190500342614e-07
Position 864: 1.5022652618433971e-07
Position 131: 6.198965409785993e-08
Position 572: 2.163962137890721e-08
Position 2589: 1.500197559898477e-08
Position 535: 2.1687562735353207e-09
Position 2126: 3.3327346442576316e-10
Position 825: 3.9180831058397415e-11
Position 727: 3.1180818758161925e-11
Position 828: 1.366345169521517e-14
