Gene = Bard1
index = 168
Annotated 5SS: [  479 13676 15038 28604 36039 37668 49534 55507 56469 71788]
Annotated 3SS: [13618 14894 27665 35957 37494 49424 55373 56375 71689 72293]
SMsplice 5SS: [  479 15038 32367 37668 49534 55507 56469 70300]
SMsplice 3SS: [14923 32267 37494 49424 55373 56375 70073 72293]
top_k =  500
Partition function (log Z): -48.922724751797645

Sorted 5' Splice Sites (High to Low Probability):
Position 479: 0.9420655056805814
Position 4503: 0.36050573593751056
Position 658: 0.21408241873157727
Position 297: 0.14439681000555465
Position 5989: 0.11815605306491139
Position 4452: 0.06429446069631305
Position 3175: 0.04856833725927318
Position 285: 0.025153634146420547
Position 6006: 0.023308602623406637
Position 1465: 0.011950171509161764
Position 1840: 0.009205068155638785
Position 5697: 0.005950460960652302
Position 6139: 0.005715036212157795
Position 3220: 0.005631965310350227
Position 3380: 0.005437720648464711
Position 2948: 0.00440094070078356
Position 758: 0.004385429147823598
Position 4550: 0.004258872581688559
Position 23: 0.0035926108314792977
Position 3184: 0.0031572680902971005
Position 77: 0.002946346310929474
Position 1369: 0.001910006645683318
Position 3366: 0.001598089688252221
Position 2426: 0.0011037930750003142
Position 960: 0.0008185616732868885
Position 2472: 0.0006318248883921832
Position 360: 0.0005148501417275966
Position 4601: 0.0004581611575513737
Position 1946: 0.0003952726188840598
Position 640: 0.00034267434587655733
Position 194: 0.0003303660957746438
Position 834: 0.0002996273691422516
Position 243: 0.0001863774183085899
Position 101: 0.00014277260756152477
Position 333: 6.7497612996447e-05
Position 179: 6.412032465073784e-05
Position 68: 1.5577515279075525e-05
Position 5693: 1.539256070967391e-05
Position 210: 1.5375298138388676e-05
Position 644: 1.1138075150938194e-05
Position 737: 7.33368839403798e-06
Position 708: 6.9396029398251416e-06
Position 220: 6.544252537621144e-06
Position 519: 3.888021167661865e-06
Position 695: 3.2863664436861974e-06
Position 732: 2.429105839399025e-06
Position 827: 1.8490366645638038e-06
