Gene = Ostc
index = 785
Annotated 5SS: [ 208 3495 6129]
Annotated 3SS: [ 3400  5930 12965]
SMsplice 5SS: [ 208 3495 6129]
SMsplice 3SS: [ 3400  5930 13343]
top_k =  500
Partition function (log Z): -8.051845748822315

Sorted 5' Splice Sites (High to Low Probability):
Position 3495: 0.9738724499813763
Position 6129: 0.9717714431315831
Position 208: 0.7176415825736469
Position 5770: 0.12316520278035055
Position 177: 0.08863573772807565
Position 183: 0.07203483605278545
Position 7208: 0.047885178096920424
Position 231: 0.03976371778296778
Position 7896: 0.02722519024028721
Position 167: 0.023193093104377935
Position 8337: 0.020898551613037147
Position 10134: 0.01950869216214401
Position 8777: 0.01923455008074955
Position 12310: 0.01833140168049049
Position 5805: 0.01470485787301187
Position 1612: 0.014348883498870733
Position 778: 0.014053772647998404
Position 5638: 0.013844006552873302
Position 7586: 0.013018537527224724
Position 2663: 0.011679235165778639
Position 165: 0.010972022287474561
Position 4901: 0.00944487586183869
Position 284: 0.009244535472633913
Position 24: 0.006604440090740175
Position 11269: 0.006103776968453177
Position 11467: 0.005871754868267024
Position 3581: 0.005860471539570467
Position 12273: 0.005812280308642494
Position 6314: 0.005285506238460486
Position 10524: 0.005173395643304442
Position 837: 0.004859820432037168
Position 451: 0.004760139083146285
Position 2323: 0.004509239355467523
Position 5440: 0.004460419895636907
Position 8740: 0.004228401745529271
Position 1688: 0.0040887008707786885
Position 12118: 0.004053230613324322
Position 11713: 0.003997661935810123
Position 628: 0.0038076376975598298
Position 4040: 0.003365639782565887
Position 141: 0.0032541141878940543
Position 8435: 0.0029392399368928708
Position 4296: 0.0027798052690193205
Position 4589: 0.002729753608024052
Position 3537: 0.002714793522403835
Position 4907: 0.0026277431790433224
Position 12247: 0.0025769061264592527
Position 8271: 0.0023897367406726976
Position 5326: 0.002244765650852787
Position 11729: 0.002223583132689519
Position 5388: 0.0020112755557990204
Position 4645: 0.001801029568464321
Position 3999: 0.0016961118537832493
Position 489: 0.0015454260478133777
Position 1887: 0.0013830100050699734
Position 662: 0.0013754572460381506
Position 3522: 0.0013166801393494044
Position 5799: 0.0013061255228651097
Position 315: 0.000870836350457302
Position 3826: 0.0008474819521608169
Position 369: 0.0007991244521206256
Position 5786: 0.0007470192215334999
Position 226: 0.0007244370466753789
Position 869: 0.0007104595237596216
Position 3785: 0.0006873884379758887
Position 535: 0.0006830775123148142
Position 152: 0.0005975699580849101
Position 4291: 0.0004600363795242198
Position 1125: 0.00044657021887252425
Position 219: 0.000431447077976648
Position 939: 0.0004173033143576026
Position 5560: 0.0003873786306358084
Position 1801: 0.0003843405968483528
Position 4278: 0.00034228384984063816
Position 3629: 0.00032723474413142367
Position 80: 0.0003244517850409708
Position 1731: 0.0002786396134470462
Position 3861: 0.00024716063543051714
Position 1002: 0.00023138062910442355
Position 2455: 0.00022631055765711663
Position 7243: 0.00021476172712655103
Position 909: 0.0001976733659632781
Position 378: 0.00018496735955670084
Position 1712: 0.00018141191152139444
Position 1452: 0.00018106503054689092
Position 87: 0.00018072867937246996
Position 2949: 0.00017028735981724905
Position 1796: 0.00014750664534083952
Position 1908: 0.00011557072859167948
Position 6549: 0.00011405443729538202
Position 7941: 3.267900233046433e-05
Position 13: 5.87930593341407e-06
Position 6048: 4.8394099394709075e-06
Position 6133: 4.409396605011505e-06
Position 6089: 2.320839858805951e-06
Position 455: 9.016749736658234e-07
Position 180: 7.779529088105754e-07
Position 442: 6.609327850412687e-07
Position 263: 4.682104924263812e-07
Position 412: 3.6290672698528074e-07
Position 99: 3.3600072758688746e-07
Position 466: 3.016710034195279e-07
Position 394: 2.373673866419187e-07
Position 464: 1.410725138317197e-07
Position 364: 1.3274832787453805e-07
Position 381: 1.2008033152925293e-07
Position 660: 6.724122968041493e-08
Position 611: 4.4127239717123685e-08
Position 11: 3.51816373436681e-08
Position 351: 1.5302841461778253e-08
Position 401: 4.296755934574753e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 3400: 0.9801574290966187
Position 5930: 0.8495205897134859
Position 13343: 0.5220010761561616
Position 6047: 0.07542908722462632
Position 12117: 0.06478643037982697
Position 5603: 0.05698309200888991
Position 12965: 0.055621073047252466
Position 8125: 0.052625233677534
Position 5667: 0.044140743983495705
Position 7734: 0.040467275503218374
Position 5995: 0.03945840463612354
Position 7057: 0.03081804274048518
Position 6280: 0.02808798873828236
Position 10010: 0.025294707679560803
Position 6430: 0.024975217726962158
Position 11897: 0.023186444478913194
