Gene = Brat1
index = 185
Annotated 5SS: [   65  1086  5282  6643  7867  8162  9374  9675  9936 10202 11784 12017
 12309]
Annotated 3SS: [  941  5126  6494  7493  8041  9281  9555  9748 10127 11680 11917 12132
 12890]
SMsplice 5SS: [   65  1086  5282  6643  7891  8162  9374  9675  9936 10202 11784 12017]
SMsplice 3SS: [  941  5126  6494  7522  8041  9281  9555  9775 10127 11680 11917 12132]
top_k =  500
Partition function (log Z): 16.361985403703198

Sorted 5' Splice Sites (High to Low Probability):
Position 1086: 0.9991113977384144
Position 11784: 0.9692611220749793
Position 9936: 0.9665599149290119
Position 12017: 0.9603997337946034
Position 9374: 0.9090647720938057
Position 5282: 0.8531662936888996
Position 9675: 0.8308956752572151
Position 6643: 0.7287374370751225
Position 8162: 0.6595179414793024
Position 10202: 0.6047603664680521
Position 65: 0.5696084762058671
Position 218: 0.4499618401134616
Position 7891: 0.43517876590560334
Position 7596: 0.3636636366852093
Position 10408: 0.36360445536559666
Position 10609: 0.35316394965705133
Position 12309: 0.30247839297259027
Position 2070: 0.25256629308118306
Position 7867: 0.1860478153054938
Position 12326: 0.1511707407363109
Position 10207: 0.13133400560590672
Position 9685: 0.13095464475144092
Position 2448: 0.12330398956689187
Position 441: 0.11320172494384352
Position 8243: 0.11049676464540648
Position 5201: 0.07737394306884439
Position 8276: 0.07263505865896583
Position 2271: 0.06649627135329919
Position 5000: 0.058402582035234046
Position 8260: 0.052612175513457364
Position 7703: 0.04685173905261144
Position 3928: 0.04589787561255725
Position 1903: 0.04351127550707144
Position 8293: 0.036602086950264956
Position 5660: 0.03450639190201064
Position 1898: 0.031685057916159505
Position 10151: 0.03125769268379264
Position 2377: 0.03076059231664041
Position 10435: 0.030615928113798672
Position 13019: 0.029039828017507926
Position 11965: 0.027295867642379665
Position 404: 0.02421718120484783
Position 8228: 0.024175089326520613
Position 13068: 0.023689631355570746
Position 13044: 0.023369886081151165
Position 776: 0.018520885779599806
Position 3243: 0.01785479419083188
Position 10011: 0.015559902275491408
Position 5830: 0.015514530970732281
Position 3945: 0.014975310745631678
Position 8310: 0.007756054352991154
Position 8327: 0.007323413016009305
Position 7568: 0.0062936301464204
Position 6589: 0.005410147404910486
Position 103: 0.00535499653421896
Position 6966: 0.005248901632085791
Position 12610: 0.005015347414535505
Position 1745: 0.004828677058399442
Position 3192: 0.004575111744922534
Position 449: 0.0043348210564193215
Position 4353: 0.00428753785061268
Position 9417: 0.004177584266503468
Position 501: 0.003979555127464774
Position 7537: 0.0027336871620322403
Position 2334: 0.0026229209273194577
Position 10077: 0.0020351364060696773
Position 3218: 0.001965748186131188
Position 1611: 0.0017060062067592093
Position 1336: 0.0016517933199895244
Position 7667: 0.0016411831545122496
Position 2279: 0.0016250117221250574
Position 2259: 0.001555443572671454
Position 13548: 0.0015355220458742327
Position 7609: 0.0014889662946382769
Position 5624: 0.0014511936193226241
Position 11808: 0.0013704887673946808
Position 7044: 0.0012831689319779175
Position 850: 0.00127755249655717
Position 12042: 0.0011756234374549028
Position 637: 0.0011257504712415167
Position 10215: 0.0011136381650890224
Position 7658: 0.0011059037180847458
Position 9335: 0.0010140316831921403
Position 6924: 0.0009182312409611678
Position 876: 0.0009135435450767891
Position 9881: 0.0006388515243611483
Position 456: 0.0005629090174052558
Position 7642: 0.0005593859496906926
Position 9679: 0.000533926284917885
Position 7541: 0.0005296121319990314
Position 2077: 0.0004572094695120104
Position 844: 0.0003797483728758277
Position 6088: 0.0003603725566842757
Position 9885: 0.0003361964095641671
Position 10088: 0.000306613956974197
Position 546: 0.00030346488474361966
Position 9887: 0.00030201320318628053
Position 1434: 0.0002930460532212663
Position 133: 0.0002817937890138384
Position 11815: 0.0002781711899046411
Position 2096: 0.0002493370466575733
Position 9776: 0.0002168312096554107
Position 10189: 0.00020298978806156218
Position 9873: 0.00018577350653617276
Position 7766: 0.000171978805418984
Position 855: 0.00016761805858161858
Position 6898: 0.00015666069452097424
Position 233: 0.00015094336826315815
Position 417: 0.00014609057253695142
Position 1468: 0.00014293099933937093
Position 9861: 0.0001365988439884949
Position 95: 0.00013604972503184466
Position 239: 0.00010116591832494819
Position 75: 8.61963188562264e-05
Position 12231: 7.930520147018977e-05
Position 9940: 6.994078279875542e-05
Position 815: 6.624493668467615e-05
Position 1652: 6.259883307662571e-05
Position 897: 6.120285907636617e-05
Position 1922: 5.937075148964087e-05
Position 393: 5.8108903911276666e-05
Position 838: 5.100869577069952e-05
Position 1119: 4.465295208719356e-05
Position 1340: 4.452870798116745e-05
Position 12038: 4.3955210873216914e-05
Position 53: 4.2445060736858696e-05
Position 9922: 3.890340467315843e-05
Position 10094: 3.7276271377518514e-05
Position 1723: 3.6787827705247954e-05
Position 2116: 3.401250346808276e-05
Position 1926: 3.340095054281076e-05
Position 487: 3.261428359391105e-05
Position 631: 3.108802236845702e-05
Position 2044: 3.10305384710489e-05
Position 1345: 2.6425513904564284e-05
Position 904: 2.4216378195717097e-05
Position 284: 2.3208805720394126e-05
Position 9855: 2.1627281578518946e-05
Position 378: 2.1501863933211242e-05
Position 9963: 2.0968915286670653e-05
Position 1301: 2.0404884458625977e-05
Position 317: 1.5555451757074145e-05
Position 5721: 1.5126479622068209e-05
Position 2124: 1.3823063522677e-05
Position 2021: 1.2620386591912082e-05
Position 2035: 1.2355524321552551e-05
Position 1438: 1.1831807606531294e-05
Position 2026: 1.1657477537873936e-05
Position 888: 1.0744890746786309e-05
Position 591: 1.0068055935521745e-05
Position 1073: 9.604572753410537e-06
Position 1063: 8.450615615639446e-06
Position 900: 8.19042130513154e-06
Position 683: 8.09913629738529e-06
Position 1323: 6.379839061991728e-06
Position 1732: 4.2443333108163095e-06
Position 1401: 4.156018367469961e-06
Position 1838: 1.8089759055441754e-06
Position 1865: 1.4695520133859239e-06
Position 1418: 1.2662485083483777e-06
Position 182: 6.324057224007008e-07
Position 1185: 5.976725611511532e-07
Position 1432: 3.968676607626175e-07
Position 9953: 3.803853438319607e-07
Position 1877: 3.313384080950744e-08
Position 1109: 1.8387863072048263e-08
Position 1025: 1.7457631954070742e-08
Position 302: 1.4459831906560488e-08
Position 320: 1.2456055455078623e-09
Position 349: 3.501775173073583e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 5126: 0.9193930082914284
Position 9555: 0.9100658382011673
Position 8041: 0.8871311469572152
Position 9775: 0.8487051403090358
Position 11680: 0.7844887413935685
Position 941: 0.7577650939373787
Position 11917: 0.7266565546166599
Position 9281: 0.7085223183508293
Position 10127: 0.7056880974632754
Position 7522: 0.6924964497815574
Position 10338: 0.6416109716239498
Position 12132: 0.4586132327192107
Position 6494: 0.44367913962495503
Position 12191: 0.26538045764686097
Position 6497: 0.26536968798491845
Position 7702: 0.25164613693443044
Position 1010: 0.23703847130253974
Position 2198: 0.21428866881668315
Position 9288: 0.20067132321456257
Position 1826: 0.1974029754638913
Position 11937: 0.187451049778955
Position 13149: 0.16298843441986832
Position 11665: 0.1401617697038441
Position 330: 0.12128300719770756
Position 12890: 0.11528120942273859
Position 9748: 0.11214377786811314
Position 1880: 0.09603736262635114
Position 12137: 0.09095992946936023
Position 8064: 0.08398743698570207
Position 13040: 0.07804180326003371
Position 7493: 0.07798368091104818
Position 10502: 0.06152007013963576
Position 3879: 0.055027507777752394
Position 4852: 0.05257854438402836
Position 12933: 0.051380823751611286
Position 10047: 0.050145748465821434
Position 11866: 0.046856139768822566
Position 13629: 0.04523601902397241
Position 13199: 0.04341715767757773
Position 11701: 0.037608837310931634
Position 5537: 0.03611735810407105
Position 136: 0.03570463351852815
Position 10010: 0.03446216543513656
Position 13112: 0.0336354881840149
Position 13884: 0.03317189916766164
Position 12749: 0.0312564346262177
Position 1932: 0.029338174069643556
Position 12949: 0.02726389544431523
Position 9463: 0.025563031380722554
Position 14106: 0.024605734044466015
Position 12168: 0.023235599670766997
Position 12436: 0.01839839926698253
Position 9827: 0.01821422513175873
Position 3078: 0.016914561521899088
Position 9614: 0.014596779634672083
Position 6531: 0.01398024519691711
Position 11919: 0.012501437559215354
Position 11560: 0.01055489497311865
Position 10493: 0.009964308922044274
Position 11888: 0.009912196542954804
Position 5581: 0.009706538694615175
Position 604: 0.008993846200373863
Position 7857: 0.008795230169195497
Position 10171: 0.00870470873784426
Position 292: 0.008397151012048305
Position 9641: 0.007998394903481655
Position 6829: 0.007606962499545852
Position 2360: 0.007383991386248805
Position 12171: 0.007191112410645022
Position 7711: 0.006599712115243532
Position 5814: 0.006023013766217802
Position 1502: 0.005352514461069106
Position 7763: 0.0051667984223397485
Position 4892: 0.0051441140714807675
Position 13532: 0.0051380241498884946
Position 6354: 0.004962850929705734
Position 3123: 0.004863780309130971
Position 14164: 0.004818287290714865
Position 5128: 0.00410309598891684
Position 14169: 0.004057112871662909
Position 182: 0.003897505083551424
Position 3755: 0.0038241034149348826
Position 718: 0.0038038861910381773
Position 12778: 0.0035706080828559364
Position 9324: 0.0032062132955559272
Position 11875: 0.003154965426759344
Position 5149: 0.0029577940188323906
Position 636: 0.0029435633413260726
Position 5252: 0.002941767695885382
Position 7595: 0.002877842493878551
Position 6394: 0.0028517521960374627
Position 2123: 0.0028287443405833677
Position 968: 0.002735786657712352
Position 170: 0.002675097461731796
Position 6549: 0.0025273880447885
Position 11940: 0.002510406164713648
Position 9754: 0.002459569067915951
Position 10507: 0.002007163544741823
Position 9159: 0.0018963132758019316
Position 4286: 0.0018132314127887945
Position 9791: 0.0017550017787141459
Position 403: 0.0017266086332630532
Position 1744: 0.0016882222342206779
Position 1652: 0.0016679634028288982
Position 1247: 0.0015950080612711422
Position 13626: 0.0014685349024744466
Position 978: 0.0014546378689635532
Position 10556: 0.0014490369708882326
Position 496: 0.001442025477185062
Position 3852: 0.0013862743582576192
Position 3141: 0.001314412503625146
Position 690: 0.0012435802699358957
Position 9618: 0.001206035486348296
Position 9042: 0.0012056679387285303
Position 1841: 0.0011494417713467642
Position 4856: 0.0011365904975183508
Position 4138: 0.0010909614036046695
Position 4191: 0.0010581675720351936
Position 1517: 0.0010480865085722418
Position 10291: 0.0010128961208493105
Position 12788: 0.0010051439737805861
Position 12201: 0.0009828975560137155
Position 13044: 0.0009789357584239148
Position 2376: 0.0009286156629480834
Position 9406: 0.00078402860419019
Position 2153: 0.0007180891095553829
Position 7651: 0.0007004534840219876
Position 3083: 0.0006882354303334926
