Gene = Sclt1
index = 952
Annotated 5SS: [   520   8347  11654  12224  15422  24786  31432  33046  39129  60233
  60819  67187  71130  75404  78563  80943  85311  95070 110862 112997]
Annotated 3SS: [  8278  11594  12150  15365  24649  31308  32979  39057  60141  60726
  67008  71030  75331  78487  80796  85117  94872 110782 112900 115279]
SMsplice 5SS: [   296    520   8347  12224  24786  31432  33046  42009  60233  60819
  62300  67187  71130  75404  78638  80636  80943  85311  86184  95070
 100287 109753 110862 112997]
SMsplice 3SS: [   372   8278  12150  24711  31308  32979  41868  60141  60726  62217
  67008  71030  75331  78487  80456  80796  85207  86107  94872 100163
 109552 110782 112900 115279]
top_k =  500
Partition function (log Z): -43.50540890102091

Sorted 5' Splice Sites (High to Low Probability):
Position 15422: 0.9999999803140988
Position 24786: 0.9999999582806829
Position 33046: 0.9921676514997864
Position 12224: 0.9872948245357009
Position 31432: 0.9839316521872488
Position 296: 0.973728381093171
Position 8347: 0.9677668184338094
Position 520: 0.853150460561231
Position 42009: 0.8517223785020045
Position 14731: 0.5899478391682393
Position 39129: 0.5574156650902066
Position 5304: 0.5150691318268659
Position 37801: 0.31206775687614097
Position 3625: 0.30041166449499473
Position 43380: 0.2825484960272861
Position 15035: 0.2749326081977019
Position 10542: 0.25957716084404414
Position 7796: 0.254577616598667
Position 5060: 0.15338197895075037
Position 36068: 0.11304111637301642
Position 42932: 0.10254182913119234
Position 9527: 0.09726180658168355
Position 28355: 0.08177151462965461
Position 43431: 0.07284840323663429
Position 27575: 0.07091185123058386
Position 25307: 0.06772771158730764
Position 27549: 0.06611166861007797
Position 561: 0.05454991319442291
Position 42641: 0.05230796846150235
Position 36207: 0.04351410034561438
Position 6575: 0.034067389880258814
Position 44487: 0.03303223007244106
Position 33833: 0.03141249118149381
Position 38302: 0.03114075171899409
Position 849: 0.023214258655408892
Position 6162: 0.02223661652929709
Position 11654: 0.020028572103707544
Position 43728: 0.020024910596048946
Position 6367: 0.01737098524612806
Position 2032: 0.01735180638618183
Position 1894: 0.017222754355247165
Position 43332: 0.017186137535391378
Position 43376: 0.016068860640734782
Position 556: 0.013952772764635673
Position 38325: 0.012619731624543348
Position 2617: 0.009700469725606394
Position 8824: 0.009583935574505816
