Gene = Sgf29
index = 973
Annotated 5SS: [  169 11840 14696 15680 21386 22359 22572 22765 23010]
Annotated 3SS: [11742 14619 15606 21320 22228 22424 22728 22846 23260]
SMsplice 5SS: [  169  6844 11840 14696 15680 21386 22359]
SMsplice 3SS: [ 6747 11742 14619 15606 21320 22228 22728]
top_k =  500
Partition function (log Z): 1.1812051262157266

Sorted 5' Splice Sites (High to Low Probability):
Position 6844: 0.9416433704539838
Position 15680: 0.936778950875557
Position 14696: 0.9231996309967383
Position 11840: 0.9212640357959139
Position 169: 0.7832234753314106
Position 23010: 0.6887236459498195
Position 22359: 0.6389253333603804
Position 9995: 0.5638991588947457
Position 22765: 0.5292583812394209
Position 21386: 0.5119399150703233
Position 22572: 0.4719799173281696
Position 13343: 0.2983509981713037
Position 13576: 0.2523023202105136
Position 22777: 0.21926687518892657
Position 8048: 0.1712548118178017
Position 18297: 0.12839785054685726
Position 403: 0.10253883235079969
Position 11232: 0.09605470836203653
Position 21427: 0.0854513817216999
Position 194: 0.08467315143575298
Position 23341: 0.0845706821992916
Position 17740: 0.07518455873027101
Position 11860: 0.07376104396067683
Position 14726: 0.06270569651876125
Position 8863: 0.05976540705523155
Position 13666: 0.05653683307955166
Position 13571: 0.05195128997700357
Position 13582: 0.04630378730453979
Position 17686: 0.04369110478109318
Position 13030: 0.035833293128772724
Position 3966: 0.03329786242163003
Position 10938: 0.024437863327789022
Position 14467: 0.020292512048584222
Position 1815: 0.01772677946442799
Position 14273: 0.016989703914623344
Position 22352: 0.01629362957464111
Position 13633: 0.01609177783299808
Position 9664: 0.012728604257769768
Position 91: 0.012522765675837193
Position 173: 0.012399537452110868
Position 2983: 0.01236960111980547
Position 8539: 0.012349554173209962
Position 9724: 0.01214096753332037
Position 1866: 0.010516650787733929
Position 4546: 0.009985587001558908
Position 14339: 0.008235477286460447
Position 23177: 0.008130638561139953
Position 23387: 0.008036627525057414
Position 358: 0.007176511688903011
Position 5922: 0.006757336490642722
Position 14700: 0.006460257930012122
Position 1760: 0.006114537572383258
Position 22729: 0.005948117428135251
Position 13876: 0.005888509223088442
Position 76: 0.005779501269369621
Position 15084: 0.005633196027808109
Position 4891: 0.005543576280826683
Position 6405: 0.004997158181136303
Position 2297: 0.004654075439309587
Position 13744: 0.004418702227260238
Position 2554: 0.004418569549234724
Position 1951: 0.004054728113553968
Position 16088: 0.0036780606250948404
Position 15173: 0.002697870604900616
Position 4647: 0.0025850227883636384
Position 13919: 0.0022977662201940905
Position 1525: 0.002136353100005711
Position 537: 0.002133417456373044
Position 826: 0.002119024816238274
Position 4876: 0.002069981159188458
Position 15091: 0.002066604038380945
Position 2603: 0.002005273585109565
Position 147: 0.001964477650649152
Position 2607: 0.0019184256926054152
Position 3186: 0.0016519628889120383
Position 22736: 0.0016427497429760034
Position 2435: 0.0015230697580463377
Position 5293: 0.0014874519995089434
Position 18700: 0.001199407765153
Position 17732: 0.0011140448203856795
Position 15351: 0.0009314301106281424
Position 16494: 0.0008555825737168164
Position 17882: 0.0007571870358367228
Position 16483: 0.0007168187551827911
Position 18199: 0.0006570259228863823
Position 13133: 0.000639735374757417
Position 16458: 0.0006351770116450953
Position 14041: 0.0005178839105277363
Position 23030: 0.00045449912272957084
Position 15075: 0.00044928151731280874
Position 12433: 0.0004142621707788642
Position 13004: 0.0003650024299474009
Position 14785: 0.0002961475451101534
Position 7004: 0.0002844340155862851
Position 37: 3.892094276233045e-05
Position 335: 3.4618355919563874e-05
Position 601: 2.931287809825254e-05
Position 133: 1.7340034253665297e-05
Position 101: 9.303615368325436e-06
Position 7406: 7.38720278999252e-06
Position 44: 3.6920328085629216e-06
Position 15698: 3.212072805733498e-06
Position 39: 2.2131620928869604e-06
Position 472: 1.3026572105324786e-06
Position 152: 1.2749388539231773e-06
Position 555: 1.0103530462270754e-06
Position 18665: 7.203713638792182e-07
Position 162: 4.1526953711357764e-07
Position 261: 3.30092672836185e-07
Position 456: 2.5163074083391793e-07
Position 41: 2.367876958550586e-07
Position 118: 1.5959301240803272e-07
Position 407: 7.885865157639067e-08
Position 382: 6.986493412799978e-08
Position 613: 4.6588399071981884e-08
Position 307: 3.863595912718116e-08
Position 228: 1.6552908049743098e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 14619: 0.992380981437242
Position 6747: 0.9384779734751473
Position 15606: 0.9069629895726108
Position 11742: 0.9068898339412561
Position 22728: 0.8475167496150838
Position 22228: 0.6767732660506964
Position 22846: 0.6417183679370895
Position 21320: 0.597391296792023
Position 22424: 0.34730320294732414
Position 9826: 0.26194480154069394
