Gene = Otos
index = 786
Annotated 5SS: [  91 3158 3508 3660]
Annotated 3SS: [2964 3414 3632 4323]
SMsplice 5SS: [  91  357 3158 3508 3713]
SMsplice 3SS: [ 190 3078 3414 3632 4323]
top_k =  500
Partition function (log Z): 2.0228716182075774

Sorted 5' Splice Sites (High to Low Probability):
Position 91: 0.9356713996473496
Position 3508: 0.845915359441084
Position 3158: 0.733582678075919
Position 1738: 0.5358271787853794
Position 357: 0.5037584658508001
Position 3713: 0.4740568743609771
Position 3697: 0.3288475549939171
Position 737: 0.2957070748533848
Position 4158: 0.1857133110478458
Position 3660: 0.17443054465839408
Position 3444: 0.07655119723681375
Position 3055: 0.06844156423234686
Position 1532: 0.06662805534816481
Position 4146: 0.05871579068403298
Position 2609: 0.04959685215562286
Position 384: 0.032605995357525085
Position 2114: 0.025126906872765423
Position 2166: 0.02109477666091271
Position 480: 0.007491554318801329
Position 352: 0.007336298891615637
Position 348: 0.007156634492112034
Position 2136: 0.0035596741823651795
Position 3771: 0.003012826733290999
Position 3860: 0.002624638694353116
Position 3173: 0.0017407869918066323
Position 462: 0.001617084195277072
Position 4206: 0.001472018586971228
Position 3717: 0.0013402812683638487
Position 2342: 0.0012638168259879352
Position 447: 0.0008666984519996538
Position 47: 0.0008042060970161576
Position 4165: 0.0006193455142505098
Position 1141: 0.0005698994304943244
Position 3986: 0.0005380814383702698
Position 1537: 0.00039018838648198647
Position 84: 0.0002630539548388837
Position 523: 0.00022734021248491882
Position 3962: 0.0002217367487412883
Position 103: 0.00018214924154352798
Position 539: 0.0001661798895768355
Position 3415: 0.0001494085942858753
Position 318: 0.00013129940059286306
Position 2002: 0.00010163592299227632
Position 1559: 8.85613362320217e-05
Position 3933: 8.475763393480236e-05
Position 119: 4.811690816232357e-05
Position 3761: 4.0968050803691825e-05
Position 1362: 3.72958216544226e-05
Position 132: 3.717125784452444e-05
Position 98: 2.980183565735152e-05
Position 1039: 2.7622282783681556e-05
Position 1681: 2.3854218058736767e-05
Position 1762: 1.803367105924584e-05
Position 1116: 1.5723825303860966e-05
Position 909: 1.3005008032445787e-05
Position 1667: 7.673344309084222e-06
Position 367: 4.86841794064415e-06
Position 187: 3.558501642011892e-06
Position 220: 2.9092979152625645e-06
Position 156: 2.7778322205594063e-06
Position 593: 2.5817994491028925e-06
Position 8: 1.1647825942207273e-06
Position 134: 9.90692920848416e-07
Position 222: 9.868437393678357e-07
Position 5: 3.8330507969159573e-07
Position 168: 3.6942956048283587e-07
Position 13: 3.517124448875586e-07
Position 236: 3.364081323812518e-07
Position 138: 2.5312833195972887e-08
Position 136: 1.6471633388425545e-08
Position 1907: 1.5635760752738253e-08
Position 830: 8.922903733483731e-09
Position 1604: 8.892799882986594e-09
Position 294: 8.154347760264086e-09
Position 924: 7.708824221382642e-09
Position 1504: 7.702269704933418e-09
Position 289: 6.5579981534809325e-09
Position 291: 3.3748611048121766e-09
Position 505: 1.4244179200504623e-09
Position 670: 1.3412360653732156e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 4323: 0.984387802887976
Position 3414: 0.9035532162710552
Position 3632: 0.8980278742832769
Position 190: 0.5341281747370863
Position 3078: 0.356753056784459
Position 2964: 0.2640742561536147
Position 1415: 0.2626044907997054
Position 2976: 0.16061299889138617
Position 1589: 0.14626117384847534
Position 4007: 0.11367767335340573
Position 4082: 0.1031077149814062
Position 3583: 0.08236891537178165
Position 633: 0.07148995961827963
Position 602: 0.050007838628406784
Position 1677: 0.04990986633695625
Position 1962: 0.04870245689602399
Position 505: 0.043291243989257766
Position 528: 0.038969700582458085
Position 1658: 0.03593186698777134
Position 1351: 0.03173623528404541
Position 1495: 0.018722962004300795
Position 1361: 0.018519160353141287
Position 2513: 0.014321104655752747
Position 1471: 0.01337178122918646
Position 2495: 0.01307786061920907
Position 2492: 0.012899712835555842
Position 2992: 0.012464841065740546
Position 3942: 0.010654253054576191
Position 3253: 0.009036901062314244
Position 3050: 0.008896515072460927
Position 1680: 0.007661053301441317
Position 3982: 0.007624182378235199
Position 1375: 0.006945858232450466
Position 4145: 0.006305978407204936
Position 329: 0.006171648529768736
Position 614: 0.006055966000233445
Position 3914: 0.005952854552998243
Position 638: 0.005503057632381674
Position 722: 0.005011563615645966
Position 3360: 0.004932024709478889
Position 548: 0.004839358457679743
Position 230: 0.0047826082130729055
Position 394: 0.004777520477192702
Position 2346: 0.0046511195272866115
Position 1620: 0.00442815225257579
Position 3606: 0.00407279333434418
Position 3194: 0.003934394748043832
Position 3279: 0.0031743014084019143
Position 1499: 0.0030951575586366663
Position 193: 0.0029219513209605124
Position 2559: 0.0025379157311867227
Position 2245: 0.0025174233411523737
Position 1450: 0.002328325609297232
Position 645: 0.002237295343748344
Position 268: 0.0021316627280458535
Position 432: 0.0018953858561497894
Position 284: 0.0017664887536295297
Position 3376: 0.0017422241804508725
Position 535: 0.001654973457401818
Position 3797: 0.0016056702856404614
Position 3925: 0.0015780702194282405
Position 439: 0.0015108774053919334
Position 214: 0.0014059088534413506
Position 680: 0.0011584805648750644
Position 196: 0.001145933773450659
Position 2030: 0.0011431759199821846
Position 2937: 0.001065404837170117
Position 3635: 0.0008888172775779208
Position 3562: 0.0008732996862939564
Position 635: 0.0008694899555583286
Position 4403: 0.0007920148330417692
Position 4223: 0.0007607669564814776
Position 4499: 0.0007056987916891123
Position 3507: 0.0006535130100304861
Position 1447: 0.0006529193660124705
Position 3864: 0.0005751372075206442
Position 2250: 0.000551822159237056
Position 4424: 0.00047981681047203127
Position 2700: 0.00041924820272038
Position 3804: 0.0003310660861778866
Position 3945: 0.0003090814039352452
Position 4205: 0.0003070876859895668
Position 572: 0.00029760282751952323
