Gene = Catspere1
index = 201
Annotated 5SS: [   187  11317  16962  17780  20314  34437  41877  49106  51900  63882
  71765  73181  78210  99347 128221 129250 129398 134524 139890 143490
 151444]
Annotated 3SS: [ 11267  16887  17709  20248  34411  41798  48998  51406  63400  71309
  73121  78133  99293 128169 129215 129317 134423 139802 143331 151389
 153648]
SMsplice 5SS: [   187   3128  17780  37391  41877  44022  73181  78210  79153  99347
 126056 129326 134524 139890 141396 142609 143490 143801 149871]
SMsplice 3SS: [  3018  17709  37312  41798  43791  73121  78042  79042  99293 125966
 129215 134423 139802 141285 142491 143331 143638 149734 153110]
top_k =  500
Partition function (log Z): -94.94457006999016

Sorted 5' Splice Sites (High to Low Probability):
Position 3128: 0.5592084632828874
Position 187: 0.46681664389388416
Position 822: 0.23812043852620335
Position 818: 0.23350051385716225
Position 134: 0.09005759691033594
Position 10653: 0.08482329991190606
Position 9827: 0.04541491067726115
Position 2008: 0.028584325419629516
Position 2839: 0.02798599616244011
Position 1840: 0.027310085665647986
Position 3096: 0.0228701192595548
Position 6122: 0.02180419572136835
Position 3019: 0.015625399710656972
Position 3214: 0.01381033894734515
Position 3231: 0.012986247366409487
Position 8539: 0.009560666262314306
Position 707: 0.008871533338325938
Position 2316: 0.007743257052206669
Position 121: 0.007424103046505284
Position 8546: 0.00694065576258293
Position 5306: 0.006149365094758276
Position 6222: 0.004983955561535772
Position 3139: 0.0044927099440470325
Position 6484: 0.004334335011471702
Position 1562: 0.004333755767924759
Position 2059: 0.003922399179407218
Position 10683: 0.003773855553156012
Position 2905: 0.0036133043632605795
Position 3101: 0.003376317384846006
Position 1003: 0.0025101402003289254
Position 460: 0.002350761750962949
Position 3558: 0.002226528388492151
Position 842: 0.002002166146177515
Position 1968: 0.001949483184719656
Position 2862: 0.0018938119499450775
Position 7672: 0.001846343119706292
Position 464: 0.0016541981849901954
Position 468: 0.0015957476769502732
Position 94: 0.001582830003783516
Position 472: 0.0015468309399170115
Position 91: 0.001370765374924609
Position 3194: 0.0013281187168040494
Position 5952: 0.0012142837165157686
Position 2994: 0.0011634110015164088
