Gene = Lad1
index = 616
Annotated 5SS: [  419  7295  9449 10222 11135 12375 12623 13014 13351]
Annotated 3SS: [ 7156  8565 10116 11090 12301 12484 12926 13275 13713]
SMsplice 5SS: [  419  7295  8684 10222 12375 12623 13014 13351]
SMsplice 3SS: [ 7156  8565 10116 12301 12484 12926 13177 13713]
top_k =  500
Partition function (log Z): 13.336158255149716

Sorted 5' Splice Sites (High to Low Probability):
Position 10222: 0.98627389151392
Position 12375: 0.9681752831243922
Position 7295: 0.9456508126258051
Position 13351: 0.945510984637291
Position 419: 0.9063354113105794
Position 12623: 0.8770349920744718
Position 13014: 0.7070160032191984
Position 8684: 0.6959757811588274
Position 13946: 0.3770327360456992
Position 11135: 0.37632099667132546
Position 5734: 0.2616744053773111
Position 13045: 0.2424835753120047
Position 2358: 0.23626647267477682
Position 2450: 0.19196530990365251
Position 5237: 0.1840909751299434
Position 959: 0.1791889048801059
Position 11308: 0.1567019424547794
Position 13632: 0.1480972197999307
Position 13843: 0.1375296837580861
Position 1219: 0.10276037194939015
Position 7538: 0.09652797178790842
Position 8687: 0.08417511726309299
Position 12688: 0.07413895440200341
Position 329: 0.06682027382365135
Position 2454: 0.054578592789238004
Position 5150: 0.05116341553495001
Position 5721: 0.05003906302628156
Position 13592: 0.047938730534647415
Position 9449: 0.041258281972148564
Position 7667: 0.034008519813884856
Position 656: 0.03096339341740466
Position 13556: 0.03037988403593495
Position 3635: 0.02899784398886731
Position 2519: 0.028679510559223693
Position 1665: 0.02589914900093144
Position 13114: 0.025597859651400916
Position 13953: 0.02492818116575896
Position 2606: 0.02310174255802643
Position 1353: 0.020814302854147208
Position 2321: 0.0205685032104545
Position 11570: 0.019371545721247965
Position 13914: 0.014939429217469363
Position 12404: 0.011572009551870226
Position 3946: 0.010201715144317225
Position 13279: 0.01019189591832077
Position 2293: 0.010005280261930245
Position 11471: 0.009410218180984703
Position 5121: 0.00904086679768058
Position 10610: 0.008646403051493697
Position 859: 0.008539842918159592
Position 13209: 0.007698397565523014
Position 645: 0.007028140429605775
Position 1600: 0.006929841859322325
Position 5165: 0.006523308348114432
Position 141: 0.005170674596109681
Position 12209: 0.004665322668278633
Position 546: 0.004484685229110108
Position 11276: 0.004323606333505937
Position 8708: 0.004106001508985945
Position 13585: 0.00344515659633243
Position 12388: 0.0033559146658753685
Position 7345: 0.0032813509202443063
Position 1644: 0.003268795301469827
Position 1369: 0.003195975501502316
Position 13849: 0.0025710750211188097
Position 14122: 0.0025061661862273623
Position 2423: 0.00233651739270798
Position 387: 0.002264579613354415
Position 11947: 0.0022358926184115903
Position 10298: 0.002220164832097201
Position 3597: 0.0021942428671511286
Position 13006: 0.0018012952343795228
Position 12046: 0.0016781152084885276
Position 12170: 0.001603487922778552
Position 7526: 0.001557793371958743
Position 7110: 0.0015203626053414538
Position 519: 0.0014571095208798168
Position 13652: 0.0014013456815819341
Position 12394: 0.0011906870520089123
Position 7437: 0.0011816269867254234
Position 8915: 0.0011506984393511257
Position 1275: 0.0011349582570947677
Position 13994: 0.0010827749974748567
Position 2882: 0.0010640479829133022
Position 1564: 0.001043537140757496
Position 8696: 0.0010158115645163687
Position 13097: 0.0010110720302531195
Position 8591: 0.0009916577657808746
Position 13890: 0.0009713610277488616
Position 10797: 0.0009642480298554015
Position 4203: 0.0009617515906689756
Position 584: 0.0008445050882143974
Position 7302: 0.0008434844371530926
Position 4605: 0.0008384381276335494
Position 1363: 0.0007652331040413616
Position 5074: 0.0007389437788113776
Position 1962: 0.0006595689307600372
Position 10936: 0.0005937689937528849
Position 14504: 0.0005506684131207111
Position 11920: 0.0005343357525378228
Position 11616: 0.0005223464497951455
Position 1912: 0.0004961831459063266
Position 11932: 0.00045592240817568974
Position 13906: 0.0003869693807181731
Position 13355: 0.0003295943568330314
Position 1520: 0.00032411239561833
Position 1687: 0.0002833440427209994
Position 404: 0.00026848496169562666
Position 1058: 0.00019098949160153668
Position 10979: 0.00018787497789200818
Position 13621: 0.00018524259460501603
Position 1078: 0.00016035403780983727
Position 383: 0.00015211574195867373
