Gene = Hmbs
index = 542
Annotated 5SS: [ 219 2211 2603 3014 3153 3541 4581 4751 6314 6577 6873 7111 7303]
Annotated 3SS: [2156 2529 2963 3096 3462 4502 4674 6199 6537 6752 7056 7215 7382]
SMsplice 5SS: [ 219 2211 2603 3014 3153 3541 4581 6314 6577 6873 7303]
SMsplice 3SS: [1996 2529 2963 3096 3462 4502 6186 6537 6752 7215 7382]
top_k =  500
Partition function (log Z): 15.195212861292728

Sorted 5' Splice Sites (High to Low Probability):
Position 4581: 0.9958757611725679
Position 219: 0.9582683772966598
Position 6314: 0.93641286361061
Position 3541: 0.8976632495935934
Position 2603: 0.8671482422820044
Position 6873: 0.8657409480480202
Position 3153: 0.8268520804754692
Position 2211: 0.8246114857863363
Position 3014: 0.7629382775376689
Position 6577: 0.6932491258519774
Position 7303: 0.5336599085820941
Position 7111: 0.4742868323739539
Position 5182: 0.11340138004998838
Position 6656: 0.1049967107608545
Position 2008: 0.10091705231051672
Position 7548: 0.08165841141389567
Position 4751: 0.07081458224732869
Position 7560: 0.06976930923611596
Position 4819: 0.06602248144794996
Position 2200: 0.05920377786678724
Position 1437: 0.05493357317696745
Position 6305: 0.05158206124484776
Position 6690: 0.042998922487854405
Position 3230: 0.040675406436795444
Position 193: 0.040277895601132714
Position 2700: 0.036651938858584907
Position 6804: 0.03462848407126003
Position 3176: 0.016269593221386876
Position 7291: 0.013138724467313411
Position 1298: 0.011012889908229939
Position 3410: 0.01015246454128447
Position 4842: 0.009417686609268018
Position 3157: 0.007593397882292383
Position 726: 0.004802133368668828
Position 2629: 0.004489864154142136
Position 7564: 0.004307081029899357
Position 3904: 0.004133265576133292
Position 4807: 0.0038760130368497387
Position 636: 0.0037793515821320073
Position 4179: 0.003642703319886241
Position 6581: 0.0032698960584307377
Position 3200: 0.0028589230908615693
Position 1487: 0.0025424472377884887
Position 849: 0.0024778022044526387
Position 2816: 0.002374049160745127
Position 3397: 0.001954992471247955
Position 6561: 0.0017639754002912714
Position 3325: 0.0015554649370334362
Position 2837: 0.0014712287977832654
Position 2426: 0.001411532549271032
Position 617: 0.0013465665513284944
Position 898: 0.0011967601820917473
Position 234: 0.0010800782495460838
Position 1315: 0.0010278458249067199
Position 2181: 0.00102662531578889
Position 4394: 0.00102357601873059
Position 3349: 0.0009883809223752843
Position 427: 0.0008910962244282092
