Gene = G0s2
index = 419
Annotated 5SS: [229]
Annotated 3SS: [414]
SMsplice 5SS: [229]
SMsplice 3SS: [414]
top_k =  500
Partition function (log Z): -7.82615868844499

Sorted 5' Splice Sites (High to Low Probability):
Position 229: 0.982108679236273
Position 256: 0.00934018313652353
Position 200: 0.005596194933610256
Position 798: 0.003950307097600607
Position 552: 0.002158934385982768
Position 49: 0.0018932677146806587
Position 578: 0.001858499741320821
Position 319: 0.0006291895477304579
Position 524: 0.0004767313080434278
Position 828: 0.0003297450521079373
Position 512: 0.00024132516498381938
Position 760: 0.0001928145339901123
Position 310: 0.00016101952368962672
Position 651: 0.00014890228449459638
Position 117: 0.00012492355711885074
Position 569: 0.00011358296773744394
Position 534: 0.0001004289470502643
Position 450: 7.970061790396476e-05
Position 557: 7.731834065323126e-05
Position 166: 3.8513398557872044e-05
Position 342: 3.566748892563071e-05
Position 33: 2.1897153863351734e-05
Position 119: 1.596993486514317e-05
Position 536: 1.193852434293824e-05
Position 349: 1.0596452622160155e-05
Position 340: 8.490564228781735e-06
Position 92: 4.230291135278834e-06
Position 649: 3.625224717262905e-06
Position 632: 3.2893950584654195e-06
Position 452: 1.9824880230084693e-07
Position 661: 1.5900221645480478e-07
Position 629: 8.726242022170807e-08
Position 554: 7.199426111345706e-08
Position 606: 2.984229726227222e-08
Position 356: 1.0948356562035254e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 414: 0.9121905186196305
Position 347: 0.05270514533902336
Position 596: 0.00945425020383221
Position 920: 0.006646299766308438
Position 742: 0.004252387876347068
Position 827: 0.0037976552126852683
Position 478: 0.003375586579752071
Position 569: 0.003234745932624977
Position 430: 0.0028127459726109793
Position 898: 0.0026569815754537533
Position 603: 0.0017594329797649946
Position 420: 0.0010674322874341471
Position 676: 0.0006827073766168775
Position 435: 0.0005379081403363613
Position 689: 0.0005264124282414196
Position 534: 0.0005157303730837689
Position 859: 0.00042083055026268196
Position 481: 0.00032875681333081354
Position 131: 0.00030882541442052555
Position 720: 0.00019908084615894627
Position 228: 0.00019744545306872095
Position 620: 0.0001511903209780528
Position 755: 0.0001423782087059787
Position 136: 0.00014117936638270538
Position 585: 0.00014015962683485716
Position 437: 0.00013827509558995412
Position 770: 0.0001314996060359655
Position 843: 0.00010445431915818028
Position 457: 0.0001008674495386363
Position 958: 9.722819029302385e-05
Position 574: 9.604534884560616e-05
Position 629: 8.269123870435141e-05
Position 310: 6.935162295230943e-05
Position 442: 6.440240461727631e-05
Position 622: 5.6937193732560295e-05
Position 808: 5.564133097866393e-05
Position 797: 4.814839254078793e-05
Position 673: 4.8044802748878285e-05
Position 658: 4.601907226797521e-05
Position 139: 4.1842577333711644e-05
Position 697: 3.9073765242108826e-05
Position 319: 3.626019107138729e-05
Position 661: 3.42228423277881e-05
Position 493: 2.6836104264693737e-05
Position 196: 2.623540619317397e-05
Position 983: 2.2378303197195915e-05
Position 503: 1.6793580623183603e-05
Position 869: 1.5757755777530198e-05
Position 99: 1.4862844112222484e-05
Position 775: 1.1060727473652587e-05
Position 785: 8.305485702778194e-06
Position 496: 8.182888951185387e-06
Position 133: 7.846835951187759e-06
Position 460: 6.337798676904136e-06
Position 692: 5.7566333440123784e-06
Position 287: 5.288901736120971e-06
Position 703: 4.568823575025329e-06
Position 960: 4.168313754707424e-06
Position 512: 4.065059719846793e-06
Position 326: 3.7152902590657905e-06
Position 963: 2.279227091468563e-06
Position 966: 2.171950625632549e-06
Position 200: 1.599590945704398e-06
Position 109: 4.7074673428649393e-07
Position 144: 3.339463302668493e-07
Position 177: 2.5863945627892406e-07
Position 162: 1.253856890534908e-07
Position 152: 1.089621788071186e-07
Position 647: 6.541210783159499e-08
Position 166: 6.296714529929416e-08
Position 101: 3.176987866470384e-08
Position 117: 3.072051874640227e-08
Position 149: 1.4493213444677586e-08
Position 240: 2.6680501123647667e-09
Position 450: 1.4625591557574152e-09
Position 233: 1.0894538648183747e-09
Position 254: 1.8290015289596055e-10
Position 323: 1.3649929450871087e-10
Position 508: 5.887449176917735e-11
Position 266: 4.142597200590832e-11
Position 273: 3.881017128177344e-11
Position 264: 2.762441920087433e-11
