Gene = Pate13
index = 796
Annotated 5SS: [ 52 187 625]
Annotated 3SS: [162 483 896]
SMsplice 5SS: [52]
SMsplice 3SS: [162]
top_k =  500
Partition function (log Z): -5.3644360343378965

Sorted 5' Splice Sites (High to Low Probability):
Position 52: 0.924470459651739
Position 625: 0.6977230163027605
Position 275: 0.09930140086106591
Position 297: 0.08555478584866522
Position 329: 0.04586705077870636
Position 411: 0.038496714858209984
Position 48: 0.03474550211460591
Position 378: 0.01899806216814348
Position 321: 0.015512531015299584
Position 98: 0.005179457347240131
Position 192: 0.004329254685976943
Position 187: 0.002520945936676243
Position 243: 0.0016229253473580305
Position 265: 0.0009331026874512784
Position 415: 0.0007804610564376059
Position 389: 0.00035302433053418505
Position 436: 0.00019777255253231575
Position 171: 0.00017194406714319228
Position 77: 0.00017160935053835082
Position 930: 0.00015982752674622818
Position 586: 8.426558830282991e-05
Position 114: 7.585760375807941e-05
Position 719: 5.465875143055143e-05
Position 24: 3.844016554452906e-05
Position 898: 3.074594445055943e-05
Position 993: 2.3083240739887185e-05
Position 658: 1.9879306988093492e-05
Position 952: 1.96673059028236e-05
Position 704: 1.6208420845129936e-05
Position 557: 1.3921678447157842e-05
Position 850: 1.3523563741195887e-05
Position 22: 1.1411053795745337e-05
Position 496: 7.352202812574108e-06
Position 616: 6.958888498319795e-06
Position 912: 6.570451243328476e-06
Position 1011: 4.400005293488277e-06
Position 939: 2.6891466428823837e-06
Position 439: 1.5633085791549304e-06
Position 665: 1.3200324928958775e-06
Position 483: 7.881004653995431e-07
Position 521: 1.4053074414119321e-09
Position 505: 1.3493507071956771e-09
Position 503: 1.0523804760229274e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 896: 0.6654328484819304
Position 162: 0.6551365663386671
Position 483: 0.528299830176998
Position 1002: 0.060774822148885195
Position 452: 0.050507090651109615
Position 490: 0.004174422941013409
Position 165: 0.0029613153174391092
Position 624: 0.0023177362506119287
Position 1055: 0.001772160372777006
Position 436: 0.0008545240911774364
Position 192: 0.0007638261926361824
Position 580: 0.000743550685507507
Position 439: 0.0006896284857642859
Position 594: 0.0006540605737176008
Position 374: 0.0005274517189256492
Position 169: 0.000407830231318613
Position 311: 0.00027678407166842307
Position 691: 0.0002387268928793037
Position 718: 0.00021172265816286206
Position 731: 0.00016803266659561996
Position 139: 7.236038014506893e-05
Position 697: 6.627094153483035e-05
Position 557: 6.40230608955428e-05
Position 849: 5.5662994095339165e-05
Position 1076: 3.7242570571757986e-05
Position 784: 3.6850870197204274e-05
Position 171: 3.680696903404117e-05
Position 856: 3.341610153352759e-05
Position 757: 3.092739425333778e-05
Position 978: 2.4954899812407834e-05
Position 1057: 1.8813621469610312e-05
Position 761: 1.8608698263155005e-05
Position 243: 1.459977628981789e-05
Position 980: 1.1338330008150864e-05
Position 727: 1.0360137828404049e-05
Position 332: 9.447367021803977e-06
Position 665: 8.279164460436334e-06
Position 753: 6.26377461186923e-06
Position 739: 6.072607830182764e-06
Position 794: 5.92532954340871e-06
Position 733: 5.348609155925281e-06
Position 704: 4.6986071306465255e-06
Position 786: 4.588490444280656e-06
Position 1072: 4.550975223077594e-06
Position 1078: 4.334344142551119e-06
Position 709: 4.058506115021041e-06
Position 629: 3.326641537301856e-06
Position 859: 3.1987503636180734e-06
Position 862: 2.404241172682587e-06
Position 811: 1.6360779393672716e-06
Position 805: 1.601063688767366e-06
Position 297: 9.601468238375865e-07
Position 237: 5.557372035261257e-07
Position 240: 4.928973612798609e-07
Position 389: 2.1885459086292414e-07
Position 329: 1.729097353357635e-08
Position 345: 4.018510419516865e-09
Position 88: 2.640450741328788e-09
Position 387: 2.1611864487608365e-09
Position 97: 2.175684254341421e-11
Position 91: 3.177834460691329e-14
