Gene = Stx18
index = 1040
Annotated 5SS: [  758 53839 66252 67900 68151 77456 82558 88249 89372 96561]
Annotated 3SS: [53770 66135 67821 68083 77342 82468 88189 89301 96479 97520]
SMsplice 5SS: [  758 37878 40539 47929 49489 53839 66252 67921 68151 72699 82558 88249
 89372 89823 96561]
SMsplice 3SS: [37802 40440 47848 49392 53770 66135 67821 68083 72553 82468 88189 89301
 89684 96479 98716]
top_k =  500
Partition function (log Z): -63.42896207281114

Sorted 5' Splice Sites (High to Low Probability):
Position 758: 0.9559404304138772
Position 970: 0.08775120135567857
Position 3602: 0.041702248939826936
Position 87: 0.03644651483686554
Position 370: 0.024846443300679012
Position 5937: 0.021970922097334325
Position 4208: 0.018870242408745904
Position 112: 0.018654245197834447
Position 4149: 0.007282276435824845
Position 1366: 0.007242419177974687
Position 2339: 0.005783588114261055
Position 8636: 0.005686848925637892
Position 6363: 0.005068977376135383
Position 6231: 0.004841022763858549
Position 73: 0.004134945561444753
Position 1187: 0.0035791885132176733
Position 1024: 0.00340444714469463
Position 6520: 0.0031949123758236372
Position 3250: 0.002533748093809652
Position 5177: 0.002071619375451054
Position 353: 0.0018483770709822032
Position 231: 0.0015597290597950577
Position 534: 0.0011626247375060017
Position 6235: 0.0011482827423370562
Position 1236: 0.0010784300294422737
Position 5719: 0.0009244171066241618
Position 6463: 0.0008297564769632641
Position 5210: 0.0007230526716618861
Position 5510: 0.0006888441476149786
Position 193: 0.0006124053228747453
Position 143: 0.0004339944491827537
Position 1631: 0.0003757395852426622
Position 106: 0.000359514891798147
Position 550: 0.00031455878441007405
Position 491: 0.00024929294082362156
Position 403: 0.00024022666176439536
Position 195: 0.00015958600184403564
Position 186: 0.00015457276000634148
Position 448: 0.00015359839582744012
Position 522: 0.0001230588908033266
Position 292: 0.00012072719401966605
Position 668: 0.00011122140500228924
Position 331: 0.00010751603391115012
Position 1778: 6.417977789245939e-05
Position 149: 5.044832877845869e-05
Position 584: 4.5985684912064355e-05
Position 1417: 4.2834973107551485e-05
Position 2355: 4.267999076769385e-05
Position 4143: 4.1958466351344925e-05
Position 475: 4.012997440633026e-05
Position 766: 3.3351690468791524e-05
Position 211: 2.9304119570035374e-05
